type,service,n_boxes,mass,volume,energy_kWh,time_s
A,S001,1,14,0.027,1.218849687527148,1179.5094993423072
A,S001,1,14,0.027,1.218849687527148,1179.5094993423072
A,S001,1,14,0.027,1.218849687527148,1179.5094993423072
A,S001,1,14,0.027,1.218849687527148,1179.5094993423072
A,S001,1,14,0.027,1.218849687527148,1179.5094993423072
A,S001,2,9,0.047,1.1903888639064613,1239.5094993423072
A,S001,2,9,0.047,1.1903888639064613,1239.5094993423072
A,S001,2,22,0.055,1.2821115355783257,1239.5094993423072
A,S001,2,22,0.055,1.2821115355783257,1239.5094993423072
A,S001,2,22,0.055,1.2821115355783257,1239.5094993423072
A,S002,1,14,0.027,2.9181781565445664,2046.5955959095895
A,S002,1,14,0.027,2.9181781565445664,2046.5955959095895
A,S002,2,9,0.047,2.8520250359784693,2106.5955959095895
A,S002,2,22,0.055,3.067042778562679,2106.5955959095895
A,S002,2,22,0.055,3.067042778562679,2106.5955959095895
A,S003,1,14,0.027,2.873373304254115,2073.3655507709536
A,S003,1,14,0.027,2.873373304254115,2073.3655507709536
A,S003,2,9,0.047,2.8084527588399704,2133.365550770954
A,S003,2,22,0.055,3.0192578886802597,2133.365550770954
A,S003,2,22,0.055,3.0192578886802597,2133.365550770954
A,S004,1,14,0.027,3.007086671191563,2028.6730199508495
A,S004,1,14,0.027,3.007086671191563,2028.6730199508495
A,S004,2,9,0.047,2.9393369097683486,2088.6730199508493
A,S004,2,22,0.055,3.160301762707677,2088.6730199508493
A,S005,1,14,0.027,2.042389250458996,1508.595602633959
A,S005,1,14,0.027,2.042389250458996,1508.595602633959
A,S005,2,9,0.047,1.996445284717091,1568.595602633959
A,S005,2,22,0.055,2.1465764477674214,1568.595602633959
A,S006,1,14,0.027,1.263052126923159,1192.524753153968
A,S006,1,14,0.027,1.263052126923159,1192.524753153968
A,S006,2,9,0.047,1.232788286711787,1252.524753153968
A,S006,2,22,0.055,1.3298793481899036,1252.524753153968
A,S007,1,14,0.027,1.8613098568515098,1658.54548093439
A,S007,2,9,0.047,1.81902475097465,1718.54548093439
A,S007,2,22,0.055,1.9551982103145191,1718.54548093439
A,S008,1,14,0.027,3.134236484577663,2061.5861936474803
A,S008,2,9,0.047,3.0633804482933886,2121.5861936474803
A,S008,2,22,0.055,3.294526581167755,2121.5861936474803
A,S009,1,14,0.027,2.251571446809356,1702.134044751319
A,S009,2,11,0.04,2.218823728792099,1762.134044751319
A,S010,1,14,0.027,1.9048410400138058,1563.8281446290034
A,S010,2,11,0.04,1.8767077757045731,1623.8281446290034
A,S011,1,14,0.027,1.113216482373895,1106.5506167734131
A,S011,2,11,0.04,1.0968134230324376,1166.5506167734131
A,S012,1,14,0.027,2.9074230115309945,2044.5554909405723
A,S012,2,11,0.04,2.8653140033603846,2104.5554909405723
A,S013,1,14,0.027,1.9217583155294378,1549.1252168558233
A,S013,2,11,0.04,1.8932506348374871,1609.1252168558233
A,S014,1,14,0.027,2.1325251567507992,1640.4803985831313
A,S014,2,11,0.04,2.1010414756303337,1700.4803985831313
A,S015,1,14,0.027,2.419031005158533,1879.7824442261685
A,S015,2,11,0.04,2.382667178166902,1939.7824442261685
B,S001,2,20,0.062,1.0733894566288567,1137.3959295112807
B,S001,2,22,0.055,1.102555695751748,1137.3959295112807
B,S001,2,20,0.062,1.0733894566288567,1137.3959295112807
B,S001,2,22,0.055,1.102555695751748,1137.3959295112807
B,S001,2,28,0.054,1.2205257776331127,1137.3959295112807
B,S001,2,22,0.055,1.102555695751748,1137.3959295112807
B,S001,3,20,0.051000000000000004,1.0733894566288567,1197.3959295112807
B,S002,2,17,0.039,2.4758517078062203,1858.753320965953
B,S002,2,20,0.062,2.5638991989315296,1858.753320965953
B,S002,2,22,0.055,2.6335193432174435,1858.753320965953
B,S002,2,22,0.055,2.6335193432174435,1858.753320965953
B,S003,1,8,0.028,2.2651178551960047,1831.330032739159
B,S003,2,20,0.062,2.5261558385892533,1891.330032739159
B,S003,2,28,0.054,2.870844573574767,1891.330032739159
B,S003,3,25,0.067,2.716687099261159,1951.330032739159
B,S004,2,17,0.039,2.5477142102787163,1830.4846285257836
B,S004,2,20,0.062,2.6387382796574057,1830.4846285257836
B,S004,2,22,0.055,2.710798738078175,1830.4846285257836
B,S005,2,17,0.039,1.728739912020953,1391.8618423773496
B,S005,2,22,0.055,1.8399419308142058,1391.8618423773496
B,S005,2,20,0.062,1.7907881825779608,1391.8618423773496
B,S006,2,17,0.039,1.0743403471560415,1146.4904560062473
B,S006,2,22,0.055,1.1437568188651044,1146.4904560062473
B,S006,2,20,0.062,1.113186623309613,1146.4904560062473
B,S007,2,20,0.062,1.6421568260021862,1567.4180930808457
B,S007,3,25,0.067,1.7628734754710367,1627.4180930808457
B,S008,2,20,0.062,2.7494872082402404,1851.270794192073
B,S008,3,25,0.067,2.960630550069152,1911.270794192073
B,S009,3,25,0.067,2.130236530099273,1631.3782951272271
B,S010,3,25,0.067,1.804912115129597,1524.547034583411
B,S011,3,25,0.067,1.0542701525007734,1132.6456889753713
B,S012,3,25,0.067,2.7498930409760503,1917.9408462029787
B,S013,3,25,0.067,1.8209951870678336,1507.5018734358305
B,S014,3,25,0.067,2.0196221452292424,1580.116744566375
B,S015,3,25,0.067,2.2954594864258335,1799.1455897396588
C,S001,6,76,0.17,2.9240743474800217,1479.5190318265477
C,S001,9,78,0.224,3.002564580999616,1677.5190318265477
C,S002,4,39,0.094,5.228584614026707,2100.340643964
C,S002,4,42,0.117,5.306986039878121,2100.340643964
C,S003,3,42,0.081,5.207957948213846,2079.600023787336
C,S003,5,39,0.13,5.131203002993393,2211.600023787336
C,S004,6,59,0.156,6.119363799617691,2188.2416882588564
C,S005,6,59,0.156,4.168924263280374,1723.9815699571022
C,S006,6,59,0.156,2.5631494790859533,1487.1161986006484
C,S007,5,45,0.129,3.382114976092084,1896.7154889141789
C,S008,5,45,0.129,5.825076922464769,2136.7274297308095
C,S009,3,25,0.067,3.810224451486021,1733.5499534524224
C,S010,3,25,0.067,3.2091793124866874,1631.0521696745568
C,S011,3,25,0.067,1.8815368720890604,1209.5152293806445
C,S012,3,25,0.067,4.921662158965991,2034.4595433058435
C,S013,3,25,0.067,3.245148464638979,1608.0038051985257
C,S014,3,25,0.067,3.608170022644364,1680.085410134409
C,S015,3,25,0.067,4.065401280617948,1930.4633560563907
