type,service,sorties,total_boxes,total_mass,total_volume,total_energy,total_time
A,S001,10,15,154,0.394,12.32136077218364,12095.094993423072
A,S002,5,8,81,0.211,14.822466906192961,10412.977979547948
A,S003,5,8,81,0.211,14.593715144708721,10546.82775385477
A,S004,4,6,59,0.156,12.113812014859151,8234.692079803397
A,S005,4,6,59,0.156,8.227800233402505,6154.382410535836
A,S006,4,6,59,0.156,5.088771888748008,4890.099012615872
A,S007,3,5,45,0.129,5.635532818140679,5095.63644280317
A,S008,3,5,45,0.129,9.492143514038807,6304.758580942441
A,S009,2,3,25,0.067,4.470395175601455,3464.268089502638
A,S010,2,3,25,0.067,3.781548815718379,3187.656289258007
A,S011,2,3,25,0.067,2.2100299054063326,2273.1012335468263
A,S012,2,3,25,0.067,5.772737014891379,4149.110981881145
A,S013,2,3,25,0.067,3.815008950366925,3158.2504337116466
A,S014,2,3,25,0.067,4.233566632381133,3340.9607971662626
A,S015,2,3,25,0.067,4.801698183325435,3819.564888452337
B,S001,7,15,154,0.394,7.748361234774927,8021.771506578964
B,S002,4,8,81,0.211,10.306789593172637,7435.013283863812
B,S003,4,8,81,0.211,10.378805366621185,7565.320130956636
B,S004,3,6,59,0.156,7.897251228014297,5491.453885577351
B,S005,3,6,59,0.156,5.35947002541312,4175.585527132049
B,S006,3,6,59,0.156,3.331283789330759,3439.471368018742
B,S007,2,5,45,0.129,3.405030301473223,3194.8361861616913
B,S008,2,5,45,0.129,5.7101177583093925,3762.541588384146
B,S009,1,3,25,0.067,2.130236530099273,1631.3782951272271
B,S010,1,3,25,0.067,1.804912115129597,1524.547034583411
B,S011,1,3,25,0.067,1.0542701525007734,1132.6456889753713
B,S012,1,3,25,0.067,2.7498930409760503,1917.9408462029787
B,S013,1,3,25,0.067,1.8209951870678336,1507.5018734358305
B,S014,1,3,25,0.067,2.0196221452292424,1580.116744566375
B,S015,1,3,25,0.067,2.2954594864258335,1799.1455897396588
C,S001,2,15,154,0.394,5.926638928479638,3157.0380636530954
C,S002,2,8,81,0.21100000000000002,10.535570653904827,4200.681287928
C,S003,2,8,81,0.21100000000000002,10.339160951207239,4291.200047574672
C,S004,1,6,59,0.156,6.119363799617691,2188.2416882588564
C,S005,1,6,59,0.156,4.168924263280374,1723.9815699571022
C,S006,1,6,59,0.156,2.5631494790859533,1487.1161986006484
C,S007,1,5,45,0.129,3.382114976092084,1896.7154889141789
C,S008,1,5,45,0.129,5.825076922464769,2136.7274297308095
C,S009,1,3,25,0.067,3.810224451486021,1733.5499534524224
C,S010,1,3,25,0.067,3.2091793124866874,1631.0521696745568
C,S011,1,3,25,0.067,1.8815368720890604,1209.5152293806445
C,S012,1,3,25,0.067,4.921662158965991,2034.4595433058435
C,S013,1,3,25,0.067,3.245148464638979,1608.0038051985257
C,S014,1,3,25,0.067,3.608170022644364,1680.085410134409
C,S015,1,3,25,0.067,4.065401280617948,1930.4633560563907
