type,service,strategy,N_f,E_kWh,T_s
A,S001,Pareto-N↓,10,12.32136077218364,12095.094993423072
A,S001,Pareto-E↓,10,12.32136077218364,12095.094993423072
A,S001,Pareto-T↓,10,12.32136077218364,12095.094993423072
A,S002,Pareto-N↓,5,14.822466906192961,10412.977979547948
A,S002,Pareto-E↓,5,14.822466906192961,10412.977979547948
A,S002,Pareto-T↓,5,14.822466906192961,10412.977979547948
A,S003,Pareto-N↓,5,43.78114543412616,31640.48326156431
A,S003,Pareto-E↓,5,43.78114543412616,31640.48326156431
A,S003,Pareto-T↓,5,43.78114543412616,31640.48326156431
A,S004,Pareto-N↓,4,12.113812014859151,8234.692079803397
A,S004,Pareto-E↓,4,12.113812014859151,8234.692079803397
A,S004,Pareto-T↓,4,12.113812014859151,8234.692079803397
A,S005,Pareto-N↓,4,8.227800233402505,6154.382410535836
A,S005,Pareto-E↓,4,8.227800233402505,6154.382410535836
A,S005,Pareto-T↓,4,8.227800233402505,6154.382410535836
A,S006,Pareto-N↓,4,5.088771888748008,4890.099012615872
A,S006,Pareto-E↓,4,5.088771888748008,4890.099012615872
A,S006,Pareto-T↓,4,5.088771888748008,4890.099012615872
A,S007,Pareto-N↓,3,11.271065636281358,10191.27288560634
A,S007,Pareto-E↓,3,11.271065636281358,10191.27288560634
A,S007,Pareto-T↓,3,11.271065636281358,10191.27288560634
A,S008,Pareto-N↓,3,18.984287028077613,12609.517161884882
A,S008,Pareto-E↓,3,18.984287028077613,12609.517161884882
A,S008,Pareto-T↓,3,18.984287028077613,12609.517161884882
A,S009,Pareto-N↓,2,4.470395175601455,3464.268089502638
A,S009,Pareto-E↓,2,4.470395175601455,3464.268089502638
A,S009,Pareto-T↓,2,4.470395175601455,3464.268089502638
A,S010,Pareto-N↓,2,3.781548815718379,3187.656289258007
A,S010,Pareto-E↓,2,3.781548815718379,3187.656289258007
A,S010,Pareto-T↓,2,3.781548815718379,3187.656289258007
A,S011,Pareto-N↓,2,2.2100299054063326,2273.1012335468263
A,S011,Pareto-E↓,2,2.2100299054063326,2273.1012335468263
A,S011,Pareto-T↓,2,2.2100299054063326,2273.1012335468263
A,S012,Pareto-N↓,2,5.772737014891379,4149.110981881145
A,S012,Pareto-E↓,2,5.772737014891379,4149.110981881145
A,S012,Pareto-T↓,2,5.772737014891379,4149.110981881145
A,S013,Pareto-N↓,2,3.815008950366925,3158.2504337116466
A,S013,Pareto-E↓,2,3.815008950366925,3158.2504337116466
A,S013,Pareto-T↓,2,3.815008950366925,3158.2504337116466
A,S014,Pareto-N↓,2,4.233566632381133,3340.9607971662626
A,S014,Pareto-E↓,2,4.233566632381133,3340.9607971662626
A,S014,Pareto-T↓,2,4.233566632381133,3340.9607971662626
A,S015,Pareto-N↓,2,4.801698183325435,3819.564888452337
A,S015,Pareto-E↓,2,4.801698183325435,3819.564888452337
A,S015,Pareto-T↓,2,4.801698183325435,3819.564888452337
B,S001,Pareto-N↓,7,7.748361234774927,8021.771506578964
B,S001,Pareto-E↓,7,7.748361234774927,8021.771506578964
B,S001,Pareto-T↓,7,7.748361234774927,8021.771506578964
B,S002,Pareto-N↓,4,10.306789593172637,7435.013283863812
B,S002,Pareto-E↓,4,10.306789593172637,7435.013283863812
B,S002,Pareto-T↓,4,10.306789593172637,7435.013283863812
B,S003,Pareto-N↓,4,20.309360423570492,15130.640261913271
B,S003,Pareto-E↓,4,20.309360423570492,15130.640261913271
B,S003,Pareto-T↓,4,20.309360423570492,15130.640261913271
B,S004,Pareto-N↓,3,15.794502456028594,10982.907771154702
B,S004,Pareto-E↓,3,15.794502456028594,10982.907771154702
B,S004,Pareto-T↓,3,15.794502456028594,10982.907771154702
B,S005,Pareto-N↓,3,10.71894005082624,8351.171054264098
B,S005,Pareto-E↓,3,10.71894005082624,8351.171054264098
B,S005,Pareto-T↓,3,10.71894005082624,8351.171054264098
B,S006,Pareto-N↓,3,9.993851367992278,10318.414104056226
B,S006,Pareto-E↓,3,9.993851367992278,10318.414104056226
B,S006,Pareto-T↓,3,9.993851367992278,10318.414104056226
B,S007,Pareto-N↓,2,3.405030301473223,3194.8361861616913
B,S007,Pareto-E↓,2,3.405030301473223,3194.8361861616913
B,S007,Pareto-T↓,2,3.405030301473223,3194.8361861616913
B,S008,Pareto-N↓,2,5.7101177583093925,3762.541588384146
B,S008,Pareto-E↓,2,5.7101177583093925,3762.541588384146
B,S008,Pareto-T↓,2,5.7101177583093925,3762.541588384146
B,S009,Pareto-N↓,1,2.130236530099273,1631.3782951272271
B,S009,Pareto-E↓,1,2.130236530099273,1631.3782951272271
B,S009,Pareto-T↓,1,2.130236530099273,1631.3782951272271
B,S010,Pareto-N↓,1,1.804912115129597,1524.547034583411
B,S010,Pareto-E↓,1,1.804912115129597,1524.547034583411
B,S010,Pareto-T↓,1,1.804912115129597,1524.547034583411
B,S011,Pareto-N↓,1,1.0542701525007734,1132.6456889753713
B,S011,Pareto-E↓,1,1.0542701525007734,1132.6456889753713
B,S011,Pareto-T↓,1,1.0542701525007734,1132.6456889753713
B,S012,Pareto-N↓,1,2.7498930409760503,1917.9408462029787
B,S012,Pareto-E↓,1,2.7498930409760503,1917.9408462029787
B,S012,Pareto-T↓,1,2.7498930409760503,1917.9408462029787
