type,service,n_boxes,mass,volume,energy_kWh,time_s
A,S001,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S001,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S001,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S001,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S001,2,22.0,0.055,1.2860758210865872,1252.470877312685
A,S001,2,22.0,0.055,1.2860758210865872,1252.470877312685
A,S001,2,22.0,0.055,1.2860758210865872,1252.470877312685
A,S001,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S001,2,9.0,0.047,1.1947775744571931,1252.470877312685
A,S001,2,9.0,0.047,1.1947775744571931,1252.470877312685
A,S002,1,14.0,0.027,2.8804520955606967,1947.7309474720896
A,S002,1,14.0,0.027,2.8804520955606967,1947.7309474720896
A,S002,2,22.0,0.055,3.0281685265506377,2007.7309474720896
A,S002,2,22.0,0.055,3.0281685265506377,2007.7309474720896
A,S002,2,9.0,0.047,2.8150165943872065,2007.7309474720896
A,S003,1,14.0,0.027,2.9307167339043163,2202.2769928282455
A,S003,1,14.0,0.027,2.9307167339043163,2202.2769928282455
A,S003,2,22.0,0.055,3.0827565924461284,2262.2769928282455
A,S003,2,22.0,0.055,3.0827565924461284,2262.2769928282455
A,S003,2,9.0,0.047,2.8619491421678784,2262.2769928282455
A,S004,1,14.0,0.027,3.0470091478074686,2123.959400972985
A,S004,1,14.0,0.027,3.0470091478074686,2123.959400972985
A,S004,2,22.0,0.055,3.203366220355213,2183.959400972985
A,S004,2,9.0,0.047,2.977295648239486,2183.959400972985
A,S005,1,14.0,0.027,2.094018302339303,1635.7581046684643
A,S005,1,14.0,0.027,2.094018302339303,1635.7581046684643
A,S005,2,22.0,0.055,2.2014564651560833,1695.7581046684643
A,S005,2,9.0,0.047,2.0460424831546757,1695.7581046684643
A,S006,1,14.0,0.027,1.2869317340707995,1252.6149834599576
A,S006,1,14.0,0.027,1.2869317340707995,1252.6149834599576
A,S006,2,22.0,0.055,1.354999454410149,1312.6149834599576
A,S006,2,9.0,0.047,1.2558925819390496,1312.6149834599576
A,S007,2,22.0,0.055,1.9706696366234688,1727.3175960060048
A,S007,1,14.0,0.027,1.8723077073056285,1667.3175960060048
A,S007,2,9.0,0.047,1.827226616519499,1727.3175960060048
A,S008,2,22.0,0.055,3.320471468312056,2176.2040179476107
A,S008,1,14.0,0.027,3.1579220394720044,2116.2040179476107
A,S008,2,9.0,0.047,3.085653920531505,2176.2040179476107
A,S009,1,14.0,0.027,2.223769974851195,1631.5344862389493
A,S009,2,11.0,0.04,2.1915142663338063,1691.5344862389493
A,S010,1,14.0,0.027,1.919081914389043,1593.8524691732741
A,S010,2,11.0,0.04,1.8902213604031441,1653.8524691732741
A,S011,1,14.0,0.027,1.1359227466302664,1163.5352135344808
A,S011,2,11.0,0.04,1.1190655088410852,1223.5352135344808
A,S012,1,14.0,0.027,2.9114301427790448,2050.4146828351036
A,S012,2,11.0,0.04,2.8689160516355905,2110.4146828351036
A,S013,1,14.0,0.027,1.9242610635843662,1552.0233919046514
A,S013,2,11.0,0.04,1.895441441300517,1612.0233919046514
A,S014,1,14.0,0.027,2.248452345106987,1928.9611053702408
A,S014,2,11.0,0.04,2.214459791976608,1988.9611053702408
A,S015,1,14.0,0.027,2.432955544300718,1910.2098469768198
A,S015,2,11.0,0.04,2.3959634179615277,1970.2098469768198
B,S001,2,28.0,0.054,1.2239597072836312,1150.3573074816584
B,S001,2,20.0,0.062,1.0770845709208954,1150.3573074816584
B,S001,2,22.0,0.055,1.1061855138834067,1150.3573074816584
B,S001,2,22.0,0.055,1.1061855138834067,1150.3573074816584
B,S001,2,22.0,0.055,1.1061855138834067,1150.3573074816584
B,S001,2,20.0,0.062,1.0770845709208954,1150.3573074816584
B,S001,3,20.0,0.051000000000000004,1.0770845709208954,1210.3573074816584
B,S002,2,22.0,0.055,2.597196285968586,1759.8886725284528
B,S002,2,22.0,0.055,2.597196285968586,1759.8886725284528
B,S002,2,20.0,0.062,2.5278631894397154,1759.8886725284528
B,S002,2,17.0,0.039,2.44024626994997,1759.8886725284528
B,S003,2,22.0,0.055,2.654443926315979,2020.2414747964503
B,S003,2,22.0,0.055,2.654443926315979,2020.2414747964503
B,S003,2,20.0,0.062,2.584789173829935,2020.2414747964503
B,S003,2,17.0,0.039,2.496305935550539,2020.2414747964503
B,S004,2,17.0,0.039,2.586356071937873,1925.7710095479192
B,S004,2,22.0,0.055,2.751404337882099,1925.7710095479192
B,S004,2,20.0,0.062,2.678558384203423,1925.7710095479192
B,S005,2,22.0,0.055,1.8915405294713898,1519.0243444118548
B,S005,2,17.0,0.039,1.7783066572354151,1519.0243444118548
B,S005,2,20.0,0.062,1.8415740398580562,1519.0243444118548
B,S006,2,17.0,0.039,1.097134517615153,1206.5806863122368
B,S006,2,22.0,0.055,1.1673263012445938,1206.5806863122368
B,S006,2,20.0,0.062,1.1364459809209513,1206.5806863122368
B,S007,3,25.0,0.067,1.7797961289606792,1636.1902081524602
