type,service,sorties,total_boxes,total_mass,total_volume,total_energy,total_time
A,S001,10,15,154.0,0.394,12.363158400558797,12224.70877312685
A,S002,5,8,81.0,0.211,14.632257838609876,9918.654737360448
A,S003,5,8,81.0,0.211,14.888895794868768,11191.384964141227
A,S004,4,6,59.0,0.156,12.274680164209636,8615.83760389194
A,S005,4,6,59.0,0.156,8.435535552989364,6663.032418673857
A,S006,4,6,59.0,0.156,5.184755504490798,5130.45993383983
A,S007,3,5,45.0,0.129,5.670203960448596,5121.952788018014
A,S008,3,5,45.0,0.129,9.564047428315565,6468.612053842832
A,S009,2,3,25.0,0.067,4.4152842411850015,3323.0689724778986
A,S010,2,3,25.0,0.067,3.809303274792187,3247.7049383465483
A,S011,2,3,25.0,0.067,2.2549882554713516,2387.0704270689616
A,S012,2,3,25.0,0.067,5.780346194414635,4160.829365670207
A,S013,2,3,25.0,0.067,3.819702504884883,3164.0467838093027
A,S014,2,3,25.0,0.067,4.462912137083595,3917.9222107404817
A,S015,2,3,25.0,0.067,4.828918962262246,3880.4196939536396
B,S001,7,15,154.0,0.394,7.773769961696537,8112.501152371608
B,S002,4,8,81.0,0.211,10.162502031326857,7039.554690113811
B,S003,4,8,81.0,0.211,10.389982962012432,8080.965899185801
B,S004,3,6,59.0,0.156,8.016318794023395,5777.313028643757
B,S005,3,6,59.0,0.156,5.511421226564861,4557.073033235564
B,S006,3,6,59.0,0.156,3.400906799780698,3619.7420589367102
B,S007,2,5,45.0,0.129,3.4360796235432383,3212.3804163049203
B,S008,2,5,45.0,0.129,5.759471131492537,3871.777236984406
B,S009,1,3,25.0,0.067,2.1024528395672246,1560.7787366148573
B,S010,1,3,25.0,0.067,1.8210449428989826,1554.5713591276817
B,S011,1,3,25.0,0.067,1.077171254529726,1189.630285736439
B,S012,1,3,25.0,0.067,2.7552342804549035,1923.80003809751
B,S013,1,3,25.0,0.067,1.824566933772147,1510.4000484846588
B,S014,1,3,25.0,0.067,2.137304308171069,1868.5974513534843
B,S015,1,3,25.0,0.067,2.3109026130195294,1829.5729924903098
C,S001,2,15,154.0,0.394,5.930962831980194,3188.852355034931
C,S002,2,8,81.0,0.21100000000000002,10.452613814165982,3958.0135144905
C,S003,2,8,81.0,0.21100000000000002,10.494493439524092,4607.619041715297
C,S004,1,6,59.0,0.15600000000000003,6.1769107423796425,2305.184064967841
C,S005,1,6,59.0,0.15600000000000003,4.2387743677705485,1880.044640635813
C,S006,1,6,59.0,0.15600000000000003,2.5939758810401803,1560.8632994307266
C,S007,1,5,45.0,0.129,3.4104434057083766,1907.4812665020695
C,S008,1,5,45.0,0.129,5.857489201651335,2203.7583959173335
C,S009,1,3,25.0,0.067,3.780655381020191,1646.9050407326959
C,S010,1,3,25.0,0.067,3.226071420167962,1667.9002043425255
C,S011,1,3,25.0,0.067,1.9058790476563696,1279.450870860137
C,S012,1,3,25.0,0.067,4.927151570527744,2041.650369721859
C,S013,1,3,25.0,0.067,3.2487935027871178,1611.560656394815
C,S014,1,3,25.0,0.067,3.7331475239145524,2034.1299139185885
C,S015,1,3,25.0,0.067,4.08161388049806,1967.8060776140078
