type,service,distance,H_up_out,Q_g,V_g,m_energy,E_round_kWh,E_avail_kWh,binding
A,S001,3063.407094930797,153.98289184570314,25,0.06,25.0,1.31267,3.6,质量(Q_g)
A,S002,7435.2682483091,219.1761596679688,25,0.06,25.0,3.139457,3.6,质量(Q_g)
A,S003,7261.065540953848,230.81068115234376,25,0.06,25.0,3.090166,3.6,质量(Q_g)
A,S004,7745.651742751971,166.76731567382814,25,0.06,25.0,3.23504,3.6,质量(Q_g)
A,S005,5302.0128076982855,91.33955078125,25,0.06,25.0,2.197477,3.6,质量(Q_g)
A,S006,3181.0289144316203,197.42722778320316,25,0.06,25.0,1.362037,3.6,质量(Q_g)
A,S007,4533.821635606341,236.5220458984375,25,0.06,25.0,2.000523,3.6,质量(Q_g)
A,S008,8109.461983662226,170.5891845703125,25,0.06,25.0,3.37273,3.6,质量(Q_g)
A,S009,5722.672488722757,208.8618591308594,25,0.06,25.0,2.423555,3.6,质量(Q_g)
A,S010,4778.43330136777,243.8816650390625,25,0.06,25.0,2.05134,3.6,质量(Q_g)
A,S011,2817.14783394126,127.6607177734375,25,0.06,25.0,1.198914,3.6,质量(Q_g)
A,S012,7398.43934212781,249.92396240234376,25,0.06,25.0,3.128931,3.6,质量(Q_g)
A,S013,4848.700302599784,244.00806884765623,25,0.06,25.0,2.070267,3.6,质量(Q_g)
A,S014,5410.909620502695,243.2825134277344,25,0.06,25.0,2.297046,3.6,质量(Q_g)
A,S015,6019.105634595292,388.7627990722656,25,0.06,25.0,2.606962,3.6,质量(Q_g)
B,S001,3063.407094930797,153.98289184570314,30,0.073,30.0,1.274284,3.2,质量(Q_g)
B,S002,7435.2682483091,219.1761596679688,30,0.073,30.0,3.045646,3.2,质量(Q_g)
B,S003,7261.065540953848,230.81068115234376,30,0.073,30.0,2.99725,3.2,质量(Q_g)
B,S004,7745.651742751971,166.76731567382814,30,0.073,30.0,3.138265,3.2,质量(Q_g)
B,S005,5302.0128076982855,91.33955078125,30,0.073,30.0,2.131858,3.2,质量(Q_g)
B,S006,3181.0289144316203,197.42722778320316,30,0.073,30.0,1.323215,3.2,质量(Q_g)
B,S007,4533.821635606341,236.5220458984375,30,0.073,30.0,1.939806,3.2,质量(Q_g)
B,S008,8109.461983662226,170.5891845703125,30,0.073,29.0143,3.2,3.2,能量
B,S009,5722.672488722757,208.8618591308594,30,0.073,30.0,2.351867,3.2,质量(Q_g)
B,S010,4778.43330136777,243.8816650390625,30,0.073,30.0,1.991288,3.2,质量(Q_g)
B,S011,2817.14783394126,127.6607177734375,30,0.073,30.0,1.163844,3.2,质量(Q_g)
B,S012,7398.43934212781,249.92396240234376,30,0.073,30.0,3.036043,3.2,质量(Q_g)
B,S013,4848.700302599784,244.00806884765623,30,0.073,30.0,2.010047,3.2,质量(Q_g)
B,S014,5410.909620502695,243.2825134277344,30,0.073,30.0,2.230045,3.2,质量(Q_g)
B,S015,6019.105634595292,388.7627990722656,30,0.073,30.0,2.53177,3.2,质量(Q_g)
C,S001,3063.407094930797,153.98289184570314,80,0.25,80.0,3.088819,6.4,质量(Q_g)
C,S002,7435.2682483091,219.1761596679688,80,0.25,67.8547,6.4,6.4,能量
C,S003,7261.065540953848,230.81068115234376,80,0.25,69.7426,6.4,6.4,能量
C,S004,7745.651742751971,166.76731567382814,80,0.25,64.2951,6.4,6.4,能量
C,S005,5302.0128076982855,91.33955078125,80,0.25,80.0,5.23518,6.4,质量(Q_g)
C,S006,3181.0289144316203,197.42722778320316,80,0.25,80.0,3.214203,6.4,质量(Q_g)
C,S007,4533.821635606341,236.5220458984375,80,0.25,80.0,4.630926,6.4,质量(Q_g)
C,S008,8109.461983662226,170.5891845703125,80,0.25,59.1574,6.4,6.4,能量
C,S009,5722.672488722757,208.8618591308594,80,0.25,80.0,5.725163,6.4,质量(Q_g)
C,S010,4778.43330136777,243.8816650390625,80,0.25,80.0,4.822617,6.4,质量(Q_g)
C,S011,2817.14783394126,127.6607177734375,80,0.25,80.0,2.829391,6.4,质量(Q_g)
C,S012,7398.43934212781,249.92396240234376,80,0.25,68.1887,6.4,6.4,能量
C,S013,4848.700302599784,244.00806884765623,80,0.25,80.0,4.881592,6.4,质量(Q_g)
C,S014,5410.909620502695,243.2825134277344,80,0.25,80.0,5.428319,6.4,质量(Q_g)
C,S015,6019.105634595292,388.7627990722656,80,0.25,80.0,6.11473,6.4,质量(Q_g)
