type,service,N_f,E_total,T_total,batch_idx,n_boxes,mass,volume,energy_kWh,time_s
A,S001,10,12.363158400558797,12224.708773126848,76,2,9.0,0.047,1.1947775744571931,1252.470877312685
A,S001,10,12.363158400558797,12224.708773126848,74,2,9.0,0.047,1.1947775744571931,1252.470877312685
A,S001,10,12.363158400558797,12224.708773126848,3,2,22.0,0.055,1.2860758210865872,1252.470877312685
A,S001,10,12.363158400558797,12224.708773126848,9,2,22.0,0.055,1.2860758210865872,1252.470877312685
A,S001,10,12.363158400558797,12224.708773126848,15,2,22.0,0.055,1.2860758210865872,1252.470877312685
A,S001,10,12.363158400558797,12224.708773126848,21,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S001,10,12.363158400558797,12224.708773126848,28,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S001,10,12.363158400558797,12224.708773126848,35,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S001,10,12.363158400558797,12224.708773126848,42,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S001,10,12.363158400558797,12224.708773126848,49,1,14.0,0.027,1.2230751576769299,1192.470877312685
A,S002,5,14.632257838609874,9918.654737360448,22,2,9.0,0.047,2.8150165943872065,2007.7309474720896
A,S002,5,14.632257838609874,9918.654737360448,2,2,22.0,0.055,3.0281685265506377,2007.7309474720896
A,S002,5,14.632257838609874,9918.654737360448,5,2,22.0,0.055,3.0281685265506377,2007.7309474720896
A,S002,5,14.632257838609874,9918.654737360448,8,1,14.0,0.027,2.8804520955606967,1947.7309474720896
A,S002,5,14.632257838609874,9918.654737360448,12,1,14.0,0.027,2.8804520955606967,1947.7309474720896
A,S003,5,14.888895794868768,11191.384964141227,22,2,9.0,0.047,2.8619491421678784,2262.2769928282455
A,S003,5,14.888895794868768,11191.384964141227,2,2,22.0,0.055,3.0827565924461284,2262.2769928282455
A,S003,5,14.888895794868768,11191.384964141227,5,2,22.0,0.055,3.0827565924461284,2262.2769928282455
A,S003,5,14.888895794868768,11191.384964141227,8,1,14.0,0.027,2.9307167339043163,2202.2769928282455
A,S003,5,14.888895794868768,11191.384964141227,12,1,14.0,0.027,2.9307167339043163,2202.2769928282455
A,S004,4,12.274680164209638,8615.83760389194,12,2,9.0,0.047,2.977295648239486,2183.959400972985
