type,service,strategy,N_f,E_total_kWh,T_total_s
A,S001,N-opt,10,12.33977249353093,12095.094993423072
A,S001,E-opt,10,12.32136077218364,12095.094993423072
A,S001,T-opt,10,12.33977249353093,12095.094993423072
A,S002,N-opt,5,14.840889188482157,10412.977979547948
A,S002,E-opt,5,14.822466906192961,10412.977979547948
A,S002,T-opt,5,14.840889188482157,10412.977979547948
A,S003,N-opt,5,14.611705806867578,10546.82775385477
A,S003,E-opt,5,14.593715144708721,10546.82775385477
A,S003,T-opt,5,14.611705806867578,10546.82775385477
A,S004,N-opt,4,12.133003330915736,8234.692079803397
A,S004,E-opt,4,12.113812014859151,8234.692079803397
A,S004,T-opt,4,12.133003330915736,8234.692079803397
A,S005,N-opt,4,8.240936972170008,6154.382410535836
A,S005,E-opt,4,8.227800233402505,6154.382410535836
A,S005,T-opt,4,8.240936972170008,6154.382410535836
A,S006,N-opt,4,5.096653489071586,4890.099012615872
A,S006,E-opt,4,5.088771888748008,4890.099012615872
A,S006,T-opt,4,5.096653489071586,4890.099012615872
A,S007,N-opt,3,5.646766218097567,5095.63644280317
A,S007,E-opt,3,5.635532818140679,5095.63644280317
A,S007,T-opt,3,5.646766218097567,5095.63644280317
A,S008,N-opt,3,9.512236238724363,6304.758580942441
A,S008,E-opt,3,9.492143514038807,6304.758580942441
A,S008,T-opt,3,9.512236238724363,6304.758580942441
A,S009,N-opt,2,4.524643355348281,3464.268089502638
A,S009,E-opt,2,4.470395175601455,3464.268089502638
A,S009,T-opt,2,4.524643355348281,3464.268089502638
A,S010,N-opt,2,3.8268460626168594,3187.656289258007
A,S010,E-opt,2,3.781548815718379,3187.656289258007
A,S010,T-opt,2,3.8268460626168594,3187.656289258007
A,S011,N-opt,2,2.236735110425524,2273.1012335468263
A,S011,E-opt,2,2.2100299054063326,2273.1012335468263
A,S011,T-opt,2,2.236735110425524,2273.1012335468263
A,S012,N-opt,2,5.842870657532759,4149.110981881145
A,S012,E-opt,2,5.772737014891379,4149.110981881145
A,S012,T-opt,2,5.842870657532759,4149.110981881145
A,S013,N-opt,2,3.8609722946037763,3158.2504337116466
A,S013,E-opt,2,3.815008950366925,3158.2504337116466
A,S013,T-opt,2,3.8609722946037763,3158.2504337116466
A,S014,N-opt,2,4.284859450249934,3340.9607971662626
A,S014,E-opt,2,4.233566632381133,3340.9607971662626
A,S014,T-opt,2,4.284859450249934,3340.9607971662626
A,S015,N-opt,2,4.8587564065636375,3819.564888452337
A,S015,E-opt,2,4.801698183325435,3819.564888452337
A,S015,T-opt,2,4.8587564065636375,3819.564888452337
B,S001,N-opt,7,7.876205554239246,8021.771506578964
B,S001,E-opt,7,7.748361234774927,8021.771506578964
B,S001,T-opt,7,7.876205554239246,8021.771506578964
B,S002,N-opt,4,10.536291811269969,7435.013283863812
B,S002,E-opt,4,10.306789593172637,7435.013283863812
B,S002,T-opt,4,10.536291811269969,7435.013283863812
B,S003,N-opt,4,10.378805366621185,7565.320130956636
B,S003,E-opt,4,10.154680211785246,7565.320130956636
B,S003,T-opt,4,10.378805366621185,7565.320130956636
B,S004,N-opt,3,7.952598587361501,5491.453885577351
B,S004,E-opt,3,7.897251228014297,5491.453885577351
B,S004,T-opt,3,7.952598587361501,5491.453885577351
B,S005,N-opt,3,5.397356108841251,4175.585527132049
B,S005,E-opt,3,5.35947002541312,4175.585527132049
B,S005,T-opt,3,5.397356108841251,4175.585527132049
B,S006,N-opt,3,3.3540141619666892,3439.471368018742
B,S006,E-opt,3,3.331283789330759,3439.471368018742
B,S006,T-opt,3,3.3540141619666892,3439.471368018742
B,S007,N-opt,2,3.405030301473223,3194.8361861616913
B,S007,E-opt,2,3.405030301473223,3194.8361861616913
B,S007,T-opt,2,3.405030301473223,3194.8361861616913
B,S008,N-opt,2,5.7101177583093925,3762.541588384146
B,S008,E-opt,2,5.7101177583093925,3762.541588384146
B,S008,T-opt,2,5.7101177583093925,3762.541588384146
B,S009,N-opt,1,2.130236530099273,1631.3782951272271
B,S009,E-opt,1,2.130236530099273,1631.3782951272271
B,S009,T-opt,1,2.130236530099273,1631.3782951272271
B,S010,N-opt,1,1.804912115129597,1524.547034583411
B,S010,E-opt,1,1.804912115129597,1524.547034583411
B,S010,T-opt,1,1.804912115129597,1524.547034583411
B,S011,N-opt,1,1.0542701525007734,1132.6456889753713
B,S011,E-opt,1,1.0542701525007734,1132.6456889753713
B,S011,T-opt,1,1.0542701525007734,1132.6456889753713
B,S012,N-opt,1,2.7498930409760503,1917.9408462029787
B,S012,E-opt,1,2.7498930409760503,1917.9408462029787
B,S012,T-opt,1,2.7498930409760503,1917.9408462029787
B,S013,N-opt,1,1.8209951870678336,1507.5018734358305
B,S013,E-opt,1,1.8209951870678336,1507.5018734358305
B,S013,T-opt,1,1.8209951870678336,1507.5018734358305
B,S014,N-opt,1,2.0196221452292424,1580.116744566375
B,S014,E-opt,1,2.0196221452292424,1580.116744566375
B,S014,T-opt,1,2.0196221452292424,1580.116744566375
B,S015,N-opt,1,2.2954594864258335,1799.1455897396588
B,S015,E-opt,1,2.2954594864258335,1799.1455897396588
B,S015,T-opt,1,2.2954594864258335,1799.1455897396588
C,S001,N-opt,2,5.932077780132731,3157.0380636530954
C,S001,E-opt,2,5.926638928479638,3157.0380636530954
C,S001,T-opt,2,5.926638928479638,3157.0380636530954
C,S002,N-opt,2,10.566305022063517,4200.681287928
C,S002,E-opt,2,10.535570653904827,4200.681287928
C,S002,T-opt,2,10.549354554204495,4200.681287928
C,S003,N-opt,2,10.369175236382599,4291.200047574672
C,S003,E-opt,2,10.339160951207239,4291.200047574672
C,S003,T-opt,2,10.352621905155821,4291.200047574672
C,S004,N-opt,1,6.119363799617691,2188.2416882588564
C,S004,E-opt,1,6.119363799617691,2188.2416882588564
C,S004,T-opt,1,6.119363799617691,2188.2416882588564
C,S005,N-opt,1,4.168924263280374,1723.9815699571022
C,S005,E-opt,1,4.168924263280374,1723.9815699571022
C,S005,T-opt,1,4.168924263280374,1723.9815699571022
C,S006,N-opt,1,2.5631494790859533,1487.1161986006484
C,S006,E-opt,1,2.5631494790859533,1487.1161986006484
C,S006,T-opt,1,2.5631494790859533,1487.1161986006484
C,S007,N-opt,1,3.382114976092084,1896.7154889141789
C,S007,E-opt,1,3.382114976092084,1896.7154889141789
C,S007,T-opt,1,3.382114976092084,1896.7154889141789
C,S008,N-opt,1,5.825076922464769,2136.7274297308095
C,S008,E-opt,1,5.825076922464769,2136.7274297308095
C,S008,T-opt,1,5.825076922464769,2136.7274297308095
C,S009,N-opt,1,3.810224451486021,1733.5499534524224
C,S009,E-opt,1,3.810224451486021,1733.5499534524224
C,S009,T-opt,1,3.810224451486021,1733.5499534524224
C,S010,N-opt,1,3.2091793124866874,1631.0521696745568
C,S010,E-opt,1,3.2091793124866874,1631.0521696745568
C,S010,T-opt,1,3.2091793124866874,1631.0521696745568
C,S011,N-opt,1,1.8815368720890604,1209.5152293806445
C,S011,E-opt,1,1.8815368720890604,1209.5152293806445
C,S011,T-opt,1,1.8815368720890604,1209.5152293806445
C,S012,N-opt,1,4.921662158965991,2034.4595433058435
C,S012,E-opt,1,4.921662158965991,2034.4595433058435
C,S012,T-opt,1,4.921662158965991,2034.4595433058435
C,S013,N-opt,1,3.245148464638979,1608.0038051985257
C,S013,E-opt,1,3.245148464638979,1608.0038051985257
C,S013,T-opt,1,3.245148464638979,1608.0038051985257
C,S014,N-opt,1,3.608170022644364,1680.085410134409
