service,sortie_id,type,box_ids,cargo_counts,n_boxes,mass_kg,volume_m3,energy_kWh,time_s,safe_payload_kg,available_energy_kWh
S001,S001-01,C,S001-B001|S001-B002|S001-B008|S001-B009|S001-B010|S001-B012|S001-B013|S001-B014|S001-B015,医疗物资:2|应急食品:2|生活卫生用品:2|饮用水:3,9,76.0,0.23100000000000004,2.92626894731049,1693.4261775174655,80.0,6.4
S001,S001-02,C,S001-B003|S001-B004|S001-B005|S001-B006|S001-B007|S001-B011,应急食品:1|饮用水:5,6,78.0,0.163,3.0046938846697038,1495.4261775174655,80.0,6.4
S002,S002-01,B,S002-B001|S002-B005|S002-B007,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,2.721922975511305,1819.8886725284528,30.0,3.2
S002,S002-02,C,S002-B002|S002-B003|S002-B004|S002-B006|S002-B008,应急食品:1|生活卫生用品:1|饮用水:3,5,56.0,0.14400000000000002,5.739363404434351,2045.0067572452497,68.5538,6.4
S003,S003-01,B,S003-B001|S003-B005|S003-B007,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,2.7791674808241336,2080.2414747964503,30.0,3.2
S003,S003-02,C,S003-B002|S003-B003|S003-B004|S003-B006|S003-B008,应急食品:1|生活卫生用品:1|饮用水:3,5,56.0,0.14400000000000002,5.763364795675429,2369.8095208576483,68.2341,6.4
S004,S004-01,C,S004-B001|S004-B002|S004-B003|S004-B004|S004-B005|S004-B006,医疗物资:1|应急食品:1|生活卫生用品:1|饮用水:3,6,59.0,0.15600000000000003,6.1769107423796425,2305.184064967841,63.2584,6.4
S005,S005-01,C,S005-B001|S005-B002|S005-B003|S005-B004|S005-B005|S005-B006,医疗物资:1|应急食品:1|生活卫生用品:1|饮用水:3,6,59.0,0.15600000000000003,4.2387743677705485,1880.044640635813,80.0,6.4
S006,S006-01,C,S006-B001|S006-B002|S006-B003|S006-B004|S006-B005|S006-B006,医疗物资:1|应急食品:1|生活卫生用品:1|饮用水:3,6,59.0,0.15600000000000003,2.5939758810401803,1560.8632994307266,80.0,6.4
S007,S007-01,C,S007-B001|S007-B002|S007-B003|S007-B004|S007-B005,医疗物资:1|应急食品:1|生活卫生用品:1|饮用水:2,5,45.0,0.129,3.4104434057083766,1907.4812665020695,80.0,6.4
S008,S008-01,B,S008-B001|S008-B003|S008-B004,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,2.986013277988837,1965.888618492203,28.632,3.2
S008,S008-02,B,S008-B002|S008-B005,生活卫生用品:1|饮用水:1,2,20.0,0.062,2.7734578535037,1905.888618492203,28.632,3.2
S009,S009-01,B,S009-B001|S009-B002|S009-B003,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,2.1024528395672246,1560.7787366148573,30.0,3.2
S010,S010-01,B,S010-B001|S010-B002|S010-B003,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,1.8210449428989826,1554.5713591276817,30.0,3.2
S011,S011-01,B,S011-B001|S011-B002|S011-B003,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,1.077171254529726,1189.630285736439,30.0,3.2
S012,S012-01,B,S012-B001|S012-B002|S012-B003,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,2.7552342804549035,1923.80003809751,30.0,3.2
S013,S013-01,B,S013-B001|S013-B002|S013-B003,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,1.824566933772147,1510.4000484846588,30.0,3.2
S014,S014-01,B,S014-B001|S014-B002|S014-B003,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,2.137304308171069,1868.5974513534843,30.0,3.2
S015,S015-01,B,S015-B001|S015-B002|S015-B003,医疗物资:1|应急食品:1|饮用水:1,3,25.0,0.067,2.3109026130195294,1829.5729924903098,30.0,3.2
