service,strategy,N_f,E_total_kWh,T_total_s
S001,fixed-A-E-opt,10,12.363158400558799,12224.708773126848
S001,fixed-B-E-opt,7,7.773769961696538,8112.501152371609
S001,fixed-C-E-opt,2,5.930962831980194,3188.852355034931
S001,mixed-N-opt,2,5.930962831980194,3188.852355034931
S001,mixed-E-opt,2,5.930962831980194,3188.852355034931
S001,mixed-T-opt,2,5.930962831980194,3188.852355034931
S002,fixed-A-E-opt,5,14.632257838609876,9918.654737360448
S002,fixed-B-E-opt,4,10.162502031326857,7039.554690113811
S002,fixed-C-E-opt,2,10.452613814165982,3958.0135144904993
S002,mixed-N-opt,2,8.461286379945655,3864.8954297737027
S002,mixed-E-opt,2,8.461286379945655,3864.8954297737027
S002,mixed-T-opt,2,8.461286379945655,3864.8954297737027
S003,fixed-A-E-opt,5,14.888895794868768,11191.384964141227
S003,fixed-B-E-opt,4,10.389982962012432,8080.965899185801
S003,fixed-C-E-opt,2,10.494493439524092,4607.619041715297
S003,mixed-N-opt,2,8.542532276499562,4450.050995654099
S003,mixed-E-opt,2,8.542532276499562,4450.050995654099
S003,mixed-T-opt,2,8.542532276499562,4450.050995654099
S004,fixed-A-E-opt,4,12.274680164209638,8615.83760389194
S004,fixed-B-E-opt,3,8.016318794023395,5777.313028643757
S004,fixed-C-E-opt,1,6.1769107423796425,2305.184064967841
S004,mixed-N-opt,1,6.1769107423796425,2305.184064967841
S004,mixed-E-opt,1,6.1769107423796425,2305.184064967841
S004,mixed-T-opt,1,6.1769107423796425,2305.184064967841
S005,fixed-A-E-opt,4,8.435535552989364,6663.032418673857
S005,fixed-B-E-opt,3,5.511421226564861,4557.073033235564
S005,fixed-C-E-opt,1,4.2387743677705485,1880.044640635813
S005,mixed-N-opt,1,4.2387743677705485,1880.044640635813
S005,mixed-E-opt,1,4.2387743677705485,1880.044640635813
S005,mixed-T-opt,1,4.2387743677705485,1880.044640635813
S006,fixed-A-E-opt,4,5.184755504490798,5130.45993383983
S006,fixed-B-E-opt,3,3.400906799780698,3619.7420589367102
S006,fixed-C-E-opt,1,2.5939758810401803,1560.8632994307266
S006,mixed-N-opt,1,2.5939758810401803,1560.8632994307266
S006,mixed-E-opt,1,2.5939758810401803,1560.8632994307266
S006,mixed-T-opt,1,2.5939758810401803,1560.8632994307266
S007,fixed-A-E-opt,3,5.670203960448596,5121.952788018014
S007,fixed-B-E-opt,2,3.4360796235432383,3212.3804163049203
S007,fixed-C-E-opt,1,3.4104434057083766,1907.4812665020695
S007,mixed-N-opt,1,3.4104434057083766,1907.4812665020695
S007,mixed-E-opt,1,3.4104434057083766,1907.4812665020695
S007,mixed-T-opt,1,3.4104434057083766,1907.4812665020695
S008,fixed-A-E-opt,3,9.564047428315565,6468.612053842832
S008,fixed-B-E-opt,2,5.759471131492537,3871.777236984406
S008,fixed-C-E-opt,1,5.857489201651335,2203.7583959173335
S008,mixed-N-opt,1,5.857489201651335,2203.7583959173335
S008,mixed-E-opt,2,5.759471131492537,3871.777236984406
S008,mixed-T-opt,1,5.857489201651335,2203.7583959173335
S009,fixed-A-E-opt,2,4.4152842411850015,3323.0689724778986
S009,fixed-B-E-opt,1,2.1024528395672246,1560.7787366148573
S009,fixed-C-E-opt,1,3.780655381020191,1646.9050407326959
S009,mixed-N-opt,1,2.1024528395672246,1560.7787366148573
S009,mixed-E-opt,1,2.1024528395672246,1560.7787366148573
S009,mixed-T-opt,1,2.1024528395672246,1560.7787366148573
S010,fixed-A-E-opt,2,3.809303274792187,3247.7049383465483
S010,fixed-B-E-opt,1,1.8210449428989826,1554.5713591276817
S010,fixed-C-E-opt,1,3.226071420167962,1667.9002043425255
S010,mixed-N-opt,1,1.8210449428989826,1554.5713591276817
S010,mixed-E-opt,1,1.8210449428989826,1554.5713591276817
S010,mixed-T-opt,1,1.8210449428989826,1554.5713591276817
S011,fixed-A-E-opt,2,2.2549882554713516,2387.0704270689616
S011,fixed-B-E-opt,1,1.077171254529726,1189.630285736439
S011,fixed-C-E-opt,1,1.9058790476563696,1279.450870860137
S011,mixed-N-opt,1,1.077171254529726,1189.630285736439
S011,mixed-E-opt,1,1.077171254529726,1189.630285736439
S011,mixed-T-opt,1,1.077171254529726,1189.630285736439
S012,fixed-A-E-opt,2,5.780346194414635,4160.829365670207
S012,fixed-B-E-opt,1,2.7552342804549035,1923.80003809751
S012,fixed-C-E-opt,1,4.927151570527744,2041.650369721859
S012,mixed-N-opt,1,2.7552342804549035,1923.80003809751
S012,mixed-E-opt,1,2.7552342804549035,1923.80003809751
S012,mixed-T-opt,1,2.7552342804549035,1923.80003809751
S013,fixed-A-E-opt,2,3.819702504884883,3164.0467838093027
S013,fixed-B-E-opt,1,1.824566933772147,1510.4000484846588
S013,fixed-C-E-opt,1,3.2487935027871178,1611.560656394815
S013,mixed-N-opt,1,1.824566933772147,1510.4000484846588
S013,mixed-E-opt,1,1.824566933772147,1510.4000484846588
S013,mixed-T-opt,1,1.824566933772147,1510.4000484846588
S014,fixed-A-E-opt,2,4.462912137083595,3917.9222107404817
S014,fixed-B-E-opt,1,2.137304308171069,1868.5974513534843
S014,fixed-C-E-opt,1,3.7331475239145524,2034.1299139185885
S014,mixed-N-opt,1,2.137304308171069,1868.5974513534843
S014,mixed-E-opt,1,2.137304308171069,1868.5974513534843
S014,mixed-T-opt,1,2.137304308171069,1868.5974513534843
S015,fixed-A-E-opt,2,4.828918962262246,3880.4196939536396
S015,fixed-B-E-opt,1,2.3109026130195294,1829.5729924903098
S015,fixed-C-E-opt,1,4.08161388049806,1967.8060776140078
S015,mixed-N-opt,1,2.3109026130195294,1829.5729924903098
S015,mixed-E-opt,1,2.3109026130195294,1829.5729924903098
