service,objective,total_boxes,N_f,E_total_kWh,T_total_s,A_sorties,B_sorties,C_sorties
S001,N-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
S001,E-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
S001,T-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
S002,N-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
S002,E-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
S002,T-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
S003,N-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
S003,E-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
S003,T-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
S004,N-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
S004,E-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
S004,T-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
S005,N-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
S005,E-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
S005,T-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
S006,N-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
S006,E-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
S006,T-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
S007,N-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
S007,E-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
S007,T-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
S008,N-opt,5,1,5.857489201651335,2203.7583959173335,0,0,1
S008,E-opt,5,2,5.759471131492537,3871.777236984406,0,2,0
S008,T-opt,5,1,5.857489201651335,2203.7583959173335,0,0,1
S009,N-opt,3,1,2.1024528395672246,1560.7787366148573,0,1,0
S009,E-opt,3,1,2.1024528395672246,1560.7787366148573,0,1,0
S009,T-opt,3,1,2.1024528395672246,1560.7787366148573,0,1,0
S010,N-opt,3,1,1.8210449428989826,1554.5713591276817,0,1,0
S010,E-opt,3,1,1.8210449428989826,1554.5713591276817,0,1,0
S010,T-opt,3,1,1.8210449428989826,1554.5713591276817,0,1,0
S011,N-opt,3,1,1.077171254529726,1189.630285736439,0,1,0
S011,E-opt,3,1,1.077171254529726,1189.630285736439,0,1,0
S011,T-opt,3,1,1.077171254529726,1189.630285736439,0,1,0
S012,N-opt,3,1,2.7552342804549035,1923.80003809751,0,1,0
S012,E-opt,3,1,2.7552342804549035,1923.80003809751,0,1,0
S012,T-opt,3,1,2.7552342804549035,1923.80003809751,0,1,0
S013,N-opt,3,1,1.824566933772147,1510.4000484846588,0,1,0
S013,E-opt,3,1,1.824566933772147,1510.4000484846588,0,1,0
S013,T-opt,3,1,1.824566933772147,1510.4000484846588,0,1,0
S014,N-opt,3,1,2.137304308171069,1868.5974513534843,0,1,0
S014,E-opt,3,1,2.137304308171069,1868.5974513534843,0,1,0
S014,T-opt,3,1,2.137304308171069,1868.5974513534843,0,1,0
S015,N-opt,3,1,2.3109026130195294,1829.5729924903098,0,1,0
S015,E-opt,3,1,2.3109026130195294,1829.5729924903098,0,1,0
S015,T-opt,3,1,2.3109026130195294,1829.5729924903098,0,1,0
all,N-opt,80,18,59.24105225938907,32798.48135982147,0,9,9
all,E-opt,80,19,59.143034189230285,34466.500200888535,0,11,8
all,T-opt,80,18,59.24105225938907,32798.48135982147,0,9,9
