service,total_boxes,N_f,E_total_kWh,T_total_s,A_sorties,B_sorties,C_sorties,E_C_only_kWh,E_saving_vs_C_kWh,feasible_batches_A,feasible_batches_B,feasible_batches_C
S001,15,2,5.926638928479638,3157.0380636530954,0,0,2,5.926638928479638,0.0,82,187,18063
S002,8,2,8.541743048816581,4085.0939649299526,0,1,1,10.535570653904827,1.9938276050882457,24,45,247
S003,8,2,8.390459807179052,4162.930056526495,0,1,1,10.33916095120724,1.9487011440281883,24,45,247
S004,6,1,6.119363799617691,2188.2416882588564,0,0,1,6.119363799617691,0.0,14,24,63
S005,6,1,4.168924263280374,1723.9815699571022,0,0,1,4.168924263280374,0.0,14,24,63
S006,6,1,2.5631494790859533,1487.1161986006484,0,0,1,2.5631494790859533,0.0,14,24,63
S007,5,1,3.382114976092084,1896.7154889141789,0,0,1,3.382114976092084,0.0,11,17,31
S008,5,2,5.7101177583093925,3762.541588384146,0,2,0,5.825076922464769,0.11495916415537621,11,17,31
S009,3,1,2.130236530099273,1631.3782951272271,0,1,0,3.810224451486021,1.679987921386748,6,7,7
S010,3,1,1.804912115129597,1524.547034583411,0,1,0,3.2091793124866874,1.4042671973570904,6,7,7
S011,3,1,1.0542701525007734,1132.6456889753713,0,1,0,1.8815368720890604,0.827266719588287,6,7,7
S012,3,1,2.7498930409760503,1917.9408462029787,0,1,0,4.921662158965991,2.1717691179899408,6,7,7
S013,3,1,1.8209951870678336,1507.5018734358305,0,1,0,3.245148464638979,1.4241532775711456,6,7,7
S014,3,1,2.0196221452292424,1580.116744566375,0,1,0,3.608170022644364,1.5885478774151216,6,7,7
S015,3,1,2.2954594864258335,1799.1455897396588,0,1,0,4.065401280617948,1.7699417941921145,6,7,7
all,80,19,58.677900718289365,33556.93469185533,0,11,8,73.60132253706162,14.923421818772255,236,432,18857
