rho,type,mass_limited_areas,energy_limited_areas,m_max_mean,m_max_min,m_max_max
10,A,15,0,25.0,25.0,25.0
10,B,15,0,30.0,30.0,30.0
10,C,10,5,78.6875,71.1081,80.0
15,A,15,0,25.0,25.0,25.0
15,B,15,0,30.0,30.0,30.0
15,C,10,5,77.091,65.5146,80.0
20,A,15,0,25.0,25.0,25.0
20,B,14,1,29.9088,28.632,30.0
20,C,10,5,75.0997,58.435,80.0
25,A,14,1,24.941,24.1148,25.0
25,B,10,5,29.3871,25.2724,30.0
25,C,9,6,72.4236,49.1113,80.0
30,A,12,3,23.8591,13.515,25.0
30,B,10,5,28.1248,20.7308,30.0
30,C,8,7,68.5179,35.9995,80.0
