task_id,class_id,box_id,pattern_id,start_time_s,delivery_offset_s,delivery_time_s,deadline_s
P016894-1,C002,B001,P016894,0.0,1206.898088758733,1206.898088758733,3600.0
P016894-1,C001,B002,P016894,0.0,1206.898088758733,1206.898088758733,3600.0
P016894-1,C005,B003,P016894,0.0,1206.898088758733,1206.898088758733,3600.0
P002704-1,C006,B004,P002704,2147.0,858.3019870741625,3005.3019870741628,inf
P008330-1,C006,B005,P008330,10516.0,1248.898088758733,11764.898088758733,inf
P008330-1,C006,B006,P008330,10516.0,1248.898088758733,11764.898088758733,inf
P008330-1,C006,B007,P008330,10516.0,1248.898088758733,11764.898088758733,inf
P008330-1,C006,B008,P008330,10516.0,1248.898088758733,11764.898088758733,inf
P015324-1,C006,B009,P015324,5519.0,912.8980887587328,6431.898088758733,inf
P016894-1,C006,B010,P016894,0.0,1206.898088758733,1206.898088758733,inf
P008330-1,C003,B011,P008330,10516.0,1248.898088758733,11764.898088758733,inf
P008330-1,C003,B012,P008330,10516.0,1248.898088758733,11764.898088758733,inf
P008330-1,C003,B013,P008330,10516.0,1248.898088758733,11764.898088758733,inf
P002704-1,C004,B014,P002704,2147.0,858.3019870741625,3005.3019870741628,inf
P016894-1,C004,B015,P016894,0.0,1206.898088758733,1206.898088758733,inf
P001179-1,C007,B016,P001179,0.0,1557.874347160894,1557.874347160894,3600.0
P001179-1,C010,B017,P001179,0.0,1557.874347160894,1557.874347160894,3600.0
P008402-1,C011,B018,P008402,8920.0,1488.9133786226248,10408.913378622625,inf
P008402-1,C011,B019,P008402,8920.0,1488.9133786226248,10408.913378622625,inf
P008402-1,C011,B020,P008402,8920.0,1488.9133786226248,10408.913378622625,inf
P008402-1,C008,B021,P008402,8920.0,1488.9133786226248,10408.913378622625,inf
P008402-1,C008,B022,P008402,8920.0,1488.9133786226248,10408.913378622625,inf
P008402-1,C009,B023,P008402,8920.0,1488.9133786226248,10408.913378622625,inf
P001326-1,C012,B024,P001326,0.0,1439.111829747456,1439.111829747456,7200.0
P001326-1,C015,B025,P001326,0.0,1439.111829747456,1439.111829747456,7200.0
P008461-1,C016,B026,P008461,8080.0,1645.3647604288242,9725.364760428824,inf
P008461-1,C016,B027,P008461,8080.0,1645.3647604288242,9725.364760428824,inf
P008461-1,C016,B028,P008461,8080.0,1645.3647604288242,9725.364760428824,inf
P008461-1,C013,B029,P008461,8080.0,1645.3647604288242,9725.364760428824,inf
P008461-1,C013,B030,P008461,8080.0,1645.3647604288242,9725.364760428824,inf
P008461-1,C014,B031,P008461,8080.0,1645.3647604288242,9725.364760428824,inf
P008547-1,C017,B032,P008547,4108.0,1585.5620324839206,5693.56203248392,7200.0
P008547-1,C020,B033,P008547,4108.0,1585.5620324839206,5693.56203248392,7200.0
P008547-1,C021,B034,P008547,4108.0,1585.5620324839206,5693.56203248392,inf
P008547-1,C021,B035,P008547,4108.0,1585.5620324839206,5693.56203248392,inf
P008547-1,C018,B036,P008547,4108.0,1585.5620324839206,5693.56203248392,inf
P008547-1,C019,B037,P008547,4108.0,1585.5620324839206,5693.56203248392,inf
P008594-1,C022,B038,P008594,6535.0,1374.6573203179064,7909.657320317907,10800.0
P008594-1,C025,B039,P008594,6535.0,1374.6573203179064,7909.657320317907,10800.0
P008594-1,C026,B040,P008594,6535.0,1374.6573203179064,7909.657320317907,inf
P008594-1,C026,B041,P008594,6535.0,1374.6573203179064,7909.657320317907,inf
P008594-1,C023,B042,P008594,6535.0,1374.6573203179064,7909.657320317907,inf
P008594-1,C024,B043,P008594,6535.0,1374.6573203179064,7909.657320317907,inf
P001326-1,C027,B044,P001326,0.0,2266.805122748764,2266.805122748764,3600.0
P008617-1,C030,B045,P008617,0.0,1143.0766497153631,1143.0766497153631,3600.0
P008617-1,C031,B046,P008617,0.0,1143.0766497153631,1143.0766497153631,inf
P008617-1,C031,B047,P008617,0.0,1143.0766497153631,1143.0766497153631,inf
P008617-1,C028,B048,P008617,0.0,1143.0766497153631,1143.0766497153631,inf
P008617-1,C029,B049,P008617,0.0,1143.0766497153631,1143.0766497153631,inf
P050624-1,C032,B050,P050624,1495.0,2052.6980774466724,3547.6980774466724,3600.0
P050624-1,C035,B051,P050624,1495.0,2052.6980774466724,3547.6980774466724,3600.0
P050624-1,C036,B052,P050624,1495.0,2052.6980774466724,3547.6980774466724,inf
P050624-1,C033,B053,P050624,1495.0,2052.6980774466724,3547.6980774466724,inf
P050624-1,C034,B054,P050624,1495.0,2052.6980774466724,3547.6980774466724,inf
P051203-1,C037,B055,P051203,2822.0,1992.3883159599443,4814.3883159599445,7200.0
P051203-1,C040,B056,P051203,2822.0,1992.3883159599443,4814.3883159599445,7200.0
P051203-1,C041,B057,P051203,2822.0,1992.3883159599443,4814.3883159599445,inf
P051203-1,C038,B058,P051203,2822.0,1992.3883159599443,4814.3883159599445,inf
P051203-1,C039,B059,P051203,2822.0,1992.3883159599443,4814.3883159599445,inf
P001179-1,C042,B060,P001179,0.0,1127.3572431194746,1127.3572431194746,10800.0
P015324-1,C044,B061,P015324,5519.0,1417.4906373190988,6936.490637319099,10800.0
P015324-1,C043,B062,P015324,5519.0,1417.4906373190988,6936.490637319099,inf
P002874-1,C045,B063,P002874,2147.0,1084.8223462305075,3231.8223462305077,3600.0
P002874-1,C047,B064,P002874,2147.0,1084.8223462305075,3231.8223462305077,3600.0
P002874-1,C046,B065,P002874,2147.0,1084.8223462305075,3231.8223462305077,inf
P051203-1,C048,B066,P051203,2822.0,1124.5054354300685,3946.5054354300682,10800.0
P051203-1,C050,B067,P051203,2822.0,1124.5054354300685,3946.5054354300682,10800.0
P051203-1,C049,B068,P051203,2822.0,1124.5054354300685,3946.5054354300682,inf
P008229-1,C051,B069,P008229,0.0,1241.8300190487548,1241.8300190487548,3600.0
P008229-1,C053,B070,P008229,0.0,1241.8300190487548,1241.8300190487548,3600.0
P008211-1,C052,B071,P008211,0.0,1211.8300190487548,1211.8300190487548,inf
P008211-1,C054,B072,P008211,0.0,1698.9321494432634,1698.9321494432634,3600.0
P008211-1,C056,B073,P008211,0.0,1698.9321494432634,1698.9321494432634,3600.0
P008229-1,C055,B074,P008229,0.0,1698.9321494432634,1698.9321494432634,inf
P016894-1,C057,B075,P016894,0.0,2132.4165398265413,2132.4165398265413,3600.0
P016894-1,C059,B076,P016894,0.0,2132.4165398265413,2132.4165398265413,3600.0
P016894-1,C058,B077,P016894,0.0,2132.4165398265413,2132.4165398265413,inf
P050624-1,C060,B078,P050624,1495.0,1455.563038807004,2950.563038807004,7200.0
P050624-1,C062,B079,P050624,1495.0,1455.563038807004,2950.563038807004,10800.0
P050624-1,C061,B080,P050624,1495.0,1455.563038807004,2950.563038807004,inf
