task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order,flight_release_s,battery_release_s
P001179-1,U01,A,BAT_A01,0.0,2279.799820896939,2279.799820896939,3.003820472960228,2279.799820896939,3647.570179752116,1367.770358855177,2,3,S009>S002,2280,3648
P001326-1,U02,A,BAT_A02,0.0,2644.3492811454093,2644.3492811454093,3.2215899362302034,2644.3492811454093,4075.0308182785793,1430.68153713317,2,3,S003>S006,2645,4076
P008211-1,U05,B,BAT_B01,0.0,2146.5988403522592,2146.5988403522592,2.91912819566205,2146.5988403522592,4078.2210584724808,1931.6222181202215,2,3,S012>S013,2147,4079
P002704-1,U05,B,BAT_B03,2147.0,3297.3573074816586,1150.3573074816584,1.0770845709208954,3297.3573074816586,4430.76062154738,1133.4033140657214,1,2,S001,3298,4431
P008229-1,U06,B,BAT_B02,0.0,2146.5988403522592,2146.5988403522592,2.8479204293920297,2146.5988403522592,4047.364359755472,1900.765519403213,2,3,S012>S013,2147,4048
P002874-1,U06,B,BAT_B04,2147.0,3701.5713591276817,1554.5713591276815,1.8210449428989823,3701.5713591276817,5157.357501050574,1455.7861419228925,1,3,S010,3702,5158
P008617-1,U07,C,BAT_C01,0.0,1494.8632994307263,1494.8632994307263,2.53556196695801,1494.8632994307263,3014.9113321485206,1520.0480327177943,1,5,S006,1495,3015
P050624-1,U07,C,BAT_C03,1495.0,4107.478710697707,2612.478710697708,5.884445864348507,4107.478710697707,6534.516132292095,2427.0374215943875,2,8,S015>S007,4108,6535
P008547-1,U07,C,BAT_C01,4108.0,6413.184064967842,2305.184064967841,6.1769107423796425,6413.184064967842,8919.430724362328,2506.2466593944864,1,6,S004,6414,8920
P008594-1,U07,C,BAT_C03,6535.0,8415.044640635813,1880.0446406358128,4.2387743677705485,8415.044640635813,10396.379365240336,1981.3347246045237,1,6,S005,8416,10397
P008402-1,U07,C,BAT_C01,8920.0,11031.00675724525,2111.00675724525,6.125019578427351,11031.00675724525,13523.199559735991,2492.192802490741,1,6,S002,11032,13524
P016894-1,U08,C,BAT_C02,0.0,2821.646496785836,2821.646496785836,5.274280493912585,2821.646496785836,5083.430797220494,2261.7843004346582,2,8,S001>S014,2822,5084
P051203-1,U08,C,BAT_C04,2822.0,5518.427513918611,2696.427513918611,6.377502256793861,5518.427513918611,8079.001041800282,2560.5735278816705,2,8,S011>S008,5519,8080
P015324-1,U08,C,BAT_C02,5519.0,7426.0581576854465,1907.0581576854468,3.8864709722832345,7426.0581576854465,9311.97737934549,1885.9192216600427,2,3,S001>S009,7427,9312
P008461-1,U08,C,BAT_C04,8080.0,10515.809520857649,2435.8095208576483,6.1477696491366665,10515.809520857649,13014.163800832162,2498.3542799745137,1,6,S003,10516,13015
P008330-1,U08,C,BAT_C02,10516.0,12077.426177517465,1561.4261775174657,3.090883452223125,12077.426177517465,13747.87377916123,1670.447601643763,1,7,S001,12078,13748
