uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay,task_id,cargo_pattern,charge_time_s,start_hint_s,uav_id,battery_id,start_time_s
A,2,S009>S002,3,20.0,0.051,3.003820472960228,2279.799820896939,0.3324843393421716,True,2042.125652839106,1167.2836931370866,1112.5161277598522,0.4879885144135841,1,1112.5161277598522,-5.482718810576927,1,P001179-1,C007:1|C010:1|C042:1,0.0,0.0,U01,BAT_A01,0.0
A,2,S003>S006,3,20.0,0.051,3.2215899362302034,2644.3492811454093,0.284091125282177,True,1333.194877251236,1691.984607159672,952.3646739857372,0.360150862360065,1,952.3646739857372,-5.295996049876194,1,P001326-1,C012:1|C015:1|C027:1,0.0,0.0,U02,BAT_A02,0.0
B,1,S001,2,20.0,0.062,1.0770845709208954,1150.3573074816584,0.7307288572697761,False,inf,1150.3573074816584,0.0,0.0,0,0.0,2.2144147110676613,0,P002704-1,C004:1|C006:1,0.0,2147.0,U05,BAT_B03,2147.0
B,1,S010,3,25.0,0.067,1.8210449428989823,1554.5713591276815,0.5447387642752544,True,2515.1776537694923,1144.3823462305072,410.1890128971743,0.263859880402881,1,410.1890128971743,-1.6556759388739977,1,P002874-1,C045:1|C046:1|C047:1,0.0,2147.0,U06,BAT_B04,2147.0
B,2,S012>S013,3,25.0,0.067,2.91912819566205,2146.5988403522592,0.2702179510844875,True,1901.0678505567369,1117.039747956522,1029.5590923957373,0.4796234270893323,1,1029.5590923957373,-5.443640922583995,1,P008211-1,C052:1|C054:1|C056:1,0.0,0.0,U05,BAT_B01,0.0
B,2,S012>S013,3,25.0,0.067,2.8479204293920297,2146.5988403522592,0.2880198926519925,True,2358.169980951245,1117.039747956522,1029.5590923957373,0.4796234270893323,1,1029.5590923957373,-5.443640922583995,1,P008229-1,C051:1|C053:1|C055:1,0.0,0.0,U06,BAT_B02,0.0
C,1,S001,7,80.0,0.192,3.090883452223125,1561.4261775174657,0.6136395684721094,False,inf,1561.4261775174657,0.0,0.0,0,0.0,2.2144147110676613,0,P008330-1,C003:3|C006:4,0.0,10516.0,U08,BAT_C02,10516.0
C,1,S002,6,64.0,0.172,6.125019578427351,2111.00675724525,0.2343725526965812,False,inf,1168.8133786226251,942.1933786226248,0.4463241888681287,1,942.1933786226248,-5.48219992618948,1,P008402-1,C008:2|C009:1|C011:3,0.0,8920.0,U07,BAT_C01,8920.0
C,1,S003,6,64.0,0.172,6.1477696491366665,2435.8095208576483,0.2315287938579167,False,inf,1394.7647604288238,1041.0447604288245,0.4273916952513892,1,1041.0447604288245,-5.288334514260441,1,P008461-1,C013:2|C014:1|C016:3,0.0,8080.0,U08,BAT_C04,8080.0
C,1,S004,6,59.0,0.156,6.1769107423796425,2305.184064967841,0.2278861572025446,True,5614.43796751608,1409.8620324839203,895.3220324839206,0.3883950293125121,1,895.3220324839206,-5.839925593266557,1,P008547-1,C017:1|C018:1|C019:1|C020:1|C021:2,0.0,4108.0,U07,BAT_C01,4108.0
C,1,S005,6,59.0,0.156,4.2387743677705485,1880.0446406358128,0.4701532040286814,True,9425.342679682091,1282.3073203179065,597.7373203179063,0.3179378337079046,1,597.7373203179063,-2.547971547580076,1,P008594-1,C022:1|C023:1|C024:1|C025:1|C026:2,0.0,6535.0,U07,BAT_C03,6535.0
C,1,S006,5,56.0,0.144,2.53556196695801,1494.8632994307263,0.6830547541302487,True,2456.923350284637,1494.8632994307263,0.0,0.0,0,0.0,1.8739996127073368,0,P008617-1,C028:1|C029:1|C030:1|C031:2,0.0,0.0,U07,BAT_C01,0.0
C,2,S001>S009,3,36.0,0.082,3.8864709722832345,1907.0581576854468,0.5141911284645957,True,9382.5093626809,1360.8656091250807,546.192548560366,0.2864058163927562,1,546.192548560366,-3.209010330240588,1,P015324-1,C006:1|C043:1|C044:1,0.0,5519.0,U08,BAT_C02,5519.0
C,2,S001>S014,8,65.0,0.18,5.274280493912585,2821.646496785836,0.3407149382609269,True,1467.583460173459,2086.1692566555275,735.4772401303085,0.2606553446606786,1,735.4772401303085,-2.749877307286681,1,P016894-1,C001:1|C002:1|C004:1|C005:1|C006:1|C057:1|C058:1|C059:1,0.0,0.0,U08,BAT_C02,0.0
C,2,S015>S007,8,70.0,0.196,5.884445864348507,2612.478710697708,0.2644442669564366,True,1547.3019225533276,1442.0310653799418,1170.447645317766,0.4480218883793995,1,1170.447645317766,-3.666371127136273,1,P050624-1,C032:1|C033:1|C034:1|C035:1|C036:1|C060:1|C061:1|C062:1,0.0,1495.0,U07,BAT_C03,1495.0
C,2,S011>S008,8,70.0,0.196,6.377502256793861,2696.427513918611,0.2028122179007674,True,5207.611684040056,1848.0675020410788,848.3600118775323,0.314623703955848,1,848.3600118775323,-6.238708362975757,1,P051203-1,C037:1|C038:1|C039:1|C040:1|C041:1|C048:1|C049:1|C050:1,0.0,2822.0,U08,BAT_C04,2822.0
