task_id,class_id,box_id,pattern_id,start_time_s,delivery_offset_s,delivery_time_s,deadline_s
P008360-1,C002,B001,P008360,0.0,984.8980887587328,984.8980887587328,3600.0
P008360-1,C001,B002,P008360,0.0,984.8980887587328,984.8980887587328,3600.0
P008360-1,C005,B003,P008360,0.0,984.8980887587328,984.8980887587328,3600.0
P000005-1,C006,B004,P000005,1313.0,909.3587719896758,2222.358771989676,inf
P000005-2,C006,B005,P000005,4759.0,909.3587719896758,5668.358771989676,inf
P000891-1,C006,B006,P000891,0.0,1561.3637618801606,1561.3637618801606,inf
P008328-1,C006,B007,P008328,0.0,1248.898088758733,1248.898088758733,inf
P008328-1,C006,B008,P008328,0.0,1248.898088758733,1248.898088758733,inf
P008328-1,C006,B009,P008328,0.0,1248.898088758733,1248.898088758733,inf
P008328-1,C006,B010,P008328,0.0,1248.898088758733,1248.898088758733,inf
P000005-1,C003,B011,P000005,1313.0,909.3587719896758,2222.358771989676,inf
P000005-2,C003,B012,P000005,4759.0,909.3587719896758,5668.358771989676,inf
P008328-1,C003,B013,P008328,0.0,1248.898088758733,1248.898088758733,inf
P008328-1,C004,B014,P008328,0.0,1248.898088758733,1248.898088758733,inf
P008328-1,C004,B015,P008328,0.0,1248.898088758733,1248.898088758733,inf
P008441-1,C007,B016,P008441,1562.0,1554.9133786226248,3116.913378622625,3600.0
P008441-1,C010,B017,P008441,1562.0,1554.9133786226248,3116.913378622625,3600.0
P001153-1,C011,B018,P001153,3438.0,1497.874347160894,4935.874347160894,inf
P008441-1,C011,B019,P008441,1562.0,1554.9133786226248,3116.913378622625,inf
P008441-1,C011,B020,P008441,1562.0,1554.9133786226248,3116.913378622625,inf
P008441-1,C008,B021,P008441,1562.0,1554.9133786226248,3116.913378622625,inf
P008441-1,C008,B022,P008441,1562.0,1554.9133786226248,3116.913378622625,inf
P008441-1,C009,B023,P008441,1562.0,1554.9133786226248,3116.913378622625,inf
P025004-1,C012,B024,P025004,1298.0,2034.86799865566,3332.86799865566,7200.0
P025004-1,C015,B025,P025004,1298.0,2034.86799865566,3332.86799865566,7200.0
P000039-1,C016,B026,P000039,2422.0,1409.111829747456,3831.111829747456,inf
P002754-1,C016,B027,P002754,0.0,1288.0940707315583,1288.0940707315583,inf
P002754-1,C016,B028,P002754,0.0,1288.0940707315583,1288.0940707315583,inf
P000039-1,C013,B029,P000039,2422.0,1409.111829747456,3831.111829747456,inf
P025004-1,C013,B030,P025004,1298.0,2034.86799865566,3332.86799865566,inf
P025004-1,C014,B031,P025004,1298.0,2034.86799865566,3332.86799865566,inf
P008547-1,C017,B032,P008547,3740.0,1585.5620324839206,5325.56203248392,7200.0
P008547-1,C020,B033,P008547,3740.0,1585.5620324839206,5325.56203248392,7200.0
P008547-1,C021,B034,P008547,3740.0,1585.5620324839206,5325.56203248392,inf
P008547-1,C021,B035,P008547,3740.0,1585.5620324839206,5325.56203248392,inf
P008547-1,C018,B036,P008547,3740.0,1585.5620324839206,5325.56203248392,inf
P008547-1,C019,B037,P008547,3740.0,1585.5620324839206,5325.56203248392,inf
P008594-1,C022,B038,P008594,4124.0,1374.6573203179064,5498.657320317907,10800.0
P008594-1,C025,B039,P008594,4124.0,1374.6573203179064,5498.657320317907,10800.0
P008594-1,C026,B040,P008594,4124.0,1374.6573203179064,5498.657320317907,inf
P008594-1,C026,B041,P008594,4124.0,1374.6573203179064,5498.657320317907,inf
P008594-1,C023,B042,P008594,4124.0,1374.6573203179064,5498.657320317907,inf
P008594-1,C024,B043,P008594,4124.0,1374.6573203179064,5498.657320317907,inf
P000077-1,C027,B044,P000077,0.0,935.070825063312,935.070825063312,3600.0
P000077-1,C030,B045,P000077,0.0,935.070825063312,935.070825063312,3600.0
P000073-1,C031,B046,P000073,4685.0,935.070825063312,5620.070825063312,inf
P002814-1,C031,B047,P002814,0.0,882.0536764894517,882.0536764894517,inf
P000073-1,C028,B048,P000073,4685.0,935.070825063312,5620.070825063312,inf
P002814-1,C029,B049,P002814,0.0,882.0536764894517,882.0536764894517,inf
P025004-1,C032,B050,P025004,1298.0,1467.7006332510348,2765.7006332510346,3600.0
P025004-1,C035,B051,P025004,1298.0,1467.7006332510348,2765.7006332510346,3600.0
P025004-1,C036,B052,P025004,1298.0,1467.7006332510348,2765.7006332510346,inf
P025004-1,C033,B053,P025004,1298.0,1467.7006332510348,2765.7006332510346,inf
P025004-1,C034,B054,P025004,1298.0,1467.7006332510348,2765.7006332510346,inf
P002860-1,C037,B055,P002860,3960.0,1293.1709759127682,5253.170975912768,7200.0
P002860-1,C040,B056,P002860,3960.0,1293.1709759127682,5253.170975912768,7200.0
P002293-1,C041,B057,P002293,0.0,1613.3847433996375,1613.3847433996375,inf
P002860-1,C038,B058,P002860,3960.0,1293.1709759127682,5253.170975912768,inf
P000093-1,C039,B059,P000093,3854.0,1308.3286756404718,5162.328675640472,inf
P001153-1,C042,B060,P001153,3438.0,1097.3572431194746,4535.357243119474,10800.0
P000104-1,C044,B061,P000104,3067.0,1127.3572431194746,4194.357243119474,10800.0
P000104-1,C043,B062,P000104,3067.0,1127.3572431194746,4194.357243119474,inf
P002523-1,C045,B063,P002523,1164.0,1520.6026200486217,2684.6026200486217,3600.0
P000110-1,C047,B064,P000110,1992.0,1104.4629012533037,3096.4629012533037,3600.0
P000110-1,C046,B065,P000110,1992.0,1104.4629012533037,3096.4629012533037,inf
P002293-1,C048,B066,P002293,0.0,863.9542734339071,863.9542734339071,10800.0
P000114-1,C050,B067,P000114,0.0,833.9542734339071,833.9542734339071,10800.0
P002876-1,C049,B068,P002876,4906.0,787.0018095348861,5693.001809534886,inf
P002888-1,C051,B069,P002888,2021.0,1271.8300190487548,3292.830019048755,3600.0
P002888-1,C053,B070,P002888,2021.0,1271.8300190487548,3292.830019048755,3600.0
P002888-1,C052,B071,P002888,2021.0,1271.8300190487548,3292.830019048755,inf
P002523-1,C054,B072,P002523,1164.0,1113.545029285659,2277.545029285659,3600.0
P002523-1,C056,B073,P002523,1164.0,1113.545029285659,2277.545029285659,3600.0
P000891-1,C055,B074,P000891,0.0,1053.545029285659,1053.545029285659,inf
P002902-1,C057,B075,P002902,1207.0,1241.8553923434088,2448.8553923434088,3600.0
P002902-1,C059,B076,P002902,1207.0,1241.8553923434088,2448.8553923434088,3600.0
P002902-1,C058,B077,P002902,1207.0,1241.8553923434088,2448.8553923434088,inf
P002909-1,C060,B078,P002909,3076.0,1218.226496245155,4294.226496245155,7200.0
P002909-1,C062,B079,P002909,3076.0,1218.226496245155,4294.226496245155,10800.0
P002909-1,C061,B080,P002909,3076.0,1218.226496245155,4294.226496245155,inf
