task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order,flight_release_s,battery_release_s
P000001-1,U01,A,BAT_A01,0.0,1192.470877312685,1192.470877312685,1.22307515767693,1192.470877312685,2045.803700641576,853.332823328891,1,1,S001,1193,2046
P000128-1,U01,A,BAT_A05,1193.0,2805.0233919046514,1612.0233919046514,2.0252312019390644,2805.0233919046514,3890.090183575937,1085.0667916712853,1,2,S013,2806,3891
P000084-1,U01,A,BAT_A03,3150.0,4877.317596006005,1727.3175960060048,1.9706696366234688,4877.317596006005,5946.622157697229,1069.3045616912243,1,2,S007,4878,5947
P001153-1,U01,A,BAT_A06,5027.0,7246.799820896938,2219.799820896939,2.948053836316883,7246.799820896938,8598.45981805515,1351.6599971582104,2,2,S009>S002,7247,8599
P000074-1,U02,A,BAT_A02,0.0,1312.6149834599576,1312.6149834599576,1.354999454410149,1312.6149834599576,2204.059270289556,891.4442868295985,1,2,S006,1313,2205
P002651-1,U02,A,BAT_A06,1313.0,3651.4501997119714,2338.4501997119714,3.02912390620177,3651.4501997119714,5026.530439281371,1375.0802395694002,2,2,S013>S012,3652,5027
P000027-1,U02,A,BAT_A04,3652.0,5659.73094747209,2007.7309474720896,3.0281685265506377,5659.73094747209,7034.535188475607,1374.8042410035173,1,2,S002,5660,7035
P000067-1,U02,A,BAT_A02,5660.0,7355.7581046684645,1695.7581046684645,2.046042483154676,7355.7581046684645,8446.837044246482,1091.0789395780175,1,2,S005,7356,8447
P000136-1,U03,A,BAT_A03,0.0,1988.9611053702408,1988.9611053702408,2.287650601258055,1988.9611053702408,3149.8379457336787,1160.876840363438,1,2,S014,1989,3150
P000110-1,U03,A,BAT_A01,2046.0,3699.8524691732737,1653.852469173274,2.0198116904222125,3699.8524691732737,4783.353624184135,1083.5011550108613,1,2,S010,3700,4784
P000099-1,U03,A,BAT_A05,3891.0,6067.204017947611,2176.2040179476107,3.211553578754032,6067.204017947611,7494.986162920997,1427.782144973387,1,2,S008,6068,7495
P000116-1,U03,A,BAT_A03,6068.0,7291.535213534481,1223.5352135344808,1.194888093078244,7291.535213534481,8136.7251070904185,845.1898935559371,1,2,S011,7292,8137
P000143-1,U04,A,BAT_A04,0.0,1970.20984697682,1970.20984697682,2.395963417961528,1970.20984697682,3162.3770566101502,1192.1672096333305,1,2,S015,1971,3163
P000125-1,U04,A,BAT_A02,2205.0,4315.414682835104,2110.414682835104,2.8689160516355905,4315.414682835104,5644.212653307608,1328.797970472504,1,2,S012,4316,5645
P001421-1,U04,A,BAT_A01,4784.0,7327.798941542515,2543.7989415425154,3.310692560889614,7327.798941542515,8784.221236910626,1456.4222953681106,2,2,S015>S003,7328,8785
P002706-1,U05,B,BAT_B01,0.0,1150.3573074816584,1150.3573074816584,0.9927462429280284,1150.3573074816584,2247.214012750471,1096.8567052688122,1,2,S001,1151,2248
P004780-1,U05,B,BAT_B03,1151.0,3330.683316742361,2179.683316742361,2.474853876872265,3330.683316742361,5069.786663387009,1739.1033466446481,2,2,S007>S003,3331,5070
P002751-1,U05,B,BAT_B01,3331.0,5351.24147479645,2020.2414747964503,2.654443926315979,5351.24147479645,7168.1671762000415,1816.925701403591,1,2,S003,5352,7169
P002778-1,U05,B,BAT_B03,5352.0,7277.77100954792,1925.7710095479192,2.449030437883633,7277.77100954792,9005.684199297493,1727.9131897495743,1,2,S004,7278,9006
P007378-1,U06,B,BAT_B02,0.0,2055.402245808285,2055.402245808285,1.9935852279896389,2055.402245808285,3585.9558446037954,1530.5535987955104,2,2,S010>S014,2056,3586
P002822-1,U06,B,BAT_B04,2056.0,3632.1902081524604,1576.1902081524602,1.656283494582559,3632.1902081524604,5016.57972247157,1384.389514319109,1,2,S007,3633,5017
P004503-1,U06,B,BAT_B02,3633.0,5780.821158165394,2147.8211581653945,2.9194664027544963,5780.821158165394,7712.589932692343,1931.7687745269484,2,3,S011>S002,5781,7713
P002853-1,U06,B,BAT_B04,5781.0,7281.778736614857,1500.7787366148573,2.00615948145015,7281.778736614857,8817.781178576588,1536.0024419617316,1,2,S009,7282,8818
P007696-1,U07,C,BAT_C01,0.0,1561.4261775174657,1561.4261775174657,3.090883452223125,1561.4261775174657,3231.8737791612284,1670.447601643763,1,7,S001,1562,3232
P007813-1,U07,C,BAT_C04,1562.0,2990.8632994307263,1428.8632994307263,2.2671501862956878,2990.8632994307263,4438.216474885809,1447.353175455082,1,4,S006,2991,4439
P007746-1,U07,C,BAT_C02,2991.0,5294.809520857649,2303.8095208576483,5.158598782521279,5294.809520857649,7525.263357790495,2230.4538369328466,1,4,S003,5295,7526
P007855-1,U07,C,BAT_C04,5295.0,7366.7583959173335,2071.758395917333,5.421397281583459,7366.7583959173335,9668.386826346186,2301.6284304288533,1,3,S008,7367,9669
P007706-1,U08,C,BAT_C02,1.0,1430.4261775174657,1429.4261775174657,2.2882164448140943,1430.4261775174657,2883.4847979879496,1453.058620470484,1,5,S001,1431,2884
P007726-1,U08,C,BAT_C03,1431.0,3344.00675724525,1913.0067572452497,4.870033787671201,3344.00675724525,5496.307574739534,2152.300817494284,1,3,S002,3345,5497
P007755-1,U08,C,BAT_C01,3345.0,5518.184064967842,2173.184064967841,5.7277360023062345,5518.184064967842,7902.779232259114,2384.595167291272,1,4,S004,5519,7903
P007781-1,U08,C,BAT_C03,5519.0,7267.044640635813,1748.0446406358128,3.9790991063996657,7267.044640635813,9178.050648619057,1911.0060079832429,1,4,S005,7268,9179
