uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s,task_id,cargo_pattern,charge_time_s,start_hint_s,uav_id,battery_id,start_time_s
A,1,S001,1,14.0,0.027,1.22307515767693,1192.470877312685,0.7282055205162379,False,inf,P000001-1,C006:1,0.0,0.0,U01,BAT_A01,0.0
A,1,S002,2,22.0,0.055,3.0281685265506377,2007.7309474720896,0.327073660766525,False,inf,P000027-1,C008:1|C011:1,0.0,3652.0,U02,BAT_A04,3652.0
A,1,S005,2,9.0,0.047,2.046042483154676,1695.7581046684645,0.5453238926322943,True,9669.364280999102,P000067-1,C022:1|C024:1,0.0,5660.0,U02,BAT_A02,5660.0
A,1,S006,2,22.0,0.055,1.354999454410149,1312.6149834599576,0.6988890101310781,True,2664.929174936688,P000074-1,C028:1|C030:1,0.0,0.0,U02,BAT_A02,0.0
A,1,S007,2,22.0,0.055,1.9706696366234688,1727.3175960060048,0.5620734140836736,False,inf,P000084-1,C033:1|C036:1,0.0,3150.0,U01,BAT_A03,3150.0
A,1,S008,2,17.0,0.039,3.211553578754032,2176.2040179476107,0.2863214269435485,True,5831.671324359528,P000099-1,C037:1|C040:1,0.0,3891.0,U03,BAT_A05,3891.0
A,1,S010,2,22.0,0.055,2.0198116904222125,1653.852469173274,0.5511529576839528,True,2495.5370987466963,P000110-1,C046:1|C047:1,0.0,2046.0,U03,BAT_A01,2046.0
A,1,S011,2,22.0,0.055,1.194888093078244,1223.5352135344808,0.7344693126492792,True,9906.045726566092,P000116-1,C049:1|C050:1,0.0,6068.0,U03,BAT_A03,6068.0
A,1,S012,2,11.0,0.04,2.8689160516355905,2110.414682835104,0.3624630996365354,True,2264.862658582448,P000125-1,C051:1|C052:1,0.0,2205.0,U04,BAT_A02,2205.0
A,1,S013,2,22.0,0.055,2.0252312019390644,1612.0233919046514,0.549948621791319,True,2516.454970714341,P000128-1,C055:1|C056:1,0.0,1193.0,U01,BAT_A05,1193.0
A,1,S014,2,17.0,0.039,2.287650601258055,1988.9611053702408,0.4916331997204322,True,2327.962780648213,P000136-1,C057:1|C059:1,0.0,0.0,U03,BAT_A03,0.0
A,1,S015,2,11.0,0.04,2.395963417961528,1970.20984697682,0.4675636848974382,True,5941.45507651159,P000143-1,C060:1|C061:1,0.0,0.0,U04,BAT_A04,0.0
A,2,S009>S002,2,17.0,0.039,2.948053836316883,2219.799820896939,0.3448769252629149,True,9702.642756880525,P001153-1,C011:1|C042:1,0.0,5027.0,U01,BAT_A06,5027.0
A,2,S015>S003,2,22.0,0.055,3.310692560889614,2543.7989415425154,0.2642905420245303,True,9571.45507651159,P001421-1,C013:1|C062:1,0.0,4784.0,U04,BAT_A01,4784.0
A,2,S013>S012,2,17.0,0.039,3.02912390620177,2338.4501997119714,0.3268613541773845,True,2036.8271417055803,P002651-1,C053:1|C054:1,0.0,1313.0,U02,BAT_A06,1313.0
B,1,S001,2,12.0,0.07,0.9927462429280284,1150.3573074816584,0.7518134392679929,False,inf,P002706-1,C004:2,0.0,0.0,U05,BAT_B01,0.0
B,1,S003,2,22.0,0.055,2.654443926315979,2020.2414747964503,0.3363890184210052,False,inf,P002751-1,C013:1|C016:1,0.0,3331.0,U05,BAT_B01,3331.0
B,1,S004,2,11.0,0.04,2.449030437883633,1925.7710095479192,0.3877423905290917,True,5955.467828559374,P002778-1,C017:1|C018:1,0.0,5352.0,U05,BAT_B03,5352.0
B,1,S007,2,20.0,0.062,1.656283494582559,1576.1902081524602,0.5859291263543602,True,2534.26489592377,P002822-1,C034:1|C035:1,0.0,2056.0,U06,BAT_B04,2056.0
B,1,S009,2,22.0,0.055,2.00615948145015,1500.7787366148573,0.4984601296374624,True,9768.020631692572,P002853-1,C043:1|C044:1,0.0,5781.0,U06,BAT_B04,5781.0
B,2,S011>S002,3,25.0,0.067,2.9194664027544963,2147.8211581653945,0.2701333993113759,True,9952.998190465114,P004503-1,C008:1|C011:1|C048:1,0.0,3633.0,U06,BAT_B02,3633.0
B,2,S007>S003,2,17.0,0.039,2.474853876872265,2179.683316742361,0.3812865307819337,True,2564.26489592377,P004780-1,C016:1|C032:1,0.0,1151.0,U05,BAT_B03,1151.0
B,2,S010>S014,2,11.0,0.04,1.9935852279896389,2055.402245808285,0.5016036930025903,True,2605.1776537694923,P007378-1,C045:1|C058:1,0.0,0.0,U06,BAT_B02,0.0
C,1,S001,7,80.0,0.192,3.090883452223125,1561.4261775174657,0.6136395684721094,False,inf,P007696-1,C003:3|C006:4,0.0,0.0,U07,BAT_C01,0.0
C,1,S001,5,48.0,0.105,2.2882164448140943,1429.4261775174657,0.7139729443982382,True,2483.1019112412678,P007706-1,C001:1|C002:1|C005:1|C006:2,0.0,1.0,U08,BAT_C02,1.0
C,1,S002,3,23.0,0.074,4.870033787671201,1913.0067572452497,0.3912457765410998,True,2309.086621377375,P007726-1,C007:1|C009:1|C010:1,0.0,1431.0,U08,BAT_C03,1431.0
C,1,S003,4,37.0,0.1009999999999999,5.158598782521279,2303.8095208576483,0.3551751521848401,True,5686.635239571176,P007746-1,C012:1|C014:1|C015:1|C016:1,0.0,2991.0,U07,BAT_C02,2991.0
C,1,S004,4,48.0,0.1159999999999999,5.7277360023062345,2173.184064967841,0.2840329997117207,True,5746.43796751608,P007755-1,C019:1|C020:1|C021:2,0.0,3345.0,U08,BAT_C01,3345.0
C,1,S005,4,50.0,0.109,3.9790991063996657,1748.0446406358128,0.5026126117000418,True,9557.342679682091,P007781-1,C023:1|C025:1|C026:2,0.0,5519.0,U08,BAT_C03,5519.0
C,1,S006,4,37.0,0.101,2.2671501862956878,1428.8632994307263,0.7166062267130391,True,2522.923350284637,P007813-1,C027:1|C029:1|C031:2,0.0,1562.0,U07,BAT_C04,1562.0
C,1,S008,3,28.0,0.09,5.421397281583459,2071.758395917333,0.3223253398020677,False,inf,P007855-1,C038:1|C039:1|C041:1,0.0,5295.0,U07,BAT_C04,5295.0
