task_id,class_id,box_id,pattern_id,start_time_s,delivery_offset_s,delivery_time_s,deadline_s
P008382-1,C002,B001,P008382,2178.0,1380.898088758733,3558.898088758733,3600.0
P008382-1,C001,B002,P008382,2178.0,1380.898088758733,3558.898088758733,3600.0
P008382-1,C005,B003,P008382,2178.0,1380.898088758733,3558.898088758733,3600.0
P002910-1,C006,B004,P002910,7026.0,828.3019870741625,7854.301987074163,inf
P008320-1,C006,B005,P008320,7414.0,1116.898088758733,8530.898088758733,inf
P008320-1,C006,B006,P008320,7414.0,1116.898088758733,8530.898088758733,inf
P008320-1,C006,B007,P008320,7414.0,1116.898088758733,8530.898088758733,inf
P008320-1,C006,B008,P008320,7414.0,1116.898088758733,8530.898088758733,inf
P008320-1,C006,B009,P008320,7414.0,1116.898088758733,8530.898088758733,inf
P008382-1,C006,B010,P008382,2178.0,1380.898088758733,3558.898088758733,inf
P008382-1,C003,B011,P008382,2178.0,1380.898088758733,3558.898088758733,inf
P008382-1,C003,B012,P008382,2178.0,1380.898088758733,3558.898088758733,inf
P008382-1,C003,B013,P008382,2178.0,1380.898088758733,3558.898088758733,inf
P008382-1,C004,B014,P008382,2178.0,1380.898088758733,3558.898088758733,inf
P008382-1,C004,B015,P008382,2178.0,1380.898088758733,3558.898088758733,inf
P008441-1,C007,B016,P008441,0.0,1554.9133786226248,1554.9133786226248,3600.0
P008441-1,C010,B017,P008441,0.0,1554.9133786226248,1554.9133786226248,3600.0
P002910-1,C011,B018,P002910,7026.0,1377.6223002588,8403.6223002588,inf
P008441-1,C011,B019,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P008441-1,C011,B020,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P008441-1,C008,B021,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P008441-1,C008,B022,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P008441-1,C009,B023,P008441,0.0,1554.9133786226248,1554.9133786226248,inf
P025360-1,C012,B024,P025360,1561.0,2034.86799865566,3595.86799865566,7200.0
