task_id,class_id,box_id,pattern_id,start_time_s,delivery_offset_s,delivery_time_s,deadline_s
P000241-1,C002,B001,P000241,1313.0,939.3587719896758,2252.358771989676,3600.0
P000203-1,C001,B002,P000203,1253.0,1940.410977419804,3193.410977419804,3600.0
P000149-1,C005,B003,P000149,0.0,1880.410977419804,1880.410977419804,3600.0
P000241-1,C006,B004,P000241,1313.0,939.3587719896758,2252.358771989676,inf
P003513-1,C006,B005,P003513,1809.0,828.3019870741625,2637.3019870741628,inf
P004315-1,C006,B006,P004315,0.0,828.3019870741625,828.3019870741625,inf
P016757-1,C006,B007,P016757,0.0,1278.898088758733,1278.898088758733,inf
P016757-1,C006,B008,P016757,0.0,1278.898088758733,1278.898088758733,inf
P016757-1,C006,B009,P016757,0.0,1278.898088758733,1278.898088758733,inf
P016757-1,C006,B010,P016757,0.0,1278.898088758733,1278.898088758733,inf
P000004-1,C003,B011,P000004,4942.0,849.3587719896758,5791.358771989676,inf
P000004-2,C003,B012,P000004,6135.0,849.3587719896758,6984.358771989676,inf
P016757-1,C003,B013,P016757,0.0,1278.898088758733,1278.898088758733,inf
P016757-1,C004,B014,P016757,0.0,1278.898088758733,1278.898088758733,inf
P016757-1,C004,B015,P016757,0.0,1278.898088758733,1278.898088758733,inf
P000203-1,C007,B016,P000203,1253.0,1315.8054737360449,2568.805473736045,3600.0
P000024-1,C010,B017,P000024,2224.0,1225.8054737360449,3449.805473736045,3600.0
P002734-1,C011,B018,P002734,2120.0,1161.8843362642265,3281.8843362642265,inf
P002734-1,C011,B019,P002734,2120.0,1161.8843362642265,3281.8843362642265,inf
P008383-1,C011,B020,P008383,1908.0,1158.9133786226248,3066.913378622625,inf
P000149-1,C008,B021,P000149,0.0,1255.8054737360449,1255.8054737360449,inf
P001075-1,C008,B022,P001075,4053.0,1791.5845576258855,5844.584557625885,inf
P000203-1,C009,B023,P000203,1253.0,1315.8054737360449,2568.805473736045,inf
P000241-1,C012,B024,P000241,1313.0,1967.5395805467952,3280.539580546795,7200.0
P008444-1,C015,B025,P008444,3690.0,1315.3647604288242,5005.364760428824,7200.0
P008447-1,C016,B026,P008447,5154.0,1513.3647604288242,6667.364760428824,inf
P008447-1,C016,B027,P008447,5154.0,1513.3647604288242,6667.364760428824,inf
