task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order,flight_release_s,battery_release_s
P000069-1,U01,A,BAT_A01,0.0,1252.6149834599576,1252.6149834599576,1.2869317340707995,1252.6149834599576,2124.395262191522,871.7802787315643,1,1,S006,1253,2125
P002663-1,U01,A,BAT_A05,1253.0,3591.4501997119714,2338.4501997119714,2.882227338754486,3591.4501997119714,4924.093653129934,1332.6434534179627,2,2,S013>S012,3592,4925
P000039-1,U01,A,BAT_A03,3672.0,5934.276992828245,2262.276992828245,3.0827565924461284,5934.276992828245,7324.851119534905,1390.5741267066594,1,2,S003,5935,7325
P000109-1,U01,A,BAT_A01,5935.0,7528.852469173274,1593.852469173274,1.86571458599424,7528.852469173274,8567.836682904943,1038.9842137316693,1,1,S010,7529,8568
P000074-1,U02,A,BAT_A02,0.0,1312.6149834599576,1312.6149834599576,1.354999454410149,1312.6149834599576,2204.059270289556,891.4442868295985,1,2,S006,1313,2205
P000128-1,U02,A,BAT_A06,1989.0,3601.0233919046514,1612.0233919046514,2.0252312019390644,3601.0233919046514,4686.090183575937,1085.0667916712853,1,2,S013,3602,4687
P002438-1,U02,A,BAT_A04,3798.0,6508.3259873666975,2710.325987366697,3.46051409060975,6508.3259873666975,8008.030057987292,1499.7040706205944,2,2,S009>S014,6509,8009
P001639-1,U02,A,BAT_A02,6509.0,8941.411091307195,2432.411091307195,2.8736343751561595,8941.411091307195,10271.572133018974,1330.1610417117795,2,2,S005>S007,8942,10272
P000136-1,U03,A,BAT_A03,0.0,1988.9611053702408,1988.9611053702408,2.287650601258055,1988.9611053702408,3149.8379457336787,1160.876840363438,1,2,S014,1989,3150
P000027-1,U03,A,BAT_A01,2125.0,4132.73094747209,2007.7309474720896,3.0281685265506377,4132.73094747209,5507.535188475607,1374.8042410035173,1,2,S002,4133,5508
P000099-1,U03,A,BAT_A06,4687.0,6863.204017947611,2176.2040179476107,3.211553578754032,6863.204017947611,8290.986162920997,1427.782144973387,1,2,S008,6864,8291
P001345-1,U04,A,BAT_A04,0.0,2421.811759351617,2421.811759351617,3.0061717677789885,2421.811759351617,3790.261381154436,1368.449621802819,2,2,S007>S003,2422,3791
P000084-1,U04,A,BAT_A02,2422.0,4149.317596006005,1727.3175960060048,1.9706696366234688,4149.317596006005,5218.622157697229,1069.3045616912243,1,2,S007,4150,5219
P000121-1,U04,A,BAT_A05,4925.0,6975.414682835104,2050.414682835104,2.83314290926716,6975.414682835104,8293.878189956728,1318.463507121624,1,1,S012,6976,8294
P002704-1,U05,B,BAT_B01,0.0,1150.3573074816584,1150.3573074816584,1.0770845709208954,1150.3573074816584,2283.7606215473797,1133.4033140657214,1,2,S001,1151,2284
P002811-1,U05,B,BAT_B03,1151.0,2357.580686312237,1206.5806863122368,1.097134517615153,2357.580686312237,3499.6723106121367,1142.0916242998996,1,2,S006,2358,3500
P003862-1,U05,B,BAT_B01,2358.0,4477.559272439721,2119.559272439721,2.669460034795518,4477.559272439721,6300.991954184446,1823.4326817447245,2,2,S012>S001,4478,6301
P002853-1,U05,B,BAT_B03,4478.0,5978.778736614857,1500.7787366148573,2.00615948145015,5978.778736614857,7514.781178576588,1536.0024419617316,1,2,S009,5979,7515
P002898-1,U05,B,BAT_B02,5979.0,7748.57299249031,1769.5729924903098,1.9618462768634837,7748.57299249031,9265.37304579782,1516.8000533075096,1,2,S015,7749,9266
