uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s,task_id,cargo_pattern,charge_time_s,start_hint_s,uav_id,battery_id,start_time_s
A,1,S001,1,8.0,0.028,1.190044044633542,1192.470877312685,0.7355457678592129,False,inf,P000004-1,C003:1,0.0,4942.0,U02,BAT_A05,4942.0
A,1,S001,1,8.0,0.028,1.190044044633542,1192.470877312685,0.7355457678592129,False,inf,P000004-2,C003:1,0.0,6135.0,U02,BAT_A06,6135.0
A,1,S002,1,14.0,0.027,2.8804520955606967,1947.7309474720896,0.3598995343198452,True,2374.194526263955,P000024-1,C010:1,0.0,2224.0,U03,BAT_A01,2224.0
A,1,S003,1,8.0,0.028,2.850390451600208,2202.276992828245,0.3665798996443983,False,inf,P000038-1,C013:1,0.0,9048.0,U02,BAT_A02,9048.0
A,1,S004,1,6.0,0.035,2.9448489638471385,2123.959400972985,0.3455891191450804,False,inf,P000049-1,C019:1,0.0,8615.0,U03,BAT_A06,8615.0
A,1,S005,1,14.0,0.027,2.094018302339303,1635.7581046684645,0.5346625994801548,False,inf,P000058-1,C026:1,0.0,7328.0,U02,BAT_A03,7328.0
A,1,S005,1,14.0,0.027,2.094018302339303,1635.7581046684645,0.5346625994801548,False,inf,P000058-2,C026:1,0.0,8172.0,U01,BAT_A04,8172.0
A,1,S005,1,6.0,0.035,2.023678708754835,1635.7581046684645,0.5502936202767033,False,inf,P000060-1,C024:1,0.0,6979.0,U04,BAT_A05,6979.0
A,1,S006,1,14.0,0.027,1.2869317340707995,1252.6149834599576,0.714015170206489,False,inf,P000069-1,C031:1,0.0,0.0,U01,BAT_A01,0.0
A,1,S006,2,17.0,0.039,1.3095840119305917,1312.6149834599576,0.7089813306820907,True,2664.929174936688,P000076-1,C027:1|C031:1,0.0,0.0,U02,BAT_A02,0.0
A,1,S010,2,17.0,0.039,1.9525396814898757,1653.852469173274,0.5661022930022499,True,2495.5370987466963,P000112-1,C045:1|C047:1,0.0,2399.0,U04,BAT_A02,2399.0
A,1,S011,2,22.0,0.055,1.194888093078244,1223.5352135344808,0.7344693126492792,True,9906.045726566092,P000116-1,C049:1|C050:1,0.0,9808.0,U01,BAT_A05,9808.0
A,1,S011,1,3.0,0.012,1.086805367412299,1163.5352135344808,0.7584876961306002,True,9966.045726566092,P000117-1,C048:1,0.0,9051.0,U04,BAT_A01,9051.0
A,1,S012,1,8.0,0.028,2.83314290926716,2050.414682835104,0.37041268682952,False,inf,P000121-1,C052:1,0.0,3814.0,U01,BAT_A03,3814.0
A,1,S015,1,8.0,0.028,2.3644554864474845,1910.20984697682,0.4745654474561145,False,inf,P000139-1,C061:1,0.0,10215.0,U04,BAT_A03,10215.0
A,1,S015,2,17.0,0.039,2.475738504082244,1970.20984697682,0.4498358879817234,True,5941.45507651159,P000142-1,C060:1|C062:1,0.0,5865.0,U01,BAT_A01,5865.0
A,2,S002>S001,2,22.0,0.055,3.1292222453160226,2223.523082742813,0.3046172788186616,True,1719.589022580196,P000149-1,C005:1|C008:1,0.0,0.0,U03,BAT_A03,0.0
A,2,S002>S001,3,12.0,0.059,2.8838813301306483,2283.523082742813,0.3591374821931893,True,1659.589022580196,P000203-1,C001:1|C007:1|C009:1,0.0,1253.0,U01,BAT_A05,1253.0
A,2,S001>S003,3,20.0,0.051,3.5498683409778278,2820.7047436275843,0.2111403686715939,True,2660.641228010324,P000241-1,C002:1|C006:1|C012:1,0.0,1313.0,U02,BAT_A06,1313.0
A,2,S004>S002,2,22.0,0.055,3.5767630157787247,2513.5100313619305,0.2051637742713945,True,5856.37363284684,P001075-1,C008:1|C020:1,0.0,4053.0,U04,BAT_A04,4053.0
A,2,S005>S008,3,14.0,0.052,3.22684097519592,2498.1095066825583,0.2829242277342401,True,5509.76583562458,P001695-1,C022:1|C037:1|C038:1,0.0,5117.0,U03,BAT_A02,5117.0
A,2,S012>S013,3,20.0,0.051,3.168987286855087,2398.4501997119714,0.2957806029210919,True,1730.028162907021,P002664-1,C051:1|C054:1|C056:1,0.0,0.0,U04,BAT_A04,0.0
B,1,S002,2,28.0,0.054,2.8791533493746737,1759.8886725284528,0.2802116626563316,False,inf,P002734-1,C011:2,0.0,2120.0,U06,BAT_B04,2120.0
B,1,S003,1,8.0,0.028,2.314518279263184,1960.2414747964503,0.4213704301842039,False,inf,P002760-1,C013:1,0.0,9045.0,U05,BAT_B04,9045.0
B,1,S005,1,14.0,0.027,1.7264627652277489,1459.0243444118548,0.5683843086930628,True,9817.731161127404,P002793-1,C025:1,0.0,9620.0,U06,BAT_B03,9620.0
B,1,S006,1,8.0,0.028,1.0158519697435353,1146.5806863122368,0.7460370075641162,False,inf,P002816-1,C028:1,0.0,5795.0,U05,BAT_B04,5795.0
B,1,S008,1,14.0,0.027,2.598727872346759,1845.888618492203,0.3503180319133102,True,6026.829024087232,P002845-1,C040:1,0.0,5515.0,U06,BAT_B03,5515.0
B,1,S008,2,20.0,0.062,2.7734578535037,1905.888618492203,0.3066355366240749,False,inf,P002848-1,C039:1|C041:1,0.0,3675.0,U05,BAT_B01,3675.0
B,1,S009,1,8.0,0.028,1.747610923658161,1440.7787366148573,0.5630972690854598,False,inf,P002862-1,C043:1,0.0,8179.0,U06,BAT_B02,8179.0
B,1,S009,2,17.0,0.039,1.884867942604636,1500.7787366148573,0.528783014348841,True,9768.020631692572,P002865-1,C042:1|C044:1,0.0,7473.0,U05,BAT_B01,7473.0
B,1,S013,1,8.0,0.028,1.515473280040553,1390.4000484846588,0.6211316799898617,False,inf,P002890-1,C055:1,0.0,3960.0,U06,BAT_B02,3960.0
B,1,S014,2,22.0,0.055,2.042762783388696,1808.5974513534843,0.489309304152826,True,2418.1446076565912,P002898-1,C058:1|C059:1,0.0,0.0,U05,BAT_B01,0.0
B,2,S001>S006,2,28.0,0.054,2.1706039771129904,1787.5544443474505,0.4573490057217524,True,2136.9725654753347,P003513-1,C006:1|C030:1,0.0,1809.0,U05,BAT_B03,1809.0
B,2,S001>S012,2,28.0,0.054,2.706513136742648,2119.5592724397216,0.3233717158143381,True,2132.4107466090336,P004315-1,C006:1|C053:1,0.0,0.0,U06,BAT_B02,0.0
C,1,S002,1,14.0,0.027,4.750654087999164,1781.0067572452497,0.4061682390001044,False,inf,P008383-1,C011:1,0.0,1908.0,U07,BAT_C03,1908.0
C,1,S003,1,14.0,0.027,4.756952553623882,2105.8095208576483,0.4053809307970147,True,5884.635239571176,P008444-1,C015:1,0.0,3690.0,U07,BAT_C01,3690.0
C,1,S003,4,48.0,0.116,5.46686409866857,2303.8095208576483,0.3166419876664287,False,inf,P008447-1,C014:1|C016:3,0.0,5154.0,U08,BAT_C02,5154.0
C,1,S004,1,8.0,0.028,4.932560295335747,1975.184064967841,0.3834299630830317,False,inf,P008512-1,C018:1,0.0,8940.0,U08,BAT_C01,8940.0
C,1,S004,3,31.0,0.066,5.270588684160448,2107.184064967841,0.341176414479944,True,5812.43796751608,P008526-1,C017:1|C021:2,0.0,2822.0,U08,BAT_C04,2822.0
C,1,S005,1,8.0,0.028,3.384387951979445,1550.0446406358128,0.5769515060025694,False,inf,P008559-1,C023:1,0.0,7635.0,U07,BAT_C04,7635.0
C,1,S006,1,6.0,0.035,2.0505556029629,1230.8632994307266,0.7436805496296375,False,inf,P008600-1,C029:1,0.0,9186.0,U07,BAT_C03,9186.0
C,1,S007,5,45.0,0.129,3.410443405708377,1907.4812665020693,0.573694574286453,True,2252.299366748965,P008672-1,C032:1|C033:1|C034:1|C035:1|C036:1,0.0,0.0,U07,BAT_C01,0.0
C,1,S010,1,8.0,0.028,3.07906448052926,1535.9002043425255,0.6151169399338425,False,inf,P008712-1,C046:1,0.0,5809.0,U07,BAT_C03,5809.0
C,2,S001>S014,8,79.0,0.218,5.529878626857563,2821.646496785836,0.3087651716428046,True,1467.583460173459,P016757-1,C003:1|C004:2|C006:4|C057:1,0.0,0.0,U08,BAT_C02,0.0
