task_id,class_id,box_id,pattern_id,start_time_s,delivery_offset_s,delivery_time_s,deadline_s
P007706-1,C002,B001,P007706,2364.0,1116.898088758733,3480.898088758733,3600.0
P007706-1,C001,B002,P007706,2364.0,1116.898088758733,3480.898088758733,3600.0
P007706-1,C005,B003,P007706,2364.0,1116.898088758733,3480.898088758733,3600.0
P002704-1,C006,B004,P002704,5150.0,858.3019870741625,6008.301987074163,inf
P007696-1,C006,B005,P007696,10809.0,1248.898088758733,12057.898088758733,inf
P007696-1,C006,B006,P007696,10809.0,1248.898088758733,12057.898088758733,inf
P007696-1,C006,B007,P007696,10809.0,1248.898088758733,12057.898088758733,inf
P007696-1,C006,B008,P007696,10809.0,1248.898088758733,12057.898088758733,inf
P007706-1,C006,B009,P007706,2364.0,1116.898088758733,3480.898088758733,inf
P007706-1,C006,B010,P007706,2364.0,1116.898088758733,3480.898088758733,inf
P007696-1,C003,B011,P007696,10809.0,1248.898088758733,12057.898088758733,inf
P007696-1,C003,B012,P007696,10809.0,1248.898088758733,12057.898088758733,inf
P007696-1,C003,B013,P007696,10809.0,1248.898088758733,12057.898088758733,inf
P002704-1,C004,B014,P002704,5150.0,858.3019870741625,6008.301987074163,inf
P004078-1,C004,B015,P004078,2977.0,1880.7784167660996,4857.778416766099,inf
P007727-1,C007,B016,P007727,0.0,1356.9133786226248,1356.9133786226248,3600.0
P007727-1,C010,B017,P007727,0.0,1356.9133786226248,1356.9133786226248,3600.0
P000027-1,C011,B018,P000027,4288.0,1285.8054737360449,5573.805473736045,inf
P004503-1,C011,B019,P004503,4922.0,1549.8168219011682,6471.816821901168,inf
P007727-1,C011,B020,P007727,0.0,1356.9133786226248,1356.9133786226248,inf
P000027-1,C008,B021,P000027,4288.0,1285.8054737360449,5573.805473736045,inf
P004503-1,C008,B022,P004503,4922.0,1549.8168219011682,6471.816821901168,inf
P007727-1,C009,B023,P007727,0.0,1356.9133786226248,1356.9133786226248,inf
P007746-1,C012,B024,P007746,4498.0,1513.3647604288242,6011.364760428824,7200.0
P007746-1,C015,B025,P007746,4498.0,1513.3647604288242,6011.364760428824,7200.0
P000039-1,C016,B026,P000039,3672.0,1409.111829747456,5081.111829747456,inf
P007746-1,C016,B027,P007746,4498.0,1513.3647604288242,6011.364760428824,inf
P013592-1,C016,B028,P013592,0.0,1345.3647604288242,1345.3647604288242,inf
P000039-1,C013,B029,P000039,3672.0,1409.111829747456,5081.111829747456,inf
P001345-1,C013,B030,P001345,0.0,1568.6465962708278,1568.6465962708278,inf
P007746-1,C014,B031,P007746,4498.0,1513.3647604288242,6011.364760428824,inf
P002777-1,C017,B032,P002777,1495.0,1244.5321714406264,2739.5321714406264,7200.0
P007757-1,C020,B033,P007757,4205.0,1453.5620324839206,5658.56203248392,7200.0
P007757-1,C021,B034,P007757,4205.0,1453.5620324839206,5658.56203248392,inf
P007757-1,C021,B035,P007757,4205.0,1453.5620324839206,5658.56203248392,inf
P007757-1,C018,B036,P007757,4205.0,1453.5620324839206,5658.56203248392,inf
P002777-1,C019,B037,P002777,1495.0,1244.5321714406264,2739.5321714406264,inf
P000067-1,C022,B038,P000067,3150.0,1130.635719000899,4280.6357190008985,10800.0
P007781-1,C025,B039,P007781,6379.0,1242.6573203179064,7621.657320317907,10800.0
P007781-1,C026,B040,P007781,6379.0,1242.6573203179064,7621.657320317907,inf
P007781-1,C026,B041,P007781,6379.0,1242.6573203179064,7621.657320317907,inf
P007781-1,C023,B042,P007781,6379.0,1242.6573203179064,7621.657320317907,inf
P000067-1,C024,B043,P000067,3150.0,1130.635719000899,4280.6357190008985,inf
P007813-1,C027,B044,P007813,1980.0,1077.0766497153631,3057.076649715363,3600.0
P002808-1,C030,B045,P002808,0.0,882.0536764894517,882.0536764894517,3600.0
P007813-1,C031,B046,P007813,1980.0,1077.0766497153631,3057.076649715363,inf
P007813-1,C031,B047,P007813,1980.0,1077.0766497153631,3057.076649715363,inf
P002808-1,C028,B048,P002808,0.0,882.0536764894517,882.0536764894517,inf
P007813-1,C029,B049,P007813,1980.0,1077.0766497153631,3057.076649715363,inf
P013592-1,C032,B050,P013592,0.0,1803.532125833449,1803.532125833449,3600.0
P001345-1,C035,B051,P001345,0.0,1111.2987980030025,1111.2987980030025,3600.0
P007831-1,C036,B052,P007831,9033.0,1215.7006332510348,10248.700633251035,inf
P007831-1,C033,B053,P007831,9033.0,1215.7006332510348,10248.700633251035,inf
P007831-1,C034,B054,P007831,9033.0,1215.7006332510348,10248.700633251035,inf
P000099-1,C037,B055,P000099,2111.0,1368.3286756404718,3479.328675640472,7200.0
P000099-1,C040,B056,P000099,2111.0,1368.3286756404718,3479.328675640472,7200.0
P007855-1,C041,B057,P007855,8782.0,1367.7191979586669,10149.719197958668,inf
P007855-1,C038,B058,P007855,8782.0,1367.7191979586669,10149.719197958668,inf
P007855-1,C039,B059,P007855,8782.0,1367.7191979586669,10149.719197958668,inf
P002438-1,C042,B060,P002438,3495.0,1097.3572431194746,4592.357243119474,10800.0
P002853-1,C044,B061,P002853,3421.0,1031.9793683074286,4452.979368307429,10800.0
P002853-1,C043,B062,P002853,3421.0,1031.9793683074286,4452.979368307429,inf
P002862-1,C045,B063,P002862,0.0,1024.8223462305075,1024.8223462305075,3600.0
P002862-1,C047,B064,P002862,0.0,1024.8223462305075,1024.8223462305075,3600.0
P024774-1,C046,B065,P024774,6802.0,1678.260984410357,8480.260984410357,inf
P004503-1,C048,B066,P004503,4922.0,847.0018095348861,5769.001809534886,10800.0
P024774-1,C050,B067,P024774,6802.0,938.5054354300684,7740.505435430068,10800.0
P024774-1,C049,B068,P024774,6802.0,938.5054354300684,7740.505435430068,inf
P002663-1,C051,B069,P002663,0.0,1563.1728582944197,1563.1728582944197,3600.0
P000122-1,C053,B070,P000122,0.0,1335.137341417552,1335.137341417552,3600.0
P000122-1,C052,B071,P000122,0.0,1335.137341417552,1335.137341417552,inf
P002663-1,C054,B072,P002663,0.0,1053.545029285659,1053.545029285659,3600.0
P000128-1,C056,B073,P000128,1989.0,1083.545029285659,3072.545029285659,3600.0
