uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s,task_id,cargo_pattern,charge_time_s,start_hint_s,uav_id,battery_id,start_time_s
A,1,S002,2,22.0,0.055,3.0281685265506377,2007.7309474720896,0.327073660766525,False,inf,P000027-1,C008:1|C011:1,0.0,4288.0,U01,BAT_A03,4288.0
A,1,S003,2,22.0,0.055,3.0827565924461284,2262.276992828245,0.3149429794564159,False,inf,P000039-1,C013:1|C016:1,0.0,3672.0,U02,BAT_A04,3672.0
A,1,S005,2,9.0,0.047,2.046042483154676,1695.7581046684645,0.5453238926322943,True,9669.364280999102,P000067-1,C022:1|C024:1,0.0,3150.0,U03,BAT_A02,3150.0
A,1,S008,2,17.0,0.039,3.211553578754032,2176.2040179476107,0.2863214269435485,True,5831.671324359528,P000099-1,C037:1|C040:1,0.0,2111.0,U01,BAT_A06,2111.0
A,1,S012,2,22.0,0.055,3.061601464969904,2110.414682835104,0.3196441188955768,True,2264.862658582448,P000122-1,C052:1|C053:1,0.0,0.0,U01,BAT_A01,0.0
A,1,S013,2,22.0,0.055,2.0252312019390644,1612.0233919046514,0.549948621791319,True,2516.454970714341,P000128-1,C055:1|C056:1,0.0,1989.0,U02,BAT_A05,1989.0
A,1,S014,2,17.0,0.039,2.287650601258055,1988.9611053702408,0.4916331997204322,True,2327.962780648213,P000136-1,C057:1|C059:1,0.0,0.0,U02,BAT_A02,0.0
A,2,S007>S003,2,22.0,0.055,3.0061717677789885,2421.811759351617,0.331961829382447,True,2488.701201996997,P001345-1,C013:1|C035:1,0.0,0.0,U03,BAT_A03,0.0
A,2,S009>S014,2,11.0,0.04,3.46051409060975,2710.325987366697,0.2309968687533889,True,9702.642756880525,P002438-1,C042:1|C058:1,0.0,3495.0,U04,BAT_A01,3495.0
A,2,S013>S012,2,6.0,0.024,2.882227338754486,2338.4501997119714,0.3595050358323364,True,2036.8271417055803,P002663-1,C051:1|C054:1,0.0,0.0,U04,BAT_A04,0.0
B,1,S001,2,20.0,0.062,1.0770845709208954,1150.3573074816584,0.7307288572697761,False,inf,P002704-1,C004:1|C006:1,0.0,5150.0,U05,BAT_B04,5150.0
B,1,S004,2,9.0,0.047,2.4144453620331974,1925.7710095479192,0.3963886594917006,True,5955.467828559374,P002777-1,C017:1|C019:1,0.0,1495.0,U06,BAT_B04,1495.0
B,1,S006,2,22.0,0.055,1.1673263012445938,1206.5806863122368,0.7081684246888515,True,2717.946323510548,P002808-1,C028:1|C030:1,0.0,0.0,U05,BAT_B01,0.0
B,1,S009,2,22.0,0.055,2.00615948145015,1500.7787366148573,0.4984601296374624,True,9768.020631692572,P002853-1,C043:1|C044:1,0.0,3421.0,U06,BAT_B02,3421.0
B,1,S010,2,17.0,0.039,1.6342227468353867,1494.5713591276815,0.5914443132911533,True,2575.1776537694923,P002862-1,C045:1|C047:1,0.0,0.0,U06,BAT_B02,0.0
