task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,end_SOC,charge_start_s,charge_end_s,charge_duration_s,battery_ready_s
R073074,U01,A,BAT_A01,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073075,U02,A,BAT_A02,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073076,U03,A,BAT_A03,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R000158,U05,B,BAT_B01,0.0,1951.3,1951.330032739159,0.376132,1951.3,3699.4,1748.0,3699.4
R000227,U05,B,BAT_B02,1951.3,3582.7,1631.3782951272271,0.467441,3582.7,5172.4,1589.8,5172.4
R000262,U05,B,BAT_B03,3582.7,5162.8,1580.116744566375,0.495094,5162.8,6704.7,1541.8,6704.7
R000255,U05,B,BAT_B04,5162.8,6670.3,1507.5018734358305,0.544751,6670.3,8126.1,1455.8,8126.1
R000144,U06,B,BAT_B01,3699.4,5618.1,1918.753320965953,0.366864,5618.1,7382.2,1764.1,7382.2
R000248,U06,B,BAT_B02,5172.4,7090.4,1917.9408462029787,0.312527,7090.4,8948.7,1858.3,8948.7
R000234,U06,B,BAT_B03,6704.7,8229.2,1524.547034583411,0.548772,8229.2,9678.0,1448.8,9678.0
R000241,U06,B,BAT_B01,7382.2,8514.9,1132.6456889753713,0.736432,8514.9,9638.4,1123.5,9638.4
R058194,U07,C,BAT_C01,0.0,2512.1,2512.0628217473354,0.206325,2512.1,5065.0,2553.0,5065.0
R070770,U07,C,BAT_C02,2512.1,4989.0,2476.9427152143085,0.336585,4989.0,7259.8,2270.7,7259.8
R018936,U07,C,BAT_C03,4989.0,7217.2,2228.202793974612,0.391252,7217.2,9369.5,2152.3,9369.5
R000326,U07,C,BAT_C04,7217.2,8630.7,1413.5190318265477,0.659239,8630.7,10202.4,1571.6,10202.4
R010788,U08,C,BAT_C01,5065.0,7575.2,2510.17694271606,0.221731,7575.2,10094.8,2519.6,10094.8
R062263,U08,C,BAT_C02,7259.8,9746.2,2486.3846966953306,0.212397,9746.2,12286.0,2539.8,12286.0
R000516,U08,C,BAT_C03,9369.5,11581.1,2211.600023787336,0.256584,11581.1,14025.2,2444.1,14025.2
R000637,U08,C,BAT_C01,10094.8,11581.9,1487.1161986006482,0.679606,11581.9,13109.4,1527.5,13109.4
