task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,end_SOC,charge_start_s,charge_end_s,charge_duration_s,battery_ready_s
R073074,U01,A,BAT_A01,0.0,1179.5,1179.5094993423072,0.729145,1179.5,1764.6,585.0,1764.6
R073075,U02,A,BAT_A02,0.0,1179.5,1179.5094993423072,0.729145,1179.5,1764.6,585.0,1764.6
R073076,U03,A,BAT_A03,0.0,1179.5,1179.5094993423072,0.729145,1179.5,1764.6,585.0,1764.6
R053046,U07,C,BAT_C01,0.0,2939.1,2939.068561268866,0.250331,2939.1,4139.1,1200.0,4139.1
R072839,U07,C,BAT_C02,2939.1,5419.4,2480.27277020252,0.281303,5419.4,6619.4,1200.0,6619.4
R051122,U07,C,BAT_C03,5419.3,7803.8,2384.531904101177,0.205813,7803.8,9003.8,1200.0,9003.8
R000543,U07,C,BAT_C04,7803.9,10081.5,2277.600023787336,0.236588,10081.5,11281.5,1200.0,11281.5
R000575,U07,C,BAT_C01,10081.5,12269.7,2188.2416882588564,0.23508,12269.7,13469.7,1200.0,13469.7
R071208,U08,C,BAT_C02,6619.4,9207.3,2587.898906740877,0.209843,9207.3,10407.3,1200.0,10407.3
R007514,U08,C,BAT_C03,9003.8,11524.3,2520.4361178259232,0.232697,11524.3,12724.3,1200.0,12724.3
R070770,U08,C,BAT_C02,10407.3,12884.2,2476.9427152143085,0.336585,12884.2,14084.2,1200.0,14084.2
R063414,U08,C,BAT_C04,11281.5,13607.6,2326.103714019059,0.253807,13607.6,14807.6,1200.0,14807.6
R072343,U08,C,BAT_C03,12724.3,14971.7,2247.3939358717616,0.445055,14971.7,16171.7,1200.0,16171.7
R000438,U08,C,BAT_C01,13469.7,15015.3,1545.5190318265477,0.634491,15015.3,16331.1,1315.8,16331.1
