battery_id,uav_type,event,task_id,start_s,end_s
BAT_A01,A,discharge,R073074,0.0,1179.5094993423072
BAT_A01,A,charge,R073074,1179.5094993423072,2031.6216312945944
BAT_A02,A,discharge,R073075,0.0,1179.5094993423072
BAT_A02,A,charge,R073075,1179.5094993423072,2031.6216312945944
BAT_A03,A,discharge,R073076,0.0,1179.5094993423072
BAT_A03,A,charge,R073076,1179.5094993423072,2031.6216312945944
BAT_B01,B,discharge,R000158,0.0,1951.330032739159
BAT_B01,B,charge,R000158,1951.330032739159,3699.3670373519635
BAT_B02,B,discharge,R000227,1951.330032739159,3582.708327866386
BAT_B02,B,charge,R000227,3582.708327866386,5172.477490909404
BAT_B03,B,discharge,R000262,3582.708327866386,5162.825072432761
BAT_B03,B,charge,R000262,5162.825072432761,6704.661335365432
BAT_B04,B,discharge,R000255,5162.825072432761,6670.326945868592
BAT_B04,B,charge,R000255,6670.326945868592,8126.09152693132
BAT_B01,B,discharge,R000144,3699.3670373519635,5618.120358317917
BAT_B01,B,charge,R000144,5618.120358317917,7382.221964435639
BAT_B02,B,discharge,R000248,5618.120358317917,7536.061204520895
BAT_B02,B,charge,R000248,7536.061204520895,9394.34818894385
BAT_B03,B,discharge,R000234,7536.061204520895,9060.608239104306
BAT_B03,B,charge,R000234,9060.608239104306,10509.403488993798
BAT_B01,B,discharge,R000241,9060.608239104306,10193.253928079677
BAT_B01,B,charge,R000241,10193.253928079677,11316.770994163346
BAT_C01,C,discharge,R058194,0.0,2512.0628217473354
BAT_C01,C,charge,R058194,2512.0628217473354,5065.025681795518
BAT_C02,C,discharge,R070770,2512.1,4989.042715214308
BAT_C02,C,charge,R070770,4989.042715214308,7259.775975497476
BAT_C03,C,discharge,R018936,4989.042715214308,7217.245509188921
BAT_C03,C,charge,R018936,7217.245509188921,9369.532060242764
BAT_C04,C,discharge,R000326,7217.245509188921,8630.76454101547
BAT_C04,C,charge,R000326,8630.76454101547,10202.413937558855
BAT_C01,C,discharge,R010788,5065.025681795518,7575.202624511578
BAT_C01,C,charge,R010788,7575.202624511578,10094.784501975544
BAT_C02,C,discharge,R062263,7575.202624511578,10061.58732120691
BAT_C02,C,charge,R062263,10061.58732120691,12601.393125303222
BAT_C03,C,discharge,R000516,10061.58732120691,12273.187344994245
BAT_C03,C,charge,R000516,12273.187344994245,14717.255830539907
BAT_C01,C,discharge,R000637,12273.187344994245,13760.303543594893
BAT_C01,C,charge,R000637,13760.303543594893,15287.823194180672
