battery_id,uav_type,event,task_id,start_s,end_s
BAT_A01,A,discharge,R073074,0.0,1179.5094993423072
BAT_A01,A,charge,R073074,1179.5094993423072,1764.5562993423073
BAT_A02,A,discharge,R073075,0.0,1179.5094993423072
BAT_A02,A,charge,R073075,1179.5094993423072,1764.5562993423073
BAT_A03,A,discharge,R073076,0.0,1179.5094993423072
BAT_A03,A,charge,R073076,1179.5094993423072,1764.5562993423073
BAT_C01,C,discharge,R055555,0.0,2845.396123952648
BAT_C01,C,charge,R055555,2845.396123952648,4045.396123952648
BAT_C02,C,discharge,R057817,2845.4,5478.065037323508
BAT_C02,C,charge,R057817,5478.065037323508,6678.065037323508
BAT_C03,C,discharge,R010966,5478.1,8054.27694271606
BAT_C03,C,charge,R010966,8054.27694271606,9254.27694271606
BAT_C04,C,discharge,R014941,8054.2,10560.714262261126
BAT_C04,C,charge,R014941,10560.714262261126,11760.714262261126
BAT_C01,C,discharge,R072344,10560.8,12959.752200031919
BAT_C01,C,charge,R072344,12959.752200031919,14159.752200031919
BAT_C02,C,discharge,R000326,12959.7,14373.21903182655
BAT_C02,C,charge,R000326,14373.21903182655,15599.95863182655
BAT_C03,C,discharge,R053649,9254.27694271606,11995.345503984927
BAT_C03,C,charge,R053649,11995.345503984927,13195.345503984927
BAT_C04,C,discharge,R052432,11760.714262261126,14413.197462112108
BAT_C04,C,charge,R052432,14413.197462112108,15613.197462112108
BAT_C03,C,discharge,R071208,13195.345503984927,15783.244410725803
BAT_C03,C,charge,R071208,15783.244410725803,16983.244410725805
BAT_C01,C,discharge,R069014,14159.752200031919,16733.21381608498
BAT_C01,C,charge,R069014,16733.21381608498,17933.21381608498
BAT_C02,C,discharge,R071674,15599.95863182655,18083.823116531497
BAT_C02,C,charge,R071674,18083.823116531497,19283.823116531497
