battery_id,uav_type,event,task_id,start_s,end_s
BAT_A01,A,discharge,R073074,0.0,1179.5094993423072
BAT_A01,A,charge,R073074,1179.5094993423072,2031.6216312945944
BAT_A02,A,discharge,R073075,0.0,1179.5094993423072
BAT_A02,A,charge,R073075,1179.5094993423072,2031.6216312945944
BAT_A03,A,discharge,R073076,0.0,1179.5094993423072
BAT_A03,A,charge,R073076,1179.5094993423072,2031.6216312945944
BAT_C01,C,discharge,R053046,0.0,2939.068561268866
BAT_C01,C,charge,R053046,2939.068561268866,5396.684638330238
BAT_C02,C,discharge,R070770,2939.1,5416.042715214308
BAT_C02,C,charge,R070770,5416.042715214308,7686.775975497476
BAT_C03,C,discharge,R063414,5416.042715214308,7742.146429233368
BAT_C03,C,charge,R063414,7742.146429233368,10192.232100141176
BAT_C04,C,discharge,R072343,7742.146429233368,9989.54036510513
BAT_C04,C,charge,R072343,9989.54036510513,12025.254464134005
BAT_C01,C,discharge,R000438,9989.54036510513,11535.059396931676
BAT_C01,C,charge,R000438,11535.059396931676,13160.329532707516
BAT_C02,C,discharge,R007514,11535.059396931676,14055.4955147576
BAT_C02,C,charge,R007514,14055.4955147576,16551.31787105606
BAT_C03,C,discharge,R071208,10192.232100141176,12780.131006882053
BAT_C03,C,charge,R071208,12780.131006882053,15325.470688194226
BAT_C04,C,discharge,R072839,12780.131006882053,15260.403777084573
BAT_C04,C,charge,R072839,15260.403777084573,17650.91300095223
BAT_C01,C,discharge,R051122,15260.403777084573,17644.93568118575
BAT_C01,C,charge,R051122,17644.93568118575,20199.008020898065
BAT_C03,C,discharge,R000543,17644.93568118575,19922.53570497309
BAT_C03,C,charge,R000543,19922.53570497309,22409.929081368304
BAT_C02,C,discharge,R000575,19922.53570497309,22110.777393231943
BAT_C02,C,charge,R000575,22110.777393231943,24601.43842229507
