task_id,box_id,delivery_offset_s
R000001,B014,855.7
R000002,B011,855.7
R000003,B011,915.7
R000003,B012,915.7
R000004,B003,855.7
R000005,B003,915.7
R000005,B011,915.7
R000006,B001,855.7
R000007,B001,915.7
R000007,B014,915.7
R000008,B001,915.7
R000008,B011,915.7
R000009,B001,915.7
R000009,B003,915.7
R000010,B001,915.7
R000010,B002,915.7
R000011,B001,975.7
R000011,B002,975.7
R000011,B014,975.7
R000012,B001,975.7
R000012,B002,975.7
R000012,B011,975.7
R000013,B001,975.7
R000013,B002,975.7
R000013,B003,975.7
R000014,B023,1253.6
R000015,B021,1253.6
R000016,B021,1313.6
R000016,B022,1313.6
R000017,B017,1253.6
R000018,B017,1313.6
R000018,B021,1313.6
R000019,B016,1253.6
R000020,B016,1313.6
R000020,B023,1313.6
R000021,B016,1313.6
R000021,B021,1313.6
R000022,B016,1313.6
R000022,B017,1313.6
R000023,B031,1200.0
R000024,B029,1200.0
R000025,B029,1260.0
R000025,B030,1260.0
R000026,B025,1200.0
R000027,B025,1260.0
R000027,B029,1260.0
R000028,B024,1200.0
R000029,B024,1260.0
R000029,B031,1260.0
R000030,B024,1260.0
R000030,B029,1260.0
R000031,B024,1260.0
R000031,B025,1260.0
R000032,B037,1237.5
R000033,B036,1237.5
R000034,B033,1237.5
R000035,B033,1297.5
R000035,B036,1297.5
R000036,B032,1237.5
R000037,B032,1297.5
R000037,B037,1297.5
R000038,B032,1297.5
R000038,B036,1297.5
R000039,B032,1297.5
R000039,B033,1297.5
R000040,B043,991.9
R000041,B042,991.9
R000042,B039,991.9
R000043,B039,1051.9
R000043,B042,1051.9
R000044,B038,991.9
R000045,B038,1051.9
R000045,B043,1051.9
R000046,B038,1051.9
R000046,B042,1051.9
R000047,B038,1051.9
R000047,B039,1051.9
R000048,B049,845.0
R000049,B048,845.0
R000050,B045,845.0
R000051,B045,905.0
R000051,B048,905.0
R000052,B044,845.0
R000053,B044,905.0
R000053,B049,905.0
R000054,B044,905.0
R000054,B048,905.0
R000055,B044,905.0
R000055,B045,905.0
R000056,B054,972.9
R000057,B053,972.9
R000058,B051,972.9
R000059,B051,1032.9
R000059,B053,1032.9
R000060,B050,972.9
R000061,B050,1032.9
R000061,B054,1032.9
R000062,B050,1032.9
R000062,B053,1032.9
R000063,B050,1032.9
R000063,B051,1032.9
R000064,B059,1253.6
R000065,B058,1253.6
R000066,B056,1253.6
R000067,B056,1313.6
R000067,B058,1313.6
R000068,B055,1253.6
R000069,B055,1313.6
R000069,B059,1313.6
R000070,B055,1313.6
R000070,B058,1313.6
R000071,B055,1313.6
R000071,B056,1313.6
R000072,B062,1099.1
R000073,B061,1099.1
R000074,B061,1159.1
R000074,B062,1159.1
R000075,B060,1099.1
R000076,B060,1159.1
R000076,B062,1159.1
R000077,B060,1159.1
R000077,B061,1159.1
R000078,B065,997.5
R000079,B064,997.5
R000080,B064,1057.5
R000080,B065,1057.5
