task_id,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s
R000001,A,1,S001,卫生:1,1,6.0,0.035,1.1815093765129427,1192.470877312685,0.737442,0.0,False,inf
R000002,A,1,S001,食品:1,1,8.0,0.028,1.190044044633542,1192.470877312685,0.735546,0.0,False,inf
R000003,A,1,S001,食品:2,2,16.0,0.056,1.2366382566257779,1252.470877312685,0.725191,0.0,False,inf
R000004,A,1,S001,饮水:1,1,14.0,0.027,1.2230751576769299,1192.470877312685,0.728206,0.0,True,2750.6
R000005,A,1,S001,饮水:1|食品:1,2,22.0,0.055,1.2860758210865872,1252.470877312685,0.714205,0.0,True,2690.6
R000006,A,1,S001,医疗:1,1,3.0,0.012,1.1712029791239238,1192.470877312685,0.739733,0.0,True,2750.6
R000007,A,1,S001,医疗:1|卫生:1,2,9.0,0.047,1.1947775744571931,1252.470877312685,0.734494,0.0,True,2690.6
R000008,A,1,S001,医疗:1|食品:1,2,11.0,0.04,1.2051640182931593,1252.470877312685,0.732186,0.0,True,2690.6
R000009,A,1,S001,医疗:1|饮水:1,2,17.0,0.039,1.2439335256573965,1252.470877312685,0.72357,0.0,True,2690.6
R000010,A,1,S001,医疗:2,2,6.0,0.024,1.1815093765129427,1252.470877312685,0.737442,0.0,True,2690.6
R000011,A,1,S001,医疗:2|卫生:1,3,12.0,0.059000000000000004,1.2108193760785582,1312.470877312685,0.730929,0.0,True,2630.6
R000012,A,1,S001,医疗:2|食品:1,3,14.0,0.052000000000000005,1.2230751576769299,1312.470877312685,0.728206,0.0,True,2630.6
R000013,A,1,S001,医疗:2|饮水:1,3,20.0,0.051000000000000004,1.2680232749127218,1312.470877312685,0.718217,0.0,True,2630.6
R000014,A,1,S002,卫生:1,1,6.0,0.035,2.784760777273276,1947.7309474720896,0.381164,0.0,False,inf
R000015,A,1,S002,食品:1,1,8.0,0.028,2.8041769787962227,1947.7309474720896,0.37685,0.0,False,inf
R000016,A,1,S002,食品:2,2,16.0,0.056,2.9120729211892553,2007.7309474720896,0.352873,0.0,False,inf
R000017,A,1,S002,饮水:1,1,14.0,0.027,2.8804520955606967,1947.7309474720896,0.3599,0.0,True,2374.2
R000018,A,1,S002,饮水:1|食品:1,2,22.0,0.055,3.0281685265506377,2007.7309474720896,0.327074,0.0,True,2314.2
R000019,A,1,S002,医疗:1,1,3.0,0.012,2.761693616757608,1947.7309474720896,0.38629,0.0,True,2374.2
R000020,A,1,S002,医疗:1|卫生:1,2,9.0,0.047,2.8150165943872065,2007.7309474720896,0.374441,0.0,True,2314.2
R000021,A,1,S002,医疗:1|食品:1,2,11.0,0.04,2.8389272848085563,2007.7309474720896,0.369127,0.0,True,2314.2
R000022,A,1,S002,医疗:1|饮水:1,2,17.0,0.039,2.9291301949638244,2007.7309474720896,0.349082,0.0,True,2314.2
R000023,A,1,S003,卫生:1,1,6.0,0.035,2.8294830790518493,2202.2769928282455,0.371226,0.0,False,inf
R000024,A,1,S003,食品:1,1,8.0,0.028,2.850390451600208,2202.2769928282455,0.36658,0.0,False,inf
R000025,A,1,S003,食品:2,2,16.0,0.056,2.963542785453088,2262.2769928282455,0.341435,0.0,False,inf
R000026,A,1,S003,饮水:1,1,14.0,0.027,2.9307167339043163,2202.2769928282455,0.34873,0.0,True,5850.9
R000027,A,1,S003,饮水:1|食品:1,2,22.0,0.055,3.0827565924461284,2262.2769928282455,0.314943,0.0,True,5790.9
R000028,A,1,S003,医疗:1,1,3.0,0.012,2.804037247751029,2202.2769928282455,0.376881,0.0,True,5850.9
R000029,A,1,S003,医疗:1|卫生:1,2,9.0,0.047,2.8619491421678784,2262.2769928282455,0.364011,0.0,True,5790.9
R000030,A,1,S003,医疗:1|食品:1,2,11.0,0.04,2.887245701141598,2262.2769928282455,0.35839,0.0,True,5790.9
R000031,A,1,S003,医疗:1|饮水:1,2,17.0,0.039,2.981173459179203,2262.2769928282455,0.337517,0.0,True,5790.9
R000032,A,1,S004,卫生:1,1,6.0,0.035,2.9448489638471385,2123.959400972985,0.345589,0.0,False,inf
R000033,A,1,S004,食品:1,1,8.0,0.028,2.9656942536784365,2123.959400972985,0.340957,0.0,False,inf
R000034,A,1,S004,饮水:1,1,14.0,0.027,3.0470091478074686,2123.959400972985,0.322887,0.0,True,5886.4
R000035,A,1,S004,饮水:1|食品:1,2,22.0,0.055,3.203366220355213,2183.959400972985,0.288141,0.0,True,5826.4
R000036,A,1,S004,医疗:1,1,3.0,0.012,2.919891024803157,2123.959400972985,0.351135,0.0,True,5886.4
R000037,A,1,S004,医疗:1|卫生:1,2,9.0,0.047,2.977295648239486,2183.959400972985,0.338379,0.0,True,5826.4
