class_id,box_id
C001,B002
C002,B001
C003,B011
C003,B012
C003,B013
C004,B014
C004,B015
C005,B003
C006,B004
C006,B005
C006,B006
C006,B007
C006,B008
C006,B009
C006,B010
C007,B016
C008,B021
C008,B022
C009,B023
C010,B017
C011,B018
C011,B019
C011,B020
C012,B024
C013,B029
C013,B030
C014,B031
C015,B025
C016,B026
C016,B027
C016,B028
C017,B032
C018,B036
C019,B037
C020,B033
C021,B034
C021,B035
C022,B038
C023,B042
C024,B043
C025,B039
C026,B040
C026,B041
C027,B044
C028,B048
C029,B049
C030,B045
C031,B046
C031,B047
C032,B050
C033,B053
C034,B054
C035,B051
C036,B052
C037,B055
C038,B058
C039,B059
C040,B056
C041,B057
C042,B060
C043,B062
C044,B061
C045,B063
C046,B065
C047,B064
C048,B066
C049,B068
C050,B067
C051,B069
C052,B071
C053,B070
C054,B072
C055,B074
C056,B073
C057,B075
C058,B077
C059,B076
C060,B078
C061,B080
C062,B079
