service,cargo_type,mass,volume,hard_deadline_s,expected_time_s,priority,is_first_batch,class_id,count
S001,医疗物资,3.0,0.012,3600.0,3600.0,24,False,C001,1
S001,医疗物资,3.0,0.012,3600.0,3600.0,24,True,C002,1
S001,应急食品,8.0,0.028,inf,7200.0,10,False,C003,3
S001,生活卫生用品,6.0,0.035,inf,10800.0,8,False,C004,2
S001,饮用水,14.0,0.027,3600.0,3600.0,12,True,C005,1
S001,饮用水,14.0,0.027,inf,3600.0,12,False,C006,7
S002,医疗物资,3.0,0.012,3600.0,3600.0,24,True,C007,1
S002,应急食品,8.0,0.028,inf,7200.0,10,False,C008,2
S002,生活卫生用品,6.0,0.035,inf,10800.0,8,False,C009,1
S002,饮用水,14.0,0.027,3600.0,3600.0,12,True,C010,1
S002,饮用水,14.0,0.027,inf,3600.0,12,False,C011,3
S003,医疗物资,3.0,0.012,7200.0,7200.0,20,True,C012,1
S003,应急食品,8.0,0.028,inf,10800.0,8,False,C013,2
S003,生活卫生用品,6.0,0.035,inf,14400.0,6,False,C014,1
S003,饮用水,14.0,0.027,7200.0,7200.0,10,True,C015,1
S003,饮用水,14.0,0.027,inf,7200.0,10,False,C016,3
S004,医疗物资,3.0,0.012,7200.0,7200.0,20,True,C017,1
S004,应急食品,8.0,0.028,inf,10800.0,8,False,C018,1
S004,生活卫生用品,6.0,0.035,inf,14400.0,6,False,C019,1
S004,饮用水,14.0,0.027,7200.0,7200.0,10,True,C020,1
S004,饮用水,14.0,0.027,inf,7200.0,10,False,C021,2
S005,医疗物资,3.0,0.012,10800.0,10800.0,16,True,C022,1
S005,应急食品,8.0,0.028,inf,14400.0,6,False,C023,1
S005,生活卫生用品,6.0,0.035,inf,18000.0,4,False,C024,1
S005,饮用水,14.0,0.027,10800.0,10800.0,8,True,C025,1
S005,饮用水,14.0,0.027,inf,10800.0,8,False,C026,2
S006,医疗物资,3.0,0.012,3600.0,3600.0,24,True,C027,1
S006,应急食品,8.0,0.028,inf,7200.0,10,False,C028,1
S006,生活卫生用品,6.0,0.035,inf,10800.0,8,False,C029,1
S006,饮用水,14.0,0.027,3600.0,3600.0,12,True,C030,1
S006,饮用水,14.0,0.027,inf,3600.0,12,False,C031,2
S007,医疗物资,3.0,0.012,3600.0,3600.0,24,True,C032,1
S007,应急食品,8.0,0.028,inf,7200.0,10,False,C033,1
S007,生活卫生用品,6.0,0.035,inf,10800.0,8,False,C034,1
S007,饮用水,14.0,0.027,3600.0,3600.0,12,True,C035,1
S007,饮用水,14.0,0.027,inf,3600.0,12,False,C036,1
S008,医疗物资,3.0,0.012,7200.0,7200.0,20,True,C037,1
S008,应急食品,8.0,0.028,inf,10800.0,8,False,C038,1
S008,生活卫生用品,6.0,0.035,inf,14400.0,6,False,C039,1
S008,饮用水,14.0,0.027,7200.0,7200.0,10,True,C040,1
S008,饮用水,14.0,0.027,inf,7200.0,10,False,C041,1
S009,医疗物资,3.0,0.012,10800.0,10800.0,16,True,C042,1
S009,应急食品,8.0,0.028,inf,14400.0,6,False,C043,1
S009,饮用水,14.0,0.027,10800.0,10800.0,8,True,C044,1
S010,医疗物资,3.0,0.012,3600.0,3600.0,24,True,C045,1
S010,应急食品,8.0,0.028,inf,7200.0,10,False,C046,1
S010,饮用水,14.0,0.027,3600.0,3600.0,12,True,C047,1
S011,医疗物资,3.0,0.012,10800.0,10800.0,16,True,C048,1
S011,应急食品,8.0,0.028,inf,14400.0,6,False,C049,1
S011,饮用水,14.0,0.027,10800.0,10800.0,8,True,C050,1
S012,医疗物资,3.0,0.012,3600.0,7200.0,22,True,C051,1
S012,应急食品,8.0,0.028,inf,7200.0,10,False,C052,1
S012,饮用水,14.0,0.027,3600.0,3600.0,12,True,C053,1
S013,医疗物资,3.0,0.012,3600.0,3600.0,24,True,C054,1
S013,应急食品,8.0,0.028,inf,7200.0,10,False,C055,1
S013,饮用水,14.0,0.027,3600.0,3600.0,12,True,C056,1
S014,医疗物资,3.0,0.012,3600.0,7200.0,22,True,C057,1
S014,应急食品,8.0,0.028,inf,7200.0,10,False,C058,1
S014,饮用水,14.0,0.027,3600.0,3600.0,12,True,C059,1
S015,医疗物资,3.0,0.012,7200.0,7200.0,18,True,C060,1
S015,应急食品,8.0,0.028,inf,14400.0,6,False,C061,1
S015,饮用水,14.0,0.027,10800.0,10800.0,8,True,C062,1
