generation,archive_size,feasible_children,ideal_point,solver_calls,cache_size
1,10,26,"[0.0, 6045.184064967842, 58.51919206683239, 15]",108,72
2,10,18,"[0.0, 6045.184064967842, 58.51919206683239, 15]",164,90
3,12,20,"[0.0, 6045.184064967842, 58.51919206683239, 15]",220,110
4,14,20,"[0.0, 6045.184064967842, 58.51919206683239, 15]",276,130
5,15,20,"[0.0, 6045.184064967842, 58.51919206683239, 15]",332,150
6,17,21,"[0.0, 6045.184064967842, 58.51919206683239, 15]",388,171
7,14,21,"[0.0, 6045.184064967842, 58.51919206683239, 15]",444,192
8,17,22,"[0.0, 6045.184064967842, 58.51919206683239, 15]",500,214
9,20,25,"[0.0, 6045.184064967842, 58.51919206683239, 15]",556,239
10,20,22,"[0.0, 6045.184064967842, 58.51919206683239, 15]",612,261
11,20,15,"[0.0, 6045.184064967842, 58.51919206683239, 15]",668,276
12,20,19,"[0.0, 6045.184064967842, 58.51919206683239, 15]",724,295
13,21,28,"[0.0, 6045.184064967842, 58.51919206683239, 15]",780,323
14,23,20,"[0.0, 6045.184064967842, 58.51919206683239, 15]",836,343
15,23,22,"[0.0, 6045.184064967842, 58.51919206683239, 15]",892,365
16,23,21,"[0.0, 6045.184064967842, 58.51919206683239, 15]",948,386
17,23,19,"[0.0, 6045.184064967842, 58.51919206683239, 15]",1004,405
18,22,21,"[0.0, 6045.184064967842, 58.51919206683239, 15]",1060,426
19,24,36,"[0.0, 6045.184064967842, 58.51919206683239, 15]",1116,462
20,27,27,"[0.0, 6045.184064967842, 58.51919206683239, 15]",1172,489
