solution_id,F1,Cmax_s,energy_kWh,sorties,status,all_pass
P001,89008.97677351953,9294.044640635813,58.51919206683239,17,OPTIMAL,True
P002,132438.33913777545,8527.357307481658,60.72896205250641,19,FEASIBLE,True
P003,0.0,7643.57299249031,64.67413197679224,23,FEASIBLE,True
P004,0.0,6435.427513918611,68.00228369273188,22,FEASIBLE,True
P005,0.0,6045.534486238949,69.40414221401564,25,OPTIMAL,True
P006,131670.33913777545,8517.778736614857,60.812626807473656,19,FEASIBLE,True
P007,0.0,7925.044640635813,61.093725566241865,19,OPTIMAL,True
P008,7534.612035170718,7216.427513918611,65.17337466661493,21,FEASIBLE,True
P009,354724.8281383887,11422.809520857649,62.672414886254664,15,OPTIMAL,True
P010,0.0,6870.24147479645,65.17805340978514,23,OPTIMAL,True
P011,0.0,7691.905040732696,65.13410174922024,21,OPTIMAL,True
P012,14895.953059185937,6883.24147479645,65.14993121209181,22,FEASIBLE,True
P013,6484.305263876111,6206.204017947611,68.64595297070825,25,FEASIBLE,True
P014,0.0,6925.57299249031,65.26431704462213,22,OPTIMAL,True
P015,67433.885325524,8706.044640635813,60.450851191613985,18,FEASIBLE,True
P016,10088.821248914755,7188.044640635813,64.25847429627115,21,FEASIBLE,True
P017,75353.885325524,9294.044640635813,59.98404866956415,18,OPTIMAL,True
P018,72523.10826041919,7729.184064967842,61.2935313982477,20,FEASIBLE,True
P019,3639.623844889953,6883.57299249031,64.95293541865263,22,FEASIBLE,True
P020,0.0,7661.57299249031,64.26895305381566,22,FEASIBLE,True
P021,0.0,6825.184064967842,65.26825910010818,23,OPTIMAL,True
P022,0.0,6759.184064967842,65.58853598455056,23,FEASIBLE,True
P023,0.0,7727.044640635813,64.70143265502887,21,OPTIMAL,True
P024,0.0,7625.7583959173335,65.25859085441607,22,FEASIBLE,True
P025,0.0,7823.044640635813,62.828700766570684,21,OPTIMAL,True
