F1,Cmax_s,energy_kWh,sorties,sortie_ids
354724.8281383887,11422.809520857649,62.672414886254664,15,P001153-1|P002874-1|P002888-1|P002895-1|P002902-1|P005277-1|P008323-1|P008380-1|P008441-1|P008447-1|P008547-1|P023135-1|P038817-1|P050623-1|P051203-1
354724.8281383887,11422.809520857649,62.672414886254664,15,P001153-1|P002874-1|P002888-1|P002895-1|P002902-1|P005277-1|P008323-1|P008380-1|P008441-1|P008447-1|P008547-1|P023135-1|P038817-1|P050623-1|P051203-1
89008.97677351953,9294.044640635813,58.51919206683239,17,P002754-1|P002756-1|P002867-1|P002874-1|P002888-1|P002895-1|P002902-1|P002909-1|P002910-1|P008320-1|P008382-1|P008441-1|P008547-1|P008594-1|P008641-1|P025360-1|P051203-1
89008.97677351953,9294.044640635813,58.51919206683239,17,P002754-1|P002756-1|P002867-1|P002874-1|P002888-1|P002895-1|P002902-1|P002909-1|P002910-1|P008320-1|P008382-1|P008441-1|P008547-1|P008594-1|P008641-1|P025360-1|P051203-1
89008.97677351953,9294.044640635813,58.51919206683239,17,P002754-1|P002756-1|P002867-1|P002874-1|P002888-1|P002895-1|P002902-1|P002909-1|P002910-1|P008320-1|P008382-1|P008441-1|P008547-1|P008594-1|P008641-1|P025360-1|P051203-1
89008.97677351953,9294.044640635813,58.51919206683239,17,P002754-1|P002756-1|P002867-1|P002874-1|P002888-1|P002895-1|P002902-1|P002909-1|P002910-1|P008320-1|P008382-1|P008441-1|P008547-1|P008594-1|P008641-1|P025360-1|P051203-1
282388.97677351953,8432.778736614857,58.51919206683239,17,P002754-1|P002756-1|P002867-1|P002874-1|P002888-1|P002895-1|P002902-1|P002909-1|P002910-1|P008320-1|P008382-1|P008441-1|P008547-1|P008594-1|P008641-1|P025360-1|P051203-1
0.0,7925.044640635813,61.093725566241865,19,P000110-1|P000890-1|P002523-1|P002700-1|P002700-2|P002754-1|P002756-1|P002867-1|P002888-1|P002902-1|P002909-1|P002910-1|P008382-1|P008441-1|P008547-1|P008594-1|P008641-1|P025360-1|P051203-1
0.0,7925.044640635813,61.093725566241865,19,P000110-1|P000890-1|P002523-1|P002700-1|P002700-2|P002754-1|P002756-1|P002867-1|P002888-1|P002902-1|P002909-1|P002910-1|P008382-1|P008441-1|P008547-1|P008594-1|P008641-1|P025360-1|P051203-1
0.0,7794.044640635813,63.11506261519171,21,P000069-1|P000071-1|P000073-1|P000077-1|P000109-1|P000112-1|P002754-1|P002756-1|P002867-1|P002888-1|P002895-1|P002902-1|P002909-1|P002910-1|P008320-1|P008382-1|P008441-1|P008547-1|P008594-1|P025360-1|P051203-1
0.0,7823.044640635813,62.828700766570684,21,P000110-1|P000114-1|P000119-1|P000890-1|P002523-1|P002700-1|P002700-2|P002754-1|P002756-1|P002867-1|P002888-1|P002902-1|P002909-1|P002910-1|P008382-1|P008441-1|P008547-1|P008594-1|P008641-1|P008703-1|P025360-1
0.0,7925.044640635813,61.093725566241865,19,P000110-1|P000890-1|P002523-1|P002700-1|P002700-2|P002754-1|P002756-1|P002867-1|P002888-1|P002902-1|P002909-1|P002910-1|P008382-1|P008441-1|P008547-1|P008594-1|P008641-1|P025360-1|P051203-1
0.0,6925.57299249031,65.26431704462213,22,P000071-1|P000077-1|P000104-1|P000110-1|P000424-1|P000890-1|P001153-1|P002523-1|P002700-1|P002700-2|P002754-1|P002756-1|P002810-1|P002888-1|P002902-1|P002909-1|P008382-1|P008441-1|P008547-1|P008594-1|P025360-1|P051203-1
0.0,6825.184064967842,65.26825910010818,23,P000069-1|P000069-2|P000074-1|P000078-1|P000104-1|P000110-1|P000890-1|P001153-1|P002523-1|P002699-1|P002700-1|P002700-2|P002754-1|P002756-1|P002888-1|P002902-1|P002909-1|P008382-1|P008441-1|P008547-1|P008594-1|P025360-1|P051203-1
14895.953059185937,6883.24147479645,65.14993121209181,22,P000071-1|P000074-1|P000076-1|P000104-1|P000110-1|P000890-1|P001153-1|P002523-1|P002700-1|P002700-2|P002754-1|P002756-1|P002888-1|P002902-1|P002909-1|P003511-1|P008382-1|P008441-1|P008547-1|P008594-1|P025360-1|P051203-1
0.0,6925.57299249031,65.26431704462213,22,P000071-1|P000077-1|P000104-1|P000110-1|P000424-1|P000890-1|P001153-1|P002523-1|P002700-1|P002700-2|P002754-1|P002756-1|P002810-1|P002888-1|P002902-1|P002909-1|P008382-1|P008441-1|P008547-1|P008594-1|P025360-1|P051203-1
0.0,6045.184064967842,69.40414221401564,25,P000005-1|P000005-2|P000039-1|P000073-1|P000077-1|P000096-1|P000104-1|P000110-1|P000890-1|P001153-1|P002293-1|P002523-1|P002754-1|P002814-1|P002857-1|P002877-1|P002888-1|P002902-1|P002909-1|P008328-1|P008360-1|P008441-1|P008547-1|P008594-1|P025004-1
6484.305263876111,6206.204017947611,68.64595297070825,25,P000005-1|P000005-2|P000020-1|P000039-1|P000073-1|P000077-1|P000096-1|P000104-1|P000110-1|P000890-1|P001153-1|P002293-1|P002523-1|P002754-1|P002814-1|P002857-1|P002877-1|P002888-1|P002902-1|P002909-1|P008328-1|P008441-1|P008547-1|P008594-1|P025004-1
0.0,6045.184064967842,69.40414221401564,25,P000005-1|P000005-2|P000039-1|P000073-1|P000077-1|P000096-1|P000104-1|P000110-1|P000890-1|P001153-1|P002293-1|P002523-1|P002754-1|P002814-1|P002857-1|P002877-1|P002888-1|P002902-1|P002909-1|P008328-1|P008360-1|P008441-1|P008547-1|P008594-1|P025004-1
6484.305263876111,6206.204017947611,68.64595297070825,25,P000005-1|P000005-2|P000020-1|P000039-1|P000073-1|P000077-1|P000096-1|P000104-1|P000110-1|P000890-1|P001153-1|P002293-1|P002523-1|P002754-1|P002814-1|P002857-1|P002877-1|P002888-1|P002902-1|P002909-1|P008328-1|P008441-1|P008547-1|P008594-1|P025004-1
