pattern_id,uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s
P000001,A,1,S001,1,14.0,0.027,1.2230751576769299,1192.470877312685,0.7282055205162379,False,inf
P000002,A,1,S001,1,14.0,0.027,1.2230751576769299,1192.470877312685,0.7282055205162379,True,2750.641228010324
P000003,A,1,S001,1,6.0,0.035,1.1815093765129427,1192.470877312685,0.7374423607749017,False,inf
P000004,A,1,S001,1,8.0,0.028,1.190044044633542,1192.470877312685,0.7355457678592129,False,inf
P000005,A,1,S001,2,22.0,0.055,1.2860758210865872,1252.470877312685,0.7142053730918695,False,inf
P000006,A,1,S001,2,22.0,0.055,1.2860758210865872,1252.470877312685,0.7142053730918695,True,2690.641228010324
P000007,A,1,S001,2,16.0,0.056,1.2366382566257779,1252.470877312685,0.7251914985276049,False,inf
P000008,A,1,S001,1,3.0,0.012,1.1712029791239238,1192.470877312685,0.7397326713057948,True,2750.641228010324
P000009,A,1,S001,2,17.0,0.039,1.2439335256573965,1252.470877312685,0.7235703276316896,True,2690.641228010324
P000010,A,1,S001,2,17.0,0.039,1.2439335256573965,1252.470877312685,0.7235703276316896,True,2690.641228010324
P000011,A,1,S001,2,9.0,0.047,1.1947775744571931,1252.470877312685,0.734493872342846,True,2690.641228010324
P000012,A,1,S001,2,11.0,0.04,1.2051640182931593,1252.470877312685,0.7321857737126313,True,2690.641228010324
P000013,A,1,S001,1,3.0,0.012,1.1712029791239238,1192.470877312685,0.7397326713057948,True,2750.641228010324
P000014,A,1,S001,2,17.0,0.039,1.2439335256573965,1252.470877312685,0.7235703276316896,True,2690.641228010324
P000015,A,1,S001,2,17.0,0.039,1.2439335256573965,1252.470877312685,0.7235703276316896,True,2690.641228010324
P000016,A,1,S001,2,9.0,0.047,1.1947775744571931,1252.470877312685,0.734493872342846,True,2690.641228010324
P000017,A,1,S001,2,11.0,0.04,1.2051640182931593,1252.470877312685,0.7321857737126313,True,2690.641228010324
P000018,A,1,S001,2,6.0,0.024,1.1815093765129427,1252.470877312685,0.7374423607749017,True,2690.641228010324
