benchmark,solution_id,legacy_task_id,uav_type,visit_order,n_boxes,generated,retained,drop_stage
N,P001,R000158,B,S003,3,True,True,SURVIVED
N,P001,R000227,B,S009,3,True,True,SURVIVED
N,P001,R000234,B,S010,3,True,True,SURVIVED
N,P001,R000241,B,S011,3,True,True,SURVIVED
N,P001,R000248,B,S012,3,True,True,SURVIVED
N,P001,R000255,B,S013,3,True,True,SURVIVED
N,P001,R000262,B,S014,3,True,True,SURVIVED
N,P001,R000269,B,S015,3,True,True,SURVIVED
N,P001,R000438,C,S001,7,True,False,FINAL_PATTERN_DROP
N,P001,R000489,C,S002,5,True,False,FINAL_PATTERN_DROP
N,P001,R000516,C,S003,5,True,True,SURVIVED
N,P001,R000575,C,S004,6,True,True,SURVIVED
N,P001,R000606,C,S005,6,True,True,SURVIVED
N,P001,R000637,C,S006,6,True,True,SURVIVED
N,P001,R000660,C,S007,5,True,True,SURVIVED
N,P001,R000683,C,S008,5,True,True,SURVIVED
N,P001,R007361,C,S001>S002,8,False,False,LOCAL_LOAD_DROP
N,P001,R071593,A,S001,1,True,True,SURVIVED
N,P001,R071594,A,S001,1,True,True,SURVIVED
N,P001,R071595,A,S001,1,True,True,SURVIVED
E,P003,R000158,B,S003,3,True,True,SURVIVED
E,P003,R000223,B,S009,2,True,True,SURVIVED
E,P003,R000234,B,S010,3,True,True,SURVIVED
E,P003,R000241,B,S011,3,True,True,SURVIVED
E,P003,R000248,B,S012,3,True,True,SURVIVED
E,P003,R000255,B,S013,3,True,True,SURVIVED
E,P003,R000262,B,S014,3,True,True,SURVIVED
E,P003,R000269,B,S015,3,True,True,SURVIVED
E,P003,R000280,C,S001,5,False,False,LOCAL_LOAD_DROP
E,P003,R000438,C,S001,7,True,False,FINAL_PATTERN_DROP
E,P003,R000490,C,S002,6,True,False,FINAL_PATTERN_DROP
E,P003,R000516,C,S003,5,True,True,SURVIVED
E,P003,R000575,C,S004,6,True,True,SURVIVED
E,P003,R000606,C,S005,6,True,True,SURVIVED
E,P003,R000637,C,S006,6,True,True,SURVIVED
E,P003,R000660,C,S007,5,True,True,SURVIVED
E,P003,R000683,C,S008,5,True,True,SURVIVED
E,P003,R003841,B,S009>S002,3,True,False,FINAL_PATTERN_DROP
E,P003,R071593,A,S001,1,True,True,SURVIVED
E,P003,R071594,A,S001,1,True,True,SURVIVED
E,P003,R071595,A,S001,1,True,True,SURVIVED
Cmax,P027,R000025,A,S003,2,True,True,SURVIVED
Cmax,P027,R000061,A,S007,2,True,True,SURVIVED
Cmax,P027,R000074,A,S009,2,True,True,SURVIVED
Cmax,P027,R000086,A,S011,2,True,True,SURVIVED
Cmax,P027,R000100,A,S013,2,True,True,SURVIVED
Cmax,P027,R000203,B,S007,2,True,True,SURVIVED
Cmax,P027,R000215,B,S008,2,True,True,SURVIVED
Cmax,P027,R000234,B,S010,3,True,True,SURVIVED
Cmax,P027,R000248,B,S012,3,True,True,SURVIVED
Cmax,P027,R000262,B,S014,3,True,True,SURVIVED
Cmax,P027,R000269,B,S015,3,True,True,SURVIVED
Cmax,P027,R000280,C,S001,5,False,False,LOCAL_LOAD_DROP
Cmax,P027,R000438,C,S001,7,True,False,FINAL_PATTERN_DROP
Cmax,P027,R000490,C,S002,6,True,False,FINAL_PATTERN_DROP
Cmax,P027,R000543,C,S003,6,True,False,FINAL_PATTERN_DROP
Cmax,P027,R000575,C,S004,6,True,True,SURVIVED
Cmax,P027,R000604,C,S005,5,True,False,FINAL_PATTERN_DROP
Cmax,P027,R000637,C,S006,6,True,True,SURVIVED
Cmax,P027,R001706,A,S005>S008,2,True,True,SURVIVED
Cmax,P027,R002168,A,S013>S007,2,True,False,FINAL_PATTERN_DROP
Cmax,P027,R002244,A,S011>S008,3,True,True,SURVIVED
Cmax,P027,R003841,B,S009>S002,3,True,False,FINAL_PATTERN_DROP
Cmax,P027,R071593,A,S001,1,True,True,SURVIVED
Cmax,P027,R071594,A,S001,1,True,True,SURVIVED
Cmax,P027,R071595,A,S001,1,True,True,SURVIVED
