task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,latest_start_s,has_hard_deadline,n_stops,n_boxes,visit_order
R000054,U01,A,BAT_A01,0.0,1252.524753153968,1252.524753153968,1.2439254258709689,1252.524753153968,1252.524753153968,0.0,2695.0,True,1,2,S006
R000038,U01,A,BAT_A01,1252.524753153968,3341.1977731048173,2088.6730199508493,2.9640788146040844,3341.1977731048173,3341.1977731048173,0.0,5902.5,True,1,2,S004
R000029,U01,A,BAT_A01,3341.1977731048173,5474.563323875771,2133.365550770954,2.8084527588399704,5474.563323875771,5474.563323875771,0.0,5940.0,True,1,2,S003
R073074,U01,A,BAT_A01,5474.563323875771,6654.072823218078,1179.5094993423072,1.218849687527148,6654.072823218078,6654.072823218078,0.0,inf,False,1,1,S001
R073075,U01,A,BAT_A01,6654.072823218078,7833.582322560385,1179.5094993423072,1.218849687527148,7833.582322560385,7833.582322560385,0.0,inf,False,1,1,S001
R073076,U01,A,BAT_A01,7833.582322560385,9013.091821902693,1179.5094993423072,1.218849687527148,9013.091821902693,9013.091821902693,0.0,inf,False,1,1,S001
R006383,U05,B,BAT_B01,0.0,1838.2680376377125,1838.2680376377125,2.3169814404379627,1838.2680376377125,1838.2680376377125,0.0,2262.0,True,2,2,S010>S014
R006399,U05,B,BAT_B01,1838.2680376377125,3736.536075275425,1898.2680376377125,1.967375529010579,3736.536075275425,3736.536075275425,0.0,2202.0,True,2,3,S010>S014
R005972,U05,B,BAT_B01,3736.536075275425,5858.118273642278,2121.5821983668534,2.61646463281485,5858.118273642278,5858.118273642278,0.0,5751.2,True,2,3,S011>S008
R000215,U05,B,BAT_B01,5858.118273642278,7709.3890678343505,1851.270794192073,3.13181010319338,7709.3890678343505,7709.3890678343505,0.0,6021.6,True,1,2,S008
R000240,U05,B,BAT_B01,7709.3890678343505,8782.034756809722,1072.6456889753713,0.945759757311666,8782.034756809722,8782.034756809722,0.0,9982.3,True,1,2,S011
R000226,U05,B,BAT_B01,8782.034756809722,10353.41305193695,1571.3782951272271,1.911339607803704,10353.41305193695,10353.41305193695,0.0,9736.2,True,1,2,S009
R000209,U05,B,BAT_B01,10353.41305193695,12144.683846129023,1791.270794192073,2.434137055654372,12144.683846129023,12144.683846129023,0.0,inf,False,1,1,S008
R000161,U05,B,BAT_B01,12144.683846129023,13915.168474654807,1770.4846285257838,2.3373325047326072,13915.168474654807,13915.168474654807,0.0,inf,False,1,1,S004
R000228,U05,B,BAT_B01,13915.168474654807,15319.715509238218,1404.547034583411,1.5018204917452302,15319.715509238218,15319.715509238218,0.0,inf,False,1,1,S010
R000185,U05,B,BAT_B01,15319.715509238218,16406.205965244466,1086.490456006247,0.9825716246998276,16406.205965244466,16406.205965244466,0.0,inf,False,1,1,S006
R000438,U07,C,BAT_C01,0.0,1545.5190318265477,1545.5190318265477,2.9240743474800217,1545.5190318265477,1545.5190318265477,0.0,2343.3,True,1,7,S001
R072839,U07,C,BAT_C01,1545.5190318265477,4025.7918020290676,2480.27277020252,5.74957251889596,4025.7918020290676,4025.7918020290676,0.0,1618.9,True,2,6,S012>S013
R070771,U07,C,BAT_C01,4025.7918020290676,6695.657872345915,2669.866070316848,5.883812035296323,6695.657872345915,6695.657872345915,0.0,1612.1,True,2,8,S015>S007
R051122,U07,C,BAT_C01,6695.657872345915,9080.189776447092,2384.531904101177,6.353497869707006,9080.189776447092,9080.189776447092,0.0,2113.0,True,2,6,S002>S009
R053016,U07,C,BAT_C01,9080.189776447092,11821.258337715959,2741.0685612688662,5.536179822836887,11821.258337715959,11821.258337715959,0.0,2565.8,True,2,5,S006>S003
R000556,U07,C,BAT_C01,11821.258337715959,13811.500025974816,1990.2416882588564,5.48913365316268,13811.500025974816,13811.500025974816,0.0,5905.8,True,1,3,S004
R000515,U07,C,BAT_C01,13811.500025974816,15957.100049762152,2145.600023787336,5.673772707917894,15957.100049762152,15957.100049762152,0.0,5869.6,True,1,4,S003
R000606,U07,C,BAT_C01,15957.100049762152,17681.081619719254,1723.9815699571022,4.168924263280374,17681.081619719254,17681.081619719254,0.0,9522.0,True,1,6,S005
R007514,U07,C,BAT_C01,17681.081619719254,20201.51773754518,2520.4361178259232,6.138421007871245,20201.51773754518,20201.51773754518,0.0,inf,False,2,8,S002>S001
