task_id,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s
R000144,B,1,S002,医疗:1|食品:2,3,19.0,0.068,2.5325421679639737,1918.753320965953,0.366864,0.0,True,2350.3
R000158,B,1,S003,医疗:1|食品:2,3,19.0,0.068,2.495470010644934,1951.330032739159,0.376132,0.0,True,6001.0
R000227,B,1,S009,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.130236530099273,1631.3782951272271,0.467441,0.0,True,9676.2
R000234,B,1,S010,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.804912115129597,1524.547034583411,0.548772,0.0,True,2562.2
R000241,B,1,S011,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.0542701525007734,1132.6456889753713,0.736432,0.0,True,9922.3
R000255,B,1,S013,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.8209951870678336,1507.5018734358305,0.544751,0.0,True,2557.4
R000262,B,1,S014,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.0196221452292424,1580.116744566375,0.495094,0.0,True,2520.2
R000326,C,1,S001,饮水:5,5,70.0,0.135,2.72609007954481,1413.5190318265477,0.659239,0.0,True,2475.3
R000516,C,1,S003,饮水:4|卫生:1,5,62.0,0.143,5.947329792783986,2211.600023787336,0.256584,0.0,True,5803.6
R000637,C,1,S006,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,2.5631494790859533,1487.1161986006482,0.679606,0.0,True,2427.8
R070770,C,2,S007>S015,S007:[医疗:1|饮水:2|食品:1|卫生:1] S015:[医疗:1|饮水:1|食品:1],8,70.0,0.196,5.307322807199387,2476.9427152143085,0.336585,0.0,True,2295.3
R073074,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R073075,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R073076,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R000095,A,1,S012,医疗:1|饮水:1,2,17.0,0.039,2.9566498761680604,2104.5554909405723,0.342967,0.0,True,2291.0
R000242,B,1,S012,食品:1,1,8.0,0.028,2.2888316573371403,1797.9408462029787,0.427792,0.0,False,inf
R000765,A,2,S001>S002,S001:[医疗:2] S002:[卫生:1],3,12.0,0.059,2.8615492633480244,2342.630581929011,0.3641,0.0,True,2654.3
R000462,C,1,S002,饮水:4,4,56.0,0.108,5.783066444420856,2100.340643964,0.277117,0.0,True,2209.0
R001576,A,2,S004>S005,S004:[医疗:1|卫生:1] S005:[医疗:1],3,12.0,0.059,3.033925454850844,2367.0982288239807,0.325794,0.0,True,5872.5
R000556,C,1,S004,饮水:3,3,42.0,0.081,5.48913365316268,1990.2416882588564,0.313858,0.0,True,5905.8
R000162,B,1,S004,食品:1,1,8.0,0.028,2.363887467007487,1770.4846285257838,0.409028,0.0,False,inf
R062236,C,2,S008>S005,S008:[食品:1|卫生:1] S005:[饮水:2|卫生:1],5,48.0,0.152,6.058571062322391,2383.035804483416,0.242679,0.0,True,5839.4
R000068,A,1,S008,医疗:1,1,3.0,0.012,3.0058378070840623,2061.5861936474803,0.332036,0.0,True,5946.4
R000210,B,1,S008,食品:1,1,8.0,0.028,2.46190893214668,1791.270794192073,0.384523,0.0,False,inf
R018937,C,2,S005>S001,S005:[食品:3|卫生:2] S001:[饮水:3],8,78.0,0.235,5.545036109368061,2234.5808381030297,0.30687,0.0,True,9570.0
