box_id,service,cargo_type,task_id,delivery_time_s,deadline_s,delay_s,objective
B003,S001,饮用水,R000326,14084.5,3600.0,10484.5,N
B004,S001,饮用水,R000326,14084.5,3600.0,10484.5,N
B005,S001,饮用水,R000326,14084.5,3600.0,10484.5,N
B006,S001,饮用水,R000326,14084.5,3600.0,10484.5,N
B007,S001,饮用水,R000326,14084.5,3600.0,10484.5,N
B001,S001,医疗物资,R010966,6656.8,3600.0,3056.8,N
B002,S001,医疗物资,R010966,6656.8,3600.0,3056.8,N
B014,S001,生活卫生用品,R010966,6656.8,10800.0,0.0,N
B015,S001,生活卫生用品,R010966,6656.8,10800.0,0.0,N
B017,S002,饮用水,R010966,7345.0,3600.0,3745.0,N
B018,S002,饮用水,R010966,7345.0,3600.0,3745.0,N
B019,S002,饮用水,R010966,7345.0,3600.0,3745.0,N
B020,S002,饮用水,R010966,7345.0,3600.0,3745.0,N
B011,S001,应急食品,R014941,9167.0,7200.0,1967.0,N
B012,S001,应急食品,R014941,9167.0,7200.0,1967.0,N
B013,S001,应急食品,R014941,9167.0,7200.0,1967.0,N
B033,S004,饮用水,R014941,9864.7,7200.0,2664.7,N
B034,S004,饮用水,R014941,9864.7,7200.0,2664.7,N
B035,S004,饮用水,R014941,9864.7,7200.0,2664.7,N
B037,S004,生活卫生用品,R014941,9864.7,14400.0,0.0,N
B016,S002,医疗物资,R052432,15263.0,3600.0,11663.0,N
B021,S002,应急食品,R052432,15263.0,7200.0,8063.0,N
B022,S002,应急食品,R052432,15263.0,7200.0,8063.0,N
B023,S002,生活卫生用品,R052432,15263.0,10800.0,4463.0,N
B072,S013,医疗物资,R052432,14548.7,3600.0,10948.7,N
B073,S013,饮用水,R052432,14548.7,3600.0,10948.7,N
B074,S013,应急食品,R052432,14548.7,7200.0,7348.7,N
B025,S003,饮用水,R053649,12504.7,7200.0,5304.7,N
B026,S003,饮用水,R053649,12504.7,7200.0,5304.7,N
B027,S003,饮用水,R053649,12504.7,7200.0,5304.7,N
B028,S003,饮用水,R053649,12504.7,7200.0,5304.7,N
B049,S006,生活卫生用品,R053649,11541.0,10800.0,741.0,N
