task_id,uav_id,battery_id,uav_type,visit_order,n_stops,n_boxes,boxes,total_mass_kg,energy_kWh,start_time_s,end_time_s,duration_s,end_SOC,charge_duration_s
R073074,U01,BAT_A01,A,S001,1,1,B008,14.0,1.218849687527148,0.0,1179.5,1179.5094993423072,0.729145,852.1
R073075,U02,BAT_A02,A,S001,1,1,B009,14.0,1.218849687527148,0.0,1179.5,1179.5094993423072,0.729145,852.1
R073076,U03,BAT_A03,A,S001,1,1,B010,14.0,1.218849687527148,0.0,1179.5,1179.5094993423072,0.729145,852.1
R000144,U05,BAT_B01,B,S002,1,3,"B016,B021,B022",19.0,2.5325421679639737,0.0,1918.8,1918.753320965953,0.366864,1764.1
R000255,U05,BAT_B02,B,S013,1,3,"B072,B073,B074",25.0,1.8209951870678336,1918.8,3426.3,1507.5018734358305,0.544751,1455.8
R000234,U05,BAT_B03,B,S010,1,3,"B063,B064,B065",25.0,1.804912115129597,3426.3,4950.8,1524.547034583411,0.548772,1448.8
R000227,U05,BAT_B04,B,S009,1,3,"B060,B061,B062",25.0,2.130236530099273,4950.8,6582.2,1631.3782951272271,0.467441,1589.8
R000248,U06,BAT_B01,B,S012,1,3,"B069,B070,B071",25.0,2.7498930409760503,3682.9,5600.8,1917.9408462029787,0.312527,1858.3
R000262,U06,BAT_B02,B,S014,1,3,"B075,B076,B077",25.0,2.0196221452292424,5600.8,7180.9,1580.116744566375,0.495094,1541.8
R000158,U06,BAT_B03,B,S003,1,3,"B024,B029,B030",19.0,2.495470010644934,7180.9,9132.2,1951.330032739159,0.376132,1748.0
R000241,U06,BAT_B01,B,S011,1,3,"B066,B067,B068",25.0,1.0542701525007734,9132.2,10264.9,1132.6456889753713,0.736432,1123.5
R010788,U07,BAT_C01,C,S001>S002,2,7,"B001,B002,B017,B018,B019,B020,B023",68.0,6.226148470636181,0.0,2510.2,2510.17694271606,0.221731,2519.6
R000326,U07,BAT_C02,C,S001,1,5,"B003,B004,B005,B006,B007",70.0,2.72609007954481,2510.2,3923.7,1413.5190318265477,0.659239,1571.6
R062263,U07,BAT_C03,C,S005>S008,2,7,"B042,B043,B055,B056,B057,B058,B059",59.0,6.300821430509463,3923.7,6410.1,2486.3846966953306,0.212397,2539.8
R000516,U07,BAT_C04,C,S003,1,5,"B025,B026,B027,B028,B031",62.0,5.947329792783986,6410.1,8621.7,2211.600023787336,0.256584,2444.1
R070770,U08,BAT_C01,C,S007>S015,2,8,"B050,B051,B052,B053,B054,B078,B079,B080",70.0,5.307322807199387,5029.8,7506.7,2476.9427152143085,0.336585,2270.7
R000637,U08,BAT_C02,C,S006,1,6,"B044,B045,B046,B047,B048,B049",59.0,2.5631494790859533,7506.7,8993.8,1487.1161986006482,0.679606,1527.5
R058194,U08,BAT_C03,C,S004>S005,2,7,"B032,B033,B034,B035,B036,B037,B038",62.0,6.349401329408673,8993.8,11505.9,2512.0628217473354,0.206325,2553.0
R018936,U08,BAT_C01,C,S001>S005,2,8,"B011,B012,B013,B014,B015,B039,B040,B041",78.0,4.869981111583424,11505.9,13734.1,2228.202793974612,0.391252,2152.3
