task_id,box_id,service,cargo_type,delivery_time_s,hard_deadline_s,hard_violation,hard_delay_s
R000175,B042,S005,应急食品,9663.5,inf,0,0.0
R000175,B043,S005,生活卫生用品,9663.5,inf,0,0.0
R000234,B063,S010,医疗物资,2837.8,3600.0,0,0.0
R000234,B064,S010,饮用水,2837.8,3600.0,0,0.0
R000234,B065,S010,应急食品,2837.8,inf,0,0.0
R000248,B069,S012,医疗物资,3345.7,3600.0,0,0.0
R000248,B070,S012,饮用水,3345.7,3600.0,0,0.0
R000248,B071,S012,应急食品,3345.7,inf,0,0.0
R000255,B072,S013,医疗物资,1342.6,3600.0,0,0.0
R000255,B073,S013,饮用水,1342.6,3600.0,0,0.0
R000255,B074,S013,应急食品,1342.6,inf,0,0.0
R000262,B075,S014,医疗物资,1079.8,3600.0,0,0.0
R000262,B076,S014,饮用水,1079.8,3600.0,0,0.0
R000262,B077,S014,应急食品,1079.8,inf,0,0.0
R000438,B001,S001,医疗物资,1256.7,3600.0,0,0.0
R000438,B002,S001,医疗物资,1256.7,3600.0,0,0.0
R000438,B003,S001,饮用水,1256.7,3600.0,0,0.0
R000438,B004,S001,饮用水,1256.7,inf,0,0.0
R000438,B005,S001,饮用水,1256.7,inf,0,0.0
R000438,B006,S001,饮用水,1256.7,inf,0,0.0
R000438,B007,S001,饮用水,1256.7,inf,0,0.0
R000495,B029,S003,应急食品,11398.4,inf,0,0.0
R000495,B030,S003,应急食品,11398.4,inf,0,0.0
R000543,B024,S003,医疗物资,4762.4,7200.0,0,0.0
R000543,B025,S003,饮用水,4762.4,7200.0,0,0.0
R000543,B026,S003,饮用水,4762.4,inf,0,0.0
R000543,B027,S003,饮用水,4762.4,inf,0,0.0
R000543,B028,S003,饮用水,4762.4,inf,0,0.0
R000543,B031,S003,生活卫生用品,4762.4,inf,0,0.0
R000637,B044,S006,医疗物资,2972.2,3600.0,0,0.0
R000637,B045,S006,饮用水,2972.2,3600.0,0,0.0
R000637,B046,S006,饮用水,2972.2,inf,0,0.0
R000637,B047,S006,饮用水,2972.2,inf,0,0.0
R000637,B048,S006,应急食品,2972.2,inf,0,0.0
R000637,B049,S006,生活卫生用品,2972.2,inf,0,0.0
R000659,B050,S007,医疗物资,1148.7,3600.0,0,0.0
R000659,B051,S007,饮用水,1148.7,3600.0,0,0.0
R000659,B052,S007,饮用水,1148.7,inf,0,0.0
R000659,B053,S007,应急食品,1148.7,inf,0,0.0
R000683,B055,S008,医疗物资,7132.6,7200.0,0,0.0
R000683,B056,S008,饮用水,7132.6,7200.0,0,0.0
R000683,B057,S008,饮用水,7132.6,inf,0,0.0
R000683,B058,S008,应急食品,7132.6,inf,0,0.0
R000683,B059,S008,生活卫生用品,7132.6,inf,0,0.0
R000687,B060,S009,医疗物资,10364.3,10800.0,0,0.0
R003894,B023,S002,生活卫生用品,7459.7,inf,0,0.0
R003894,B061,S009,饮用水,7778.7,10800.0,0,0.0
R004000,B021,S002,应急食品,6620.5,inf,0,0.0
R004000,B022,S002,应急食品,6620.5,inf,0,0.0
R004000,B066,S011,医疗物资,5917.7,10800.0,0,0.0
R005856,B054,S007,生活卫生用品,9575.2,inf,0,0.0
R005856,B079,S015,饮用水,9187.6,10800.0,0,0.0
R006544,B068,S011,应急食品,11838.4,inf,0,0.0
R006544,B080,S015,应急食品,11287.6,inf,0,0.0
R006558,B067,S011,饮用水,5238.4,10800.0,0,0.0
R006558,B078,S015,医疗物资,4687.6,7200.0,0,0.0
R018936,B011,S001,应急食品,8714.7,inf,0,0.0
R018936,B012,S001,应急食品,8714.7,inf,0,0.0
R018936,B013,S001,应急食品,8714.7,inf,0,0.0
R018936,B014,S001,生活卫生用品,8714.7,inf,0,0.0
R018936,B015,S001,生活卫生用品,8714.7,inf,0,0.0
R018936,B039,S005,饮用水,9282.2,10800.0,0,0.0
R018936,B040,S005,饮用水,9282.2,inf,0,0.0
R018936,B041,S005,饮用水,9282.2,inf,0,0.0
R051122,B016,S002,医疗物资,3587.0,3600.0,0,0.0
R051122,B017,S002,饮用水,3587.0,3600.0,0,0.0
R051122,B018,S002,饮用水,3587.0,inf,0,0.0
R051122,B019,S002,饮用水,3587.0,inf,0,0.0
R051122,B020,S002,饮用水,3587.0,inf,0,0.0
R051122,B062,S009,应急食品,3947.3,inf,0,0.0
R058194,B032,S004,医疗物资,6322.2,7200.0,0,0.0
R058194,B033,S004,饮用水,6322.2,7200.0,0,0.0
R058194,B034,S004,饮用水,6322.2,inf,0,0.0
R058194,B035,S004,饮用水,6322.2,inf,0,0.0
R058194,B036,S004,应急食品,6322.2,inf,0,0.0
R058194,B037,S004,生活卫生用品,6322.2,inf,0,0.0
R058194,B038,S005,医疗物资,6866.1,10800.0,0,0.0
R073074,B008,S001,饮用水,9555.7,inf,0,0.0
R073075,B009,S001,饮用水,6555.7,inf,0,0.0
R073076,B010,S001,饮用水,5055.7,inf,0,0.0
