task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order
R071594,U01,A,BAT_A01,6000.0,7192.470877312685,1192.470877312685,1.22307515767693,7192.470877312685,8045.803700641576,853.332823328891,1,1,S001
R071593,U01,A,BAT_A01,8700.0,9892.470877312684,1192.470877312685,1.22307515767693,9892.470877312684,10745.803700641574,853.332823328891,1,1,S001
R071595,U01,A,BAT_A02,10500.0,11692.470877312684,1192.470877312685,1.22307515767693,11692.470877312684,12545.803700641574,853.332823328891,1,1,S001
R000255,U05,B,BAT_B01,0.0,1510.4000484846588,1510.4000484846588,1.824566933772147,1510.4000484846588,2967.7123864525893,1457.3123379679305,1,3,S013
R000234,U05,B,BAT_B03,1800.0,3354.5713591276817,1554.5713591276815,1.8210449428989823,3354.5713591276817,4810.357501050574,1455.7861419228925,1,3,S010
R000241,U05,B,BAT_B01,3900.0,5089.630285736439,1189.630285736439,1.077171254529726,5089.630285736439,6223.07116269932,1133.4408769628812,1,3,S011
R000269,U05,B,BAT_B03,5700.0,7529.57299249031,1829.5729924903096,2.3109026130195294,7529.57299249031,9197.630791465439,1668.0577989751296,1,3,S015
R003841,U05,B,BAT_B01,8700.0,10731.652763374452,2031.652763374452,2.506530618927054,10731.652763374452,12484.482698242842,1752.8299348683902,2,3,S009>S002
R000187,U05,B,BAT_B01,12900.0,14106.580686312236,1206.5806863122368,1.0646767635077197,14106.580686312236,15234.607283832247,1128.0265975200118,1,2,S006
R000262,U06,B,BAT_B02,0.0,1868.5974513534843,1868.5974513534843,2.137304308171069,1868.5974513534843,3461.429318227614,1592.83186687413,1,3,S014
R000248,U06,B,BAT_B04,2100.0,4023.80003809751,1923.80003809751,2.7552342804549035,4023.80003809751,5884.401559627968,1860.6015215304583,1,3,S012
R000158,U06,B,BAT_B02,4800.0,6880.24147479645,2080.2414747964503,2.553333936621157,6880.24147479645,8653.352847332284,1773.1113725358346,1,3,S003
R000223,U06,B,BAT_B02,9600.0,11100.778736614857,1500.7787366148573,2.00615948145015,11100.778736614857,12636.781178576588,1536.0024419617316,1,2,S009
R000438,U07,C,BAT_C01,0.0,1561.4261775174657,1561.4261775174657,2.92626894731049,1561.4261775174657,3187.2906840807236,1625.8645065632577,1,7,S001
R000634,U07,C,BAT_C03,1800.0,3228.8632994307263,1428.8632994307263,2.362494819245423,3228.8632994307263,4702.038979643028,1473.1756802123023,1,4,S006
R000575,U07,C,BAT_C01,3300.0,5605.184064967842,2305.184064967841,6.1769107423796425,5605.184064967842,8111.430724362328,2506.2466593944864,1,6,S004
R000683,U07,C,BAT_C03,5700.0,7903.7583959173335,2203.758395917333,5.857489201651335,7903.7583959173335,10323.495054697903,2419.73665878057,1,5,S008
R000280,U07,C,BAT_C01,28200.0,29629.426177517467,1429.4261775174657,2.1499433145188216,29629.426177517467,31045.035825199648,1415.609647682181,1,5,S001
R000660,U08,C,BAT_C02,0.0,1907.4812665020693,1907.4812665020693,3.410443405708377,1907.4812665020693,3664.476355548088,1756.9950890460188,1,5,S007
R000490,U08,C,BAT_C04,2100.0,4211.00675724525,2111.00675724525,6.181413550070367,4211.00675724525,6718.472927055975,2507.4661698107243,1,6,S002
R000516,U08,C,BAT_C02,4800.0,7169.809520857649,2369.8095208576483,6.041538336128271,7169.809520857649,9639.392820225723,2469.5832993680733,1,5,S003
R000606,U08,C,BAT_C04,7200.0,9080.044640635813,1880.0446406358128,4.2387743677705485,9080.044640635813,11061.379365240336,1981.3347246045237,1,6,S005
