task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order
R071593,U01,A,BAT_A01,0.0,1192.470877312685,1192.470877312685,1.22307515767693,1192.470877312685,2045.803700641576,853.332823328891,1,1,S001
R071594,U02,A,BAT_A02,0.0,1192.470877312685,1192.470877312685,1.22307515767693,1192.470877312685,2045.803700641576,853.332823328891,1,1,S001
R071595,U03,A,BAT_A03,0.0,1192.470877312685,1192.470877312685,1.22307515767693,1192.470877312685,2045.803700641576,853.332823328891,1,1,S001
R000248,U05,B,BAT_B01,0.0,1923.80003809751,1923.80003809751,2.7552342804549035,1923.80003809751,3784.4015596279683,1860.6015215304583,1,3,S012
R000262,U05,B,BAT_B04,2358.0,4226.597451353484,1868.5974513534843,2.137304308171069,4226.597451353484,5819.429318227614,1592.83186687413,1,3,S014
R003726,U05,B,BAT_B01,4227.0,6454.400969497194,2227.400969497194,2.7535470982820405,6454.400969497194,8314.271378752745,1859.8704092555508,2,3,S002>S005
R000255,U06,B,BAT_B02,0.0,1510.4000484846588,1510.4000484846588,1.824566933772147,1510.4000484846588,2967.7123864525893,1457.3123379679305,1,3,S013
R000234,U06,B,BAT_B03,1511.0,3065.5713591276817,1554.5713591276815,1.8210449428989823,3065.5713591276817,4521.357501050574,1455.7861419228925,1,3,S010
R000269,U06,B,BAT_B02,3066.0,4895.57299249031,1829.5729924903096,2.3109026130195294,4895.57299249031,6563.630791465439,1668.0577989751296,1,3,S015
R000241,U06,B,BAT_B03,4896.0,6085.630285736439,1189.630285736439,1.077171254529726,6085.630285736439,7219.07116269932,1133.4408769628812,1,3,S011
R000227,U06,B,BAT_B04,6086.0,7646.778736614857,1560.7787366148573,2.1024528395672246,7646.778736614857,9224.50830042732,1577.729563812464,1,3,S009
R000637,U07,C,BAT_C01,0.0,1560.8632994307263,1560.8632994307263,2.5939758810401803,1560.8632994307263,3096.731767212442,1535.8684677817155,1,6,S006
R000438,U07,C,BAT_C03,1561.0,3122.4261775174655,1561.4261775174657,2.92626894731049,3122.4261775174655,4748.290684080723,1625.8645065632577,1,7,S001
R000683,U07,C,BAT_C01,3123.0,5326.7583959173335,2203.758395917333,5.857489201651335,5326.7583959173335,7746.4950546979035,2419.73665878057,1,5,S008
R000575,U07,C,BAT_C03,5327.0,7632.184064967842,2305.184064967841,6.1769107423796425,7632.184064967842,10138.430724362328,2506.2466593944864,1,6,S004
R000590,U07,C,BAT_C01,7747.0,9561.044640635813,1814.0446406358128,4.143667777960806,9561.044640635813,11516.621330500198,1955.576689864385,1,5,S005
R000660,U08,C,BAT_C02,0.0,1907.4812665020693,1907.4812665020693,3.410443405708377,1907.4812665020693,3664.476355548088,1756.9950890460188,1,5,S007
R000490,U08,C,BAT_C04,1908.0,4019.00675724525,2111.00675724525,6.181413550070367,4019.00675724525,6526.472927055975,2507.4661698107243,1,6,S002
R000543,U08,C,BAT_C02,4020.0,6455.809520857649,2435.8095208576483,6.203815391673846,6455.809520857649,8969.342856102649,2513.5333352449998,1,6,S003
R012646,U08,C,BAT_C04,6527.0,9513.620073751352,2986.620073751352,6.266222208564787,9513.620073751352,12044.055255237648,2530.4351814862966,2,7,S001>S003
