task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order
R000074,U01,A,BAT_A01,0.0,1691.5344862389493,1691.5344862389493,2.3382502154288844,1691.5344862389493,2867.0289929184046,1175.4945066794553,1,2,S009
R071594,U01,A,BAT_A06,1692.0,2884.470877312685,1192.470877312685,1.22307515767693,2884.470877312685,3737.803700641576,853.332823328891,1,1,S001
R000098,U02,A,BAT_A02,0.0,1612.0233919046514,1612.0233919046514,2.0252312019390644,1612.0233919046514,2697.090183575937,1085.0667916712853,1,2,S013
R071593,U02,A,BAT_A05,1613.0,2805.470877312685,1192.470877312685,1.22307515767693,2805.470877312685,3658.803700641576,853.332823328891,1,1,S001
R001127,U03,A,BAT_A03,0.0,2432.198601251149,2432.198601251149,3.0627988461754603,2432.198601251149,3817.0071568129483,1384.8085555617995,2,3,S001>S012
R071595,U03,A,BAT_A02,2698.0,3890.470877312685,1192.470877312685,1.22307515767693,3890.470877312685,4743.803700641576,853.332823328891,1,1,S001
R002594,U04,A,BAT_A04,0.0,2398.4501997119714,2398.4501997119714,2.979474372054585,2398.4501997119714,3759.1872405277404,1360.737040815769,2,3,S013>S012
R000203,U05,B,BAT_B01,0.0,1576.1902081524602,1576.1902081524602,1.878779072601222,1576.1902081524602,3056.994472946323,1480.8042647938628,1,2,S007
R000234,U05,B,BAT_B03,1577.0,3131.5713591276817,1554.5713591276815,1.8210449428989823,3131.5713591276817,4587.357501050574,1455.7861419228925,1,3,S010
R000175,U05,B,BAT_B01,3132.0,4651.024344411855,1519.024344411855,1.7264627652277489,4651.024344411855,6065.824876010546,1414.8005315986911,1,2,S005
R000269,U05,B,BAT_B03,4652.0,6481.57299249031,1829.5729924903096,2.3109026130195294,6481.57299249031,8149.630791465439,1668.0577989751296,1,3,S015
R000241,U05,B,BAT_B04,6531.0,7720.630285736439,1189.630285736439,1.077171254529726,7720.630285736439,8854.07116269932,1133.4408769628812,1,3,S011
R004168,U06,B,BAT_B02,0.0,2239.683316742361,2239.683316742361,2.528235963411383,2239.683316742361,4001.9189008872936,1762.2355841449325,2,3,S007>S003
R000262,U06,B,BAT_B04,2240.0,4108.597451353484,1868.5974513534843,2.137304308171069,4108.597451353484,5701.429318227614,1592.83186687413,1,3,S014
R003841,U06,B,BAT_B02,4109.0,6140.652763374452,2031.652763374452,2.506530618927054,6140.652763374452,7893.482698242842,1752.8299348683902,2,3,S009>S002
R000199,U06,B,BAT_B01,6141.0,7717.19020815246,1576.1902081524602,1.5529827173571036,7717.19020815246,9056.816052340539,1339.6258441880782,1,2,S007
R000326,U07,C,BAT_C01,0.0,1429.4261775174657,1429.4261775174657,2.728480567856419,1429.4261775174657,3001.722997978579,1572.2968204611134,1,5,S001
R000603,U07,C,BAT_C03,1430.0,3178.044640635813,1748.0446406358128,3.863476139761546,3178.044640635813,5057.736095154565,1879.691454518752,1,4,S005
R000575,U07,C,BAT_C01,3179.0,5484.184064967842,2305.184064967841,6.1769107423796425,5484.184064967842,7990.430724362328,2506.2466593944864,1,6,S004
R000683,U07,C,BAT_C03,5485.0,7688.7583959173335,2203.758395917333,5.857489201651335,7688.7583959173335,10108.495054697903,2419.73665878057,1,5,S008
R000637,U08,C,BAT_C02,0.0,1560.8632994307263,1560.8632994307263,2.5939758810401803,1560.8632994307263,3096.731767212442,1535.8684677817155,1,6,S006
R000490,U08,C,BAT_C04,1561.0,3672.00675724525,2111.00675724525,6.181413550070367,3672.00675724525,6179.472927055975,2507.4661698107243,1,6,S002
R000543,U08,C,BAT_C02,3673.0,6108.809520857649,2435.8095208576483,6.203815391673846,6108.809520857649,8622.342856102649,2513.5333352449998,1,6,S003
R000280,U08,C,BAT_C04,6180.0,7609.4261775174655,1429.4261775174657,2.1499433145188216,7609.4261775174655,9025.035825199646,1415.609647682181,1,5,S001
