task_id,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s,hard_latest_start_s
R000025,A,1,S003,食品:2,2,16.0,0.056,2.963542785453088,2262.276992828245,0.341435,0.0,False,inf,inf
R000048,A,1,S006,卫生:1,1,6.0,0.035,1.2411219044028343,1252.6149834599576,0.724195,0.0,False,inf,inf
R000227,B,1,S009,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.1024528395672246,1560.7787366148573,0.474387,0.0,True,9708.0,9708.0
R000234,B,1,S010,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.8210449428989823,1554.5713591276815,0.544739,0.0,True,2515.2,2515.2
R000248,B,1,S012,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.7552342804549035,1923.80003809751,0.311191,0.0,True,2328.2,2328.2
R000255,B,1,S013,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.824566933772147,1510.4000484846588,0.543858,0.0,True,2537.3,2537.3
R000262,B,1,S014,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.137304308171069,1868.5974513534843,0.465674,0.0,True,2358.1,2358.1
R000269,B,1,S015,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.3109026130195294,1829.5729924903096,0.422274,0.0,True,5981.8,5981.8
R000438,C,1,S001,医疗:2|饮水:5,7,76.0,0.159,2.92626894731049,1561.4261775174657,0.634216,0.0,True,2351.1,2351.1
R000489,C,1,S002,医疗:1|饮水:4,5,59.0,0.12,5.871629979599366,2045.0067572452497,0.266046,0.0,True,2177.1,2177.1
R000543,C,1,S003,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.203815391673846,2435.8095208576483,0.224523,0.0,True,5554.6,5554.6
R000575,C,1,S004,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,6.1769107423796425,2305.184064967841,0.227886,0.0,True,5614.4,5614.4
R000606,C,1,S005,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,4.2387743677705485,1880.0446406358128,0.470153,0.0,True,9425.3,9425.3
R000636,C,1,S006,医疗:1|饮水:3|食品:1,5,53.0,0.121,2.48249384067321,1494.8632994307263,0.689688,0.0,True,2456.9,2456.9
R000660,C,1,S007,医疗:1|饮水:2|食品:1|卫生:1,5,45.0,0.129,3.410443405708377,1907.4812665020693,0.573695,0.0,True,2252.3,2252.3
R000683,C,1,S008,医疗:1|饮水:2|食品:1|卫生:1,5,45.0,0.129,5.857489201651335,2203.758395917333,0.267814,0.0,True,5700.3,5700.3
R039661,C,2,S011>S001,S011:[食品:3|卫生:2] S001:[医疗:1],6,39.0,0.166,2.9858990348695054,1893.631714631936,0.626763,0.0,True,9807.5,9807.5
R050709,C,2,S011>S002,S011:[食品:2|卫生:1] S002:[饮水:1|食品:1],5,44.0,0.146,5.478112317193507,2425.62138297822,0.315236,0.0,True,9801.5,9801.5
R071593,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071594,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071595,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
