generation,archive_size,successful_evals,failed_evals,cache_hits,min_N,max_N,min_E,max_E,min_T,max_T
1,9,45,0,0,20,24,62.23823158945352,67.61950242650741,7689.0,9628.0
2,10,45,0,0,20,24,62.23823158945352,67.61950242650741,7689.0,9628.0
3,11,45,0,0,20,24,62.23823158945352,67.5396440801253,7689.0,9628.0
4,11,45,0,0,20,24,62.23823158945352,67.5396440801253,7689.0,9628.0
5,12,45,0,0,20,28,62.23823158945352,78.41214595288416,7529.0,9628.0
6,14,45,0,0,20,28,62.23823158945352,78.41214595288416,7529.0,9628.0
7,15,45,0,0,20,27,62.23823158945352,75.74372834714482,7529.0,9628.0
8,16,45,0,0,20,27,62.23823158945352,75.74372834714482,7529.0,9628.0
9,16,45,0,1,20,27,62.23823158945352,75.74372834714482,7529.0,9628.0
10,16,45,0,0,20,27,62.23823158945352,75.74372834714482,7529.0,9628.0
11,17,45,0,0,20,27,62.23823158945352,75.74372834714482,7529.0,9628.0
12,18,45,0,0,20,27,62.23823158945352,75.74372834714482,7529.0,9628.0
13,18,45,0,0,20,27,62.23823158945352,75.74372834714482,7529.0,9628.0
14,21,45,0,0,20,29,62.23823158945352,81.69946813467159,7499.0,9628.0
15,22,45,0,0,20,29,62.23823158945352,81.69946813467159,7499.0,9628.0
16,19,45,0,0,20,29,62.23823158945352,81.69946813467159,7499.0,9628.0
17,21,45,0,0,20,29,62.23823158945352,81.69946813467158,7499.0,9628.0
18,20,45,0,1,20,29,62.23823158945352,81.69946813467158,7499.0,9628.0
19,20,45,0,0,20,29,62.23823158945352,81.69946813467158,7499.0,9628.0
20,20,45,0,0,20,28,62.23823158945352,76.93858696627561,7408.0,9628.0
21,22,45,0,0,20,28,62.23823158945352,76.93858696627561,7408.0,9628.0
22,21,45,0,0,20,28,62.23823158945352,76.93858696627561,7408.0,9628.0
23,22,45,0,0,20,28,62.23823158945352,76.93858696627561,7408.0,9628.0
24,22,45,0,1,20,28,62.23823158945352,76.93858696627561,7408.0,9628.0
25,22,45,0,0,20,27,62.23823158945352,75.72393089583,7408.0,9628.0
26,23,45,0,0,20,27,62.23823158945352,75.72393089583,7408.0,9628.0
27,23,45,0,0,20,27,62.23823158945352,75.72393089583,7408.0,9628.0
28,23,45,0,0,20,26,62.23823158945352,72.9924930961863,7408.0,9628.0
29,23,45,0,0,20,26,62.23823158945352,72.9924930961863,7408.0,9628.0
30,23,45,0,0,20,26,62.23823158945352,72.9924930961863,7408.0,9628.0
31,25,45,0,0,20,28,62.23823158945352,76.86474659718836,7319.0,9628.0
32,25,45,0,0,20,28,62.23823158945352,76.86474659718836,7319.0,9628.0
33,25,45,0,0,20,28,62.23823158945352,76.86474659718836,7319.0,9628.0
34,26,45,0,0,20,29,62.23823158945352,79.0064315279263,7217.0,9628.0
35,26,45,0,0,20,29,62.23823158945352,79.0064315279263,7217.0,9628.0
36,27,45,0,0,20,29,62.23823158945352,79.0064315279263,7217.0,9628.0
37,28,45,0,0,20,29,62.23823158945352,79.00643152792628,7217.0,9628.0
38,24,45,0,0,20,25,62.23823158945352,70.60094100190096,6868.0,9628.0
39,25,45,0,0,20,25,62.23823158945352,70.60094100190096,6868.0,9628.0
40,26,45,0,0,20,25,62.23823158945352,70.60094100190096,6868.0,9628.0
