solution_id,n_sorties,energy_kWh,Cmax_s,Cmax_h,status
P001,24,66.0048,8476,2.35,FEASIBLE
P002,24,67.3699,7711,2.14,FEASIBLE
P003,22,67.0785,8716,2.42,FEASIBLE
P004,22,68.0432,8350,2.32,FEASIBLE
P005,20,64.2117,9562,2.66,OPTIMAL
P006,24,67.3699,7711,2.14,FEASIBLE
P007,23,64.1166,8924,2.48,FEASIBLE
P008,24,67.3699,7711,2.14,OPTIMAL
P009,25,69.511,7623,2.12,FEASIBLE
P010,22,63.1329,9045,2.51,FEASIBLE
P011,24,67.3699,7711,2.14,OPTIMAL
P012,24,67.3699,7711,2.14,FEASIBLE
P013,22,63.1329,9045,2.51,FEASIBLE
P014,24,67.3699,7711,2.14,FEASIBLE
P015,22,67.3358,8416,2.34,FEASIBLE
P016,21,62.2382,9177,2.55,OPTIMAL
P017,24,67.3699,7711,2.14,OPTIMAL
P018,22,63.1329,9045,2.51,OPTIMAL
P019,22,64.7758,8931,2.48,FEASIBLE
P020,22,63.1329,9045,2.51,OPTIMAL
P021,24,67.3699,7711,2.14,FEASIBLE
P022,22,63.1329,9045,2.51,FEASIBLE
P023,24,67.3699,7711,2.14,OPTIMAL
P024,24,67.3699,7711,2.14,FEASIBLE
P025,24,67.3699,7711,2.14,OPTIMAL
P026,20,64.2117,9562,2.66,OPTIMAL
P027,20,63.4925,10251,2.85,OPTIMAL
P028,24,66.0048,8476,2.35,POLISHED_OPTIMAL
P029,25,69.511,7623,2.12,POLISHED_OPTIMAL
P030,22,63.1329,9045,2.51,POLISHED_OPTIMAL
P031,22,63.1329,9045,2.51,POLISHED_OPTIMAL
P032,22,67.3358,8416,2.34,POLISHED_OPTIMAL
P033,20,63.9635,9628,2.67,POLISHED_OPTIMAL
P034,22,63.1329,9045,2.51,POLISHED_OPTIMAL
P035,22,64.7758,8931,2.48,POLISHED_OPTIMAL
P036,22,63.1329,9045,2.51,POLISHED_OPTIMAL
P037,22,63.1329,9045,2.51,POLISHED_OPTIMAL
