subproblem,n_sorties,energy_kWh,Cmax_s,local_solver_status,weight,origin_weight
0,25,70.6317,6868,FEASIBLE,"[0.0, 0.0, 1.0]","[0.125, 0.125, 0.75]"
1,25,70.6009,6868,FEASIBLE,"[0.0, 0.125, 0.875]","[0.125, 0.125, 0.75]"
2,24,67.2008,7591,FEASIBLE,"[0.0, 0.25, 0.75]","[0.0, 0.25, 0.75]"
3,23,66.1233,7610,FEASIBLE,"[0.0, 0.375, 0.625]","[0.125, 0.25, 0.625]"
4,23,64.8636,8040,FEASIBLE,"[0.0, 0.5, 0.5]","[0.125, 0.375, 0.5]"
5,23,64.8636,8040,FEASIBLE,"[0.0, 0.625, 0.375]","[0.125, 0.625, 0.25]"
6,23,64.1166,8924,FEASIBLE,"[0.0, 0.75, 0.25]","[0.0, 0.75, 0.25]"
7,22,63.0714,9045,FEASIBLE,"[0.0, 0.875, 0.125]","[0.0, 0.75, 0.25]"
8,21,62.2382,9393,OPTIMAL,"[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]"
9,25,70.6317,6868,FEASIBLE,"[0.125, 0.0, 0.875]","[0.125, 0.125, 0.75]"
10,25,70.1789,7308,FEASIBLE,"[0.125, 0.125, 0.75]","[0.0, 0.125, 0.875]"
11,24,67.2008,7591,FEASIBLE,"[0.125, 0.25, 0.625]","[0.0, 0.25, 0.75]"
12,23,66.1233,7610,FEASIBLE,"[0.125, 0.375, 0.5]","[0.125, 0.25, 0.625]"
13,23,64.8636,8040,FEASIBLE,"[0.125, 0.5, 0.375]","[0.125, 0.625, 0.25]"
14,23,64.1166,8924,FEASIBLE,"[0.125, 0.625, 0.25]","[0.0, 0.75, 0.25]"
15,22,63.0714,9045,FEASIBLE,"[0.125, 0.75, 0.125]","[0.25, 0.625, 0.125]"
16,21,62.2382,9393,OPTIMAL,"[0.125, 0.875, 0.0]","[0.0, 1.0, 0.0]"
17,24,67.2008,7591,FEASIBLE,"[0.25, 0.0, 0.75]","[0.25, 0.125, 0.625]"
18,24,67.2008,7591,FEASIBLE,"[0.25, 0.125, 0.625]","[0.25, 0.125, 0.625]"
19,23,66.1233,7610,OPTIMAL,"[0.25, 0.25, 0.5]","[0.25, 0.25, 0.5]"
20,23,64.8636,8040,FEASIBLE,"[0.25, 0.375, 0.375]","[0.375, 0.125, 0.5]"
21,23,64.5774,8743,FEASIBLE,"[0.25, 0.5, 0.25]","[0.0, 0.5, 0.5]"
22,22,63.0714,9045,FEASIBLE,"[0.25, 0.625, 0.125]","[0.25, 0.625, 0.125]"
23,20,62.6651,10504,OPTIMAL,"[0.25, 0.75, 0.0]","[0.375, 0.625, 0.0]"
24,23,66.2471,7610,OPTIMAL,"[0.375, 0.0, 0.625]","[0.375, 0.0, 0.625]"
25,23,66.1233,7610,OPTIMAL,"[0.375, 0.125, 0.5]","[0.625, 0.0, 0.375]"
26,23,66.1233,7610,FEASIBLE,"[0.375, 0.25, 0.375]","[0.375, 0.125, 0.5]"
27,22,64.7758,8931,FEASIBLE,"[0.375, 0.375, 0.25]","[0.25, 0.5, 0.25]"
28,21,62.2382,9177,FEASIBLE,"[0.375, 0.5, 0.125]","[0.375, 0.5, 0.125]"
29,20,62.6651,10504,OPTIMAL,"[0.375, 0.625, 0.0]","[0.375, 0.625, 0.0]"
30,23,66.1233,7610,OPTIMAL,"[0.5, 0.0, 0.5]","[0.625, 0.0, 0.375]"
31,22,67.7345,8408,FEASIBLE,"[0.5, 0.125, 0.375]","[0.5, 0.125, 0.375]"
32,22,67.1623,8416,FEASIBLE,"[0.5, 0.25, 0.25]","[0.625, 0.125, 0.25]"
33,21,62.2382,9177,OPTIMAL,"[0.5, 0.375, 0.125]","[0.625, 0.375, 0.0]"
34,20,62.6651,9628,OPTIMAL,"[0.5, 0.5, 0.0]","[0.625, 0.375, 0.0]"
35,22,67.7345,8408,FEASIBLE,"[0.625, 0.0, 0.375]","[0.5, 0.125, 0.375]"
36,21,62.2382,9177,FEASIBLE,"[0.625, 0.125, 0.25]","[0.625, 0.25, 0.125]"
37,21,62.2382,9177,OPTIMAL,"[0.625, 0.25, 0.125]","[0.625, 0.375, 0.0]"
38,20,62.6651,10251,OPTIMAL,"[0.625, 0.375, 0.0]","[0.75, 0.25, 0.0]"
39,21,62.2382,9177,FEASIBLE,"[0.75, 0.0, 0.25]","[0.625, 0.125, 0.25]"
40,20,64.2117,9562,FEASIBLE,"[0.75, 0.125, 0.125]","[0.875, 0.0, 0.125]"
41,20,62.6651,10251,OPTIMAL,"[0.75, 0.25, 0.0]","[0.75, 0.25, 0.0]"
42,20,64.2117,9562,FEASIBLE,"[0.875, 0.0, 0.125]","[0.875, 0.0, 0.125]"
43,20,62.6651,9628,OPTIMAL,"[0.875, 0.125, 0.0]","[0.75, 0.125, 0.125]"
44,20,62.6651,10251,OPTIMAL,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
