task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order
R000098,U01,A,BAT_A01,0.0,1612.0233919046514,1612.0233919046514,2.0252312019390644,1612.0233919046514,2697.090183575937,1085.0667916712853,1,2,S013
R071595,U01,A,BAT_A03,2046.0,3238.470877312685,1192.470877312685,1.22307515767693,3238.470877312685,4091.803700641576,853.332823328891,1,1,S001
R002453,U02,A,BAT_A02,0.0,2069.992187968592,2069.992187968592,2.287217584613442,2069.992187968592,3230.743934634698,1160.7517466661056,2,3,S010>S013
R071593,U03,A,BAT_A03,0.0,1192.470877312685,1192.470877312685,1.22307515767693,1192.470877312685,2045.803700641576,853.332823328891,1,1,S001
R071594,U04,A,BAT_A04,0.0,1192.470877312685,1192.470877312685,1.22307515767693,1192.470877312685,2045.803700641576,853.332823328891,1,1,S001
R000203,U05,B,BAT_B01,0.0,1576.1902081524602,1576.1902081524602,1.878779072601222,1576.1902081524602,3056.994472946323,1480.8042647938628,1,2,S007
R000262,U05,B,BAT_B03,1577.0,3445.5974513534843,1868.5974513534843,2.137304308171069,3445.5974513534843,5038.429318227614,1592.83186687413,1,3,S014
R003841,U05,B,BAT_B01,3446.0,5477.652763374452,2031.652763374452,2.506530618927054,5477.652763374452,7230.482698242842,1752.8299348683902,2,3,S009>S002
R000269,U05,B,BAT_B03,5478.0,7307.57299249031,1829.5729924903096,2.3109026130195294,7307.57299249031,8975.630791465439,1668.0577989751296,1,3,S015
R000241,U05,B,BAT_B01,7309.0,8498.630285736439,1189.630285736439,1.077171254529726,8498.630285736439,9632.07116269932,1133.4408769628812,1,3,S011
R000248,U06,B,BAT_B02,0.0,1923.80003809751,1923.80003809751,2.7552342804549035,1923.80003809751,3784.4015596279683,1860.6015215304583,1,3,S012
R004168,U06,B,BAT_B04,1926.0,4165.683316742361,2239.683316742361,2.528235963411383,4165.683316742361,5927.918900887294,1762.2355841449325,2,3,S007>S003
R000223,U06,B,BAT_B02,5039.0,6539.778736614857,1500.7787366148573,2.00615948145015,6539.778736614857,8075.781178576588,1536.0024419617316,1,2,S009
R000228,U06,B,BAT_B04,6540.0,7974.571359127682,1434.5713591276815,1.5138320113468402,7974.571359127682,9297.23189737798,1322.6605382502976,1,1,S010
R000438,U07,C,BAT_C01,0.0,1561.4261775174657,1561.4261775174657,2.92626894731049,1561.4261775174657,3187.2906840807236,1625.8645065632577,1,7,S001
R000683,U07,C,BAT_C04,1562.0,3765.758395917333,2203.758395917333,5.857489201651335,3765.758395917333,6185.4950546979035,2419.73665878057,1,5,S008
R000575,U07,C,BAT_C02,3766.0,6071.184064967842,2305.184064967841,6.1769107423796425,6071.184064967842,8577.430724362328,2506.2466593944864,1,6,S004
R029122,U07,C,BAT_C03,6180.0,8661.397060621832,2481.3970606218318,4.980667326643529,8661.397060621832,10843.661128254455,2182.2640676326223,2,7,S007>S001
R000637,U08,C,BAT_C02,0.0,1560.8632994307263,1560.8632994307263,2.5939758810401803,1560.8632994307263,3096.731767212442,1535.8684677817155,1,6,S006
R000490,U08,C,BAT_C03,1561.0,3672.00675724525,2111.00675724525,6.181413550070367,3672.00675724525,6179.472927055975,2507.4661698107243,1,6,S002
R000543,U08,C,BAT_C01,3673.0,6108.809520857649,2435.8095208576483,6.203815391673846,6108.809520857649,8622.342856102649,2513.5333352449998,1,6,S003
R000606,U08,C,BAT_C04,6186.0,8066.044640635813,1880.0446406358128,4.2387743677705485,8066.044640635813,10047.379365240336,1981.3347246045237,1,6,S005
