task_id,start_time_s,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s,hard_latest_start_s
R000025,3813,A,1,S003,食品:2,2,16.0,0.056,2.963542785453088,2262.276992828245,0.341435,0.0,False,inf,inf
R000074,1638,A,1,S009,饮水:1|食品:1,2,22.0,0.055,2.3382502154288844,1691.5344862389493,0.480389,0.0,True,9672.6,9672.0
R000086,3240,A,1,S011,饮水:1|食品:1,2,22.0,0.055,1.194888093078244,1223.5352135344808,0.734469,0.0,True,9906.0,9906.0
R000098,0,A,1,S013,饮水:1|食品:1,2,22.0,0.055,2.0252312019390644,1612.0233919046514,0.549949,0.0,True,2516.5,2516.0
R000203,0,B,1,S007,饮水:2,2,28.0,0.054,1.878779072601222,1576.1902081524602,0.530305,0.0,True,2534.3,2534.0
R000215,3479,B,1,S008,饮水:2,2,28.0,0.054,3.1580400807067988,1905.888618492203,0.21049,0.0,True,5966.8,5966.0
R000217,5385,B,1,S008,医疗:1|卫生:1,2,9.0,0.047,2.4985230980260456,1905.888618492203,0.375369,0.0,True,5966.8,5966.0
R000234,0,B,1,S010,医疗:1|饮水:1|食品:1,3,25.0,0.067,1.8210449428989823,1554.5713591276815,0.544739,0.0,True,2515.2,2515.0
R000248,1555,B,1,S012,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.7552342804549035,1923.80003809751,0.311191,0.0,True,2328.2,2328.0
R000262,1577,B,1,S014,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.137304308171069,1868.5974513534843,0.465674,0.0,True,2358.1,2358.0
R000269,5478,B,1,S015,医疗:1|饮水:1|食品:1,3,25.0,0.067,2.3109026130195294,1829.5729924903096,0.422274,0.0,True,5981.8,5981.0
R000280,0,C,1,S001,食品:3|卫生:2,5,36.0,0.154,2.1499433145188216,1429.4261775174657,0.731257,0.0,False,inf,inf
R000438,12,C,1,S001,医疗:2|饮水:5,7,76.0,0.159,2.92626894731049,1561.4261775174657,0.634216,0.0,True,2351.1,2351.0
R000490,1430,C,1,S002,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.181413550070367,2111.00675724525,0.227323,0.0,True,2111.1,2111.0
R000543,3674,C,1,S003,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.203815391673846,2435.8095208576483,0.224523,0.0,True,5554.6,5554.0
R000575,3143,C,1,S004,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,6.1769107423796425,2305.184064967841,0.227886,0.0,True,5614.4,5614.0
R000604,5449,C,1,S005,医疗:1|饮水:3|卫生:1,5,51.0,0.128,4.004412978691258,1814.0446406358128,0.499448,0.0,True,9491.3,9491.0
R000637,1582,C,1,S006,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,2.5939758810401803,1560.8632994307263,0.675753,0.0,True,2390.9,2390.0
R001706,4032,A,2,S005>S008,S005:[食品:1] S008:[食品:1],2,16.0,0.056,3.234563900698709,2438.1095066825583,0.281208,0.0,False,inf,inf
R002159,0,A,2,S011>S007,S011:[医疗:1|卫生:1] S007:[医疗:1],3,12.0,0.059,2.0548578013649084,2037.7318095023973,0.543365,0.0,True,2148.3,2148.0
R002170,0,A,2,S013>S007,S013:[食品:1] S007:[医疗:1],2,11.0,0.04,3.395269867255972,2550.2814987903166,0.245496,0.0,True,2546.5,2546.0
R003841,3446,B,2,S009>S002,S009:[食品:2] S002:[医疗:1],3,19.0,0.068,2.506530618927054,2031.652763374452,0.373367,0.0,True,9768.0,9768.0
R071593,0,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071594,2678,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
R071595,2693,A,1,S001,饮水:1,1,14.0,0.027,1.22307515767693,1192.470877312685,0.728206,0.0,False,inf,inf
