task_id,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s,has_hard_deadline,latest_start_s
R000326,C,1,S001,饮水:5,5,70.0,0.135,2.72609007954481,1413.5190318265477,0.659239,0.0,True,2475.3
R010966,C,2,S001>S002,S001:[医疗:2|卫生:2] S002:[饮水:4],8,74.0,0.202,6.244311810894269,2576.17694271606,0.219461,0.0,True,1733.1
R014941,C,2,S001>S004,S001:[食品:3] S004:[饮水:3|卫生:1],7,72.0,0.2,6.311885602904798,2506.514262261126,0.211014,0.0,True,5389.6
R052432,C,2,S013>S002,S013:[医疗:1|食品:2|卫生:1] S002:[医疗:1|饮水:1|食品:1],7,50.0,0.17,6.036248110091305,2652.483199850982,0.245469,0.0,True,1656.8
R053649,C,2,S006>S003,S006:[饮水:4] S003:[卫生:1],5,62.0,0.143,6.282528394653382,2741.0685612688667,0.214684,0.0,True,5274.1
R055555,C,2,S007>S003,S007:[医疗:1|食品:2|卫生:1] S003:[医疗:1|饮水:2|食品:1|卫生:1],9,70.0,0.232,5.921816882796872,2845.396123952648,0.259773,0.0,True,2265.3
R057817,C,2,S005>S004,S005:[医疗:1|食品:1] S004:[医疗:1|饮水:3|食品:1|卫生:1],8,70.0,0.196,6.27867338104961,2632.665037323507,0.215166,0.0,True,5263.4
R069014,C,2,S006>S015,S006:[医疗:1|饮水:3|食品:1] S015:[医疗:1|饮水:1|食品:1],8,78.0,0.188,5.693733026937898,2573.4616160530586,0.288283,0.0,True,2403.8
R071208,C,2,S011>S008,S011:[医疗:1|饮水:2|食品:1|卫生:1] S008:[医疗:1|饮水:1|食品:1],8,70.0,0.196,6.321254207921866,2587.898906740877,0.209843,0.0,True,5316.3
R071674,C,2,S012>S009,S012:[医疗:1|饮水:1|食品:1] S009:[医疗:1|饮水:1|食品:1],6,50.0,0.134,6.024927140394549,2483.8644847049472,0.246884,0.0,True,2189.9
R072344,C,2,S014>S010,S014:[医疗:1|饮水:1|食品:1] S010:[医疗:1|饮水:1|食品:1],6,50.0,0.134,4.5668786475667495,2398.9522000319184,0.42914,0.0,True,1728.0
R073074,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R073075,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
R073076,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0,False,inf
