task_id,uav_type,n_stops,visit_order,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,charge_time_s
R000438,C,1,S001,医疗:2|饮水:5,7,76.0,0.159,2.9240743474800217,1545.5190318265477,0.634491,0.0
R000543,C,1,S003,医疗:1|饮水:4|卫生:1,6,65.0,0.155,6.107298620536184,2277.600023787336,0.236588,0.0
R000575,C,1,S004,医疗:1|饮水:3|食品:1|卫生:1,6,59.0,0.156,6.119363799617691,2188.2416882588564,0.23508,0.0
R007514,C,2,S002>S001,S002:[食品:3|卫生:2] S001:[食品:2|卫生:1],8,58.0,0.245,6.138421007871245,2520.4361178259232,0.232697,0.0
R051122,C,2,S002>S009,S002:[医疗:1|饮水:4] S009:[食品:1],6,67.0,0.148,6.353497869707006,2384.531904101177,0.205813,0.0
R053046,C,2,S006>S003,S006:[食品:2] S003:[医疗:1|饮水:3|食品:1|卫生:1],8,75.0,0.212,5.997351669149683,2939.068561268866,0.250331,0.0
R063414,C,2,S005>S009,S005:[医疗:1|饮水:3|食品:1|卫生:1] S009:[医疗:1|饮水:1],8,76.0,0.195,5.969547092582676,2326.103714019059,0.253807,0.0
R070770,C,2,S007>S015,S007:[医疗:1|饮水:2|食品:1|卫生:1] S015:[医疗:1|饮水:1|食品:1],8,70.0,0.196,5.307322807199387,2476.9427152143085,0.336585,0.0
R071208,C,2,S011>S008,S011:[医疗:1|饮水:2|食品:1|卫生:1] S008:[医疗:1|饮水:1|食品:1],8,70.0,0.196,6.321254207921866,2587.898906740877,0.209843,0.0
R072343,C,2,S010>S014,S010:[医疗:1|饮水:1|食品:1] S014:[医疗:1|饮水:1|食品:1],6,50.0,0.134,4.439559750260464,2247.3939358717616,0.445055,0.0
R072839,C,2,S012>S013,S012:[医疗:1|饮水:1|食品:1] S013:[医疗:1|饮水:1|食品:1],6,50.0,0.134,5.74957251889596,2480.27277020252,0.281303,0.0
R073074,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0
R073075,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0
R073076,A,1,S001,饮水:1,1,14.0,0.027,1.218849687527148,1179.5094993423072,0.729145,0.0
