task_id,uav_id,uav_type,start_time_s,end_time_s,duration_s,n_stops,n_boxes,visit_order,energy_kWh,end_SOC
R073074,U01,A,0.0,1179.5,1179.5094993423072,1,1,S001,1.218849687527148,0.729145
R073075,U02,A,0.0,1179.5,1179.5094993423072,1,1,S001,1.218849687527148,0.729145
R073076,U03,A,0.0,1179.5,1179.5094993423072,1,1,S001,1.218849687527148,0.729145
R055555,U07,C,0.0,2845.4,2845.396123952648,2,9,S007>S003,5.921816882796872,0.259773
R057817,U07,C,2845.4,5478.1,2632.665037323507,2,8,S005>S004,6.27867338104961,0.215166
R010966,U07,C,5478.1,8054.2,2576.17694271606,2,8,S001>S002,6.244311810894269,0.219461
R014941,U07,C,8054.2,10560.8,2506.514262261126,2,7,S001>S004,6.311885602904798,0.211014
R072344,U07,C,10560.8,12959.7,2398.9522000319184,2,6,S014>S010,4.5668786475667495,0.42914
R000326,U07,C,12959.7,14373.2,1413.5190318265477,1,5,S001,2.72609007954481,0.659239
R053649,U08,C,0.0,2741.1,2741.0685612688667,2,5,S006>S003,6.282528394653382,0.214684
R052432,U08,C,2741.1,5393.6,2652.483199850982,2,7,S013>S002,6.036248110091305,0.245469
R071208,U08,C,5393.6,7981.5,2587.898906740877,2,8,S011>S008,6.321254207921866,0.209843
R069014,U08,C,7981.5,10554.9,2573.4616160530586,2,8,S006>S015,5.693733026937898,0.288283
R071674,U08,C,10554.9,13038.8,2483.8644847049472,2,6,S012>S009,6.024927140394549,0.246884
