task_id,class_id,box_id,pattern_id,start_time_s,delivery_offset_s,delivery_time_s,deadline_s
P008376-1,C002,B001,P008376,0.0,1380.898088758733,1380.898088758733,3600.0
P008376-1,C001,B002,P008376,0.0,1380.898088758733,1380.898088758733,3600.0
P008376-1,C005,B003,P008376,0.0,1380.898088758733,1380.898088758733,3600.0
P008326-1,C006,B004,P008326,8872.0,1182.898088758733,10054.898088758733,inf
P008326-1,C006,B005,P008326,8872.0,1182.898088758733,10054.898088758733,inf
P008326-1,C006,B006,P008326,8872.0,1182.898088758733,10054.898088758733,inf
P008326-1,C006,B007,P008326,8872.0,1182.898088758733,10054.898088758733,inf
P008326-1,C006,B008,P008326,8872.0,1182.898088758733,10054.898088758733,inf
P008376-1,C006,B009,P008376,0.0,1380.898088758733,1380.898088758733,inf
P008376-1,C006,B010,P008376,0.0,1380.898088758733,1380.898088758733,inf
P008326-1,C003,B011,P008326,8872.0,1182.898088758733,10054.898088758733,inf
P008376-1,C003,B012,P008376,0.0,1380.898088758733,1380.898088758733,inf
P008376-1,C003,B013,P008376,0.0,1380.898088758733,1380.898088758733,inf
P008376-1,C004,B014,P008376,0.0,1380.898088758733,1380.898088758733,inf
P008376-1,C004,B015,P008376,0.0,1380.898088758733,1380.898088758733,inf
P020086-1,C007,B016,P020086,1561.0,1512.9133786226248,3073.913378622625,3600.0
P020086-1,C010,B017,P020086,1561.0,1512.9133786226248,3073.913378622625,3600.0
P008384-1,C011,B018,P008384,6577.0,1290.9133786226248,7867.913378622625,inf
P008384-1,C011,B019,P008384,6577.0,1290.9133786226248,7867.913378622625,inf
P008384-1,C011,B020,P008384,6577.0,1290.9133786226248,7867.913378622625,inf
P020086-1,C008,B021,P020086,1561.0,1512.9133786226248,3073.913378622625,inf
P020086-1,C008,B022,P020086,1561.0,1512.9133786226248,3073.913378622625,inf
P020086-1,C009,B023,P020086,1561.0,1512.9133786226248,3073.913378622625,inf
P000044-1,C012,B024,P000044,1.0,1409.111829747456,1410.111829747456,7200.0
P000044-1,C015,B025,P000044,1.0,1409.111829747456,1410.111829747456,7200.0
P008461-1,C016,B026,P008461,9565.0,1645.3647604288242,11210.364760428824,inf
P008461-1,C016,B027,P008461,9565.0,1645.3647604288242,11210.364760428824,inf
P008461-1,C016,B028,P008461,9565.0,1645.3647604288242,11210.364760428824,inf
P008461-1,C013,B029,P008461,9565.0,1645.3647604288242,11210.364760428824,inf
P008461-1,C013,B030,P008461,9565.0,1645.3647604288242,11210.364760428824,inf
P008461-1,C014,B031,P008461,9565.0,1645.3647604288242,11210.364760428824,inf
P008547-1,C017,B032,P008547,4060.0,1585.5620324839206,5645.56203248392,7200.0
P008547-1,C020,B033,P008547,4060.0,1585.5620324839206,5645.56203248392,7200.0
P008547-1,C021,B034,P008547,4060.0,1585.5620324839206,5645.56203248392,inf
P008547-1,C021,B035,P008547,4060.0,1585.5620324839206,5645.56203248392,inf
P008547-1,C018,B036,P008547,4060.0,1585.5620324839206,5645.56203248392,inf
P008547-1,C019,B037,P008547,4060.0,1585.5620324839206,5645.56203248392,inf
P008594-1,C022,B038,P008594,7004.0,1374.6573203179064,8378.657320317907,10800.0
P008594-1,C025,B039,P008594,7004.0,1374.6573203179064,8378.657320317907,10800.0
P008594-1,C026,B040,P008594,7004.0,1374.6573203179064,8378.657320317907,inf
P008594-1,C026,B041,P008594,7004.0,1374.6573203179064,8378.657320317907,inf
P008594-1,C023,B042,P008594,7004.0,1374.6573203179064,8378.657320317907,inf
P008594-1,C024,B043,P008594,7004.0,1374.6573203179064,8378.657320317907,inf
P008641-1,C027,B044,P008641,0.0,1209.0766497153631,1209.0766497153631,3600.0
P008641-1,C030,B045,P008641,0.0,1209.0766497153631,1209.0766497153631,3600.0
P008641-1,C031,B046,P008641,0.0,1209.0766497153631,1209.0766497153631,inf
P008641-1,C031,B047,P008641,0.0,1209.0766497153631,1209.0766497153631,inf
P008641-1,C028,B048,P008641,0.0,1209.0766497153631,1209.0766497153631,inf
P008641-1,C029,B049,P008641,0.0,1209.0766497153631,1209.0766497153631,inf
