task_id,gap_id,candidate_id,relay_uav_id,energy_component_id,dispatch_time_s,arrival_time_s,service_start_s,service_end_s,return_time_s,uav_release_time_s,energy_release_time_s,relay_energy_kWh,end_soc
P002888-1,PG000002,RP029626,R01,E01,81.0,715.2,745.2,1556.33,2030.0,2330.0,2741.0,0.5199547837733948,0.8375141300708142
P007976-1,PG000005,RP090487,R02,E02,354.0,722.646,752.646,1524.645,1748.0,2048.0,2384.0,0.3360247147450689,0.894992276642166
P000044-1,PG000001,RP063965,R03,E03,443.0,795.701,825.701,1764.547,1967.0,2267.0,2621.0,0.380213974289217,0.8811831330346197
P020086-1,PG000010,RP041762,R04,E04,1928.0,2403.502,2433.502,3715.255,4040.0,4340.0,4769.0,0.5637432366196683,0.8238302385563536
P050623-1,PG000011,RP058906,R02,E05,2172.0,2617.709,2647.709,3823.155,4118.0,4418.0,4826.0,0.5126523611332136,0.8397961371458708
P007959-1,PG000004,RP083991,R03,E06,2267.0,2628.494,2658.494,3422.7470000000003,3639.0,3939.0,4273.0,0.3285020794701281,0.8973431001655849
P002902-1,PG000003,RP076066,R01,E02,2384.0,2874.749,2904.749,3522.1710000000003,3860.0,4160.0,4511.0,0.3733902745048754,0.8833155392172265
P008547-1,PG000008,RP004447,R03,E01,3942.0,4958.216,4988.216,5893.5380000000005,6772.0,7072.0,7591.0,0.7844951398923667,0.7548452687836353
P051203-1,PG000012,RP031488,R01,E02,5095.0,5691.832,5721.832,6580.192,7037.0,7337.0,7742.0,0.5036444984974636,0.8426110942195426
P008384-1,PG000006,RP016472,R02,E03,6561.0,7269.502,7299.502,8143.695,8709.0,9009.0,9442.0,0.5729807583058184,0.8209435130294318
P008594-1,PG000009,RP074044,R01,E04,7537.0,7843.484,7873.484,8481.222,8636.0,8936.0,9132.0,0.2515399293587687,0.9213937720753848
P008461-1,PG000007,RP058997,R01,E01,10047.0,10448.642,10478.642,11529.686,11779.0,12079.0,12462.0,0.4481795429773267,0.8599438928195854
