task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,charge_end_s,energy_kWh
P002888-1,U05,B,BAT_B01,0.0,1924.0,3785.0,2.7552342804549035
P007976-1,U06,B,BAT_B02,0.0,1887.0,3452.0,2.074231795833251
P008376-1,U07,C,BAT_C01,0.0,1694.0,3320.0,2.92626894731049
P008641-1,U08,C,BAT_C02,0.0,1561.0,3097.0,2.5939758810401803
P000044-1,U01,A,BAT_A01,1.0,2264.0,3625.0,2.981173459179203
P020086-1,U08,C,BAT_C03,1561.0,4060.0,6577.0,6.218080263364722
P050623-1,U07,C,BAT_C04,1694.0,4307.0,6600.0,5.387886039967234
P007959-1,U06,B,BAT_B03,1918.0,3805.0,5371.0,2.0756352981339545
P002902-1,U05,B,BAT_B04,2100.0,3969.0,5562.0,2.137304308171069
P008547-1,U08,C,BAT_C01,4060.0,6366.0,8872.0,6.1769107423796425
P051203-1,U07,C,BAT_C02,4307.0,7004.0,9565.0,6.377502256793861
P008384-1,U08,C,BAT_C03,6577.0,8491.0,10750.0,5.265292334190916
P008594-1,U07,C,BAT_C04,7004.0,8885.0,10866.0,4.2387743677705485
P008326-1,U08,C,BAT_C01,8872.0,10368.0,12015.0,3.004693884669704
P008461-1,U07,C,BAT_C02,9565.0,12001.0,14500.0,6.1477696491366665
