,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0.0,145.3566101074219,181.25425415039064,434.10413818359376,270.53916625976564,198.710888671875,238.39783935546876,384.27317504882814,245.20933227539064,165.52891235351564,307.93653564453126,167.66175537109376,285.6009948730469,271.48182373046876,464.2473876953125,444.09925537109376
S001,89.05661010742188,0.0,125.24484252929688,371.94439697265625,224.77774047851562,132.13800048828125,209.93563842773438,255.17535400390625,182.78717041015625,109.22891235351562,247.07968139648438,92.38790893554688,251.599609375,194.36080932617188,416.0504150390625,413.315185546875
S002,89.45425415039062,89.74484252929688,0.0,401.63140869140625,114.158203125,187.29864501953125,174.7987060546875,255.22817993164062,162.34249877929688,108.78665161132812,272.35394287109375,142.28533935546875,188.67825317382812,157.7103271484375,288.0832214355469,424.25262451171875
S003,223.30413818359375,217.44439697265625,282.63140869140625,0.0,385.76824951171875,245.3880615234375,323.8626708984375,72.1993408203125,457.5787353515625,256.088134765625,178.46417236328125,196.92230224609375,256.08892822265625,217.44439697265625,254.22955322265625,149.39886474609375
S004,169.9391662597656,180.4777404785156,105.35820312499999,495.96824951171874,0.0,137.50657958984374,196.9806396484375,364.93699951171874,158.53349609375,96.91578979492186,254.657275390625,132.838916015625,133.7069580078125,143.9989807128906,327.0861083984375,462.95103759765624
S005,131.410888671875,121.13800048828125,211.79864501953125,388.8880615234375,170.80657958984375,0.0,221.7322998046875,322.1478271484375,171.78717041015625,168.56320190429688,271.15325927734375,152.54891967773438,168.56320190429688,179.4444580078125,407.88751220703125,423.61334228515625
S006,51.29783935546874,79.13563842773436,79.49870605468749,347.5626708984375,110.48063964843749,101.93229980468749,0.0,275.561328125,253.04210205078124,76.27128906249999,118.42277832031249,85.66759033203124,120.54902954101561,79.37092895507811,291.862109375,336.4601318359375
S007,163.47317504882812,90.67535400390625,126.22817993164062,62.1993408203125,244.73699951171875,168.6478271484375,241.861328125,0.0,308.239501953125,119.87081909179688,88.44964599609375,90.67535400390625,109.16363525390625,84.03811645507812,232.35577392578125,154.418212890625
S008,102.00933227539065,95.88717041015627,110.9424987792969,525.1787353515625,115.93349609375002,95.88717041015627,296.9421020507813,385.839501953125,0.0,117.72036132812502,198.1903015136719,142.01650390625002,88.25319824218752,115.47310791015627,321.5922485351563,439.550927734375
S009,63.228912353515625,63.228912353515625,98.28665161132812,364.588134765625,95.21578979492188,133.56320190429688,161.0712890625,238.37081909179688,158.620361328125,0.0,252.957275390625,85.66766357421875,130.91961669921875,142.29898071289062,322.7727966308594,352.3267822265625
S010,84.03653564453123,79.47968139648435,140.25394287109373,165.36417236328123,131.35727539062498,114.55325927734373,81.62277832031248,85.34964599609373,117.49030151367185,131.35727539062498,0.0,85.44333496093748,121.59030761718748,152.47037353515623,185.96356811523435,266.7262329101562
S011,83.26175537109376,64.28790893554688,149.68533935546876,323.3223022460937,149.038916015625,135.44891967773438,188.36759033203126,227.07535400390626,200.81650390625,103.56766357421876,224.9433349609375,0.0,208.3505615234375,166.26080932617188,406.4668334960937,376.6306518554687
S012,133.50099487304686,155.799609375,128.3782531738281,314.78892822265624,82.20695800781249,83.76320190429686,155.5490295410156,177.86363525390624,79.35319824218749,81.11961669921874,193.3903076171875,140.6505615234375,0.0,156.7263671875,251.3858215332031,304.9462158203125
S013,47.48182373046876,26.660809326171886,25.51032714843751,204.24439697265626,20.598980712890636,22.74445800781251,42.470928955078136,80.83811645507814,34.67310791015626,20.598980712890636,152.37037353515626,26.660809326171886,84.82636718750001,0.0,181.56031494140626,228.0706298828125
S014,240.9473876953125,249.0504150390625,156.58322143554688,241.72955322265625,204.3861083984375,251.88751220703125,255.662109375,229.85577392578125,241.49224853515625,201.77279663085938,186.56356811523438,267.56683349609375,180.18582153320312,182.26031494140625,0.0,277.795166015625
S015,97.29925537109375,122.815185546875,169.25262451171875,13.39886474609375,216.75103759765625,144.11334228515625,176.7601318359375,28.418212890625,235.950927734375,107.8267822265625,143.82623291015625,114.23065185546875,110.2462158203125,105.2706298828125,154.295166015625,0.0
