flight_id,uav_id,first_time,last_time,sample_count,unavailable_samples,gap_count,sampled_direct_continuity,relay_coverage_window_s
1,U01,0.0,1179.5094993423072,122,0,0,1,0.0
2,U02,0.0,1179.5094993423072,122,0,0,1,0.0
3,U03,0.0,1179.5094993423072,122,0,0,1,0.0
4,U05,0.0,1918.7533209659528,197,82,1,0,808.7509398612315
5,U05,1918.8,3426.3018734358307,155,41,1,0,404.91775495522006
6,U05,3426.3,4950.847034583412,156,40,1,0,402.2712679427468
7,U05,4950.8,6582.178295127228,167,57,1,0,562.858939840632
8,U06,3682.9,5600.840846202979,196,81,1,0,806.0882811744059
9,U06,5600.8,7180.916744566375,163,48,1,0,471.563473398096
10,U06,7180.9,9132.230032739159,199,78,1,0,775.678396903435
11,U06,9132.2,10264.845688975372,117,0,0,1,0.0
12,U07,0.0,2510.1769427160607,258,94,1,0,928.6262925954447
13,U07,2510.2,3923.7190318265475,145,0,0,1,0.0
14,U07,3923.7,6410.08469669533,257,130,1,0,1256.5427631409611
15,U07,6410.1,8621.700023787336,227,93,1,0,914.4000826944493
16,U08,5029.8,7506.742715214309,253,111,1,0,1092.0882884678522
17,U08,7506.7,8993.816198600647,153,0,0,1,0.0
18,U08,8993.8,11505.862821747334,258,135,2,0,1331.114964612827
19,U08,11505.9,13734.102793974609,228,57,1,0,564.0055105083229
