,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0.0,273.0566101074219,308.9542541503906,561.8041381835938,398.2391662597656,326.410888671875,366.09783935546875,511.9731750488281,372.9093322753906,293.2289123535156,435.63653564453125,295.36175537109375,413.3009948730469,399.18182373046875,591.9473876953125,571.7992553710938
S001,273.0566101074219,0.0,309.2448425292969,555.9443969726562,408.7777404785156,316.13800048828125,393.9356384277344,439.17535400390625,366.78717041015625,293.2289123535156,431.0796813964844,276.3879089355469,435.599609375,378.3608093261719,600.0504150390625,597.315185546875
S002,308.9542541503906,309.2448425292969,0.0,621.1314086914062,333.658203125,406.79864501953125,394.2987060546875,474.7281799316406,381.8424987792969,328.2866516113281,491.85394287109375,361.78533935546875,408.1782531738281,377.2103271484375,507.5832214355469,643.7526245117188
S003,561.8041381835938,555.9443969726562,621.1314086914062,0.0,724.2682495117188,583.8880615234375,662.3626708984375,410.6993408203125,796.0787353515625,594.588134765625,516.9641723632812,535.4223022460938,594.5889282226562,555.9443969726562,592.7295532226562,487.89886474609375
S004,398.2391662597656,408.7777404785156,333.658203125,724.2682495117188,0.0,365.80657958984375,425.2806396484375,593.2369995117188,386.83349609375,325.2157897949219,482.957275390625,361.138916015625,362.0069580078125,372.2989807128906,555.3861083984375,691.2510375976562
S005,326.410888671875,316.13800048828125,406.79864501953125,583.8880615234375,365.80657958984375,0.0,416.7322998046875,517.1478271484375,366.78717041015625,363.5632019042969,466.15325927734375,347.5489196777344,363.5632019042969,374.4444580078125,602.8875122070312,618.6133422851562
S006,366.09783935546875,393.9356384277344,394.2987060546875,662.3626708984375,425.2806396484375,416.7322998046875,0.0,590.361328125,567.8421020507812,391.0712890625,433.2227783203125,400.46759033203125,435.3490295410156,394.1709289550781,606.662109375,651.2601318359375
S007,511.9731750488281,439.17535400390625,474.7281799316406,410.6993408203125,593.2369995117188,517.1478271484375,590.361328125,0.0,656.739501953125,468.3708190917969,436.94964599609375,439.17535400390625,457.66363525390625,432.5381164550781,580.8557739257812,502.918212890625
S008,372.9093322753906,366.78717041015625,381.8424987792969,796.0787353515625,386.83349609375,366.78717041015625,567.8421020507812,656.739501953125,0.0,388.620361328125,469.0903015136719,412.91650390625,359.1531982421875,386.37310791015625,592.4922485351562,710.450927734375
S009,293.2289123535156,293.2289123535156,328.2866516113281,594.588134765625,325.2157897949219,363.5632019042969,391.0712890625,468.3708190917969,388.620361328125,0.0,482.957275390625,315.66766357421875,360.91961669921875,372.2989807128906,552.7727966308594,582.3267822265625
S010,435.63653564453125,431.0796813964844,491.85394287109375,516.9641723632812,482.957275390625,466.15325927734375,433.2227783203125,436.94964599609375,469.0903015136719,482.957275390625,0.0,437.0433349609375,473.1903076171875,504.07037353515625,537.5635681152344,618.3262329101562
S011,295.36175537109375,276.3879089355469,361.78533935546875,535.4223022460938,361.138916015625,347.5489196777344,400.46759033203125,439.17535400390625,412.91650390625,315.66766357421875,437.0433349609375,0.0,420.4505615234375,378.3608093261719,618.5668334960938,588.7306518554688
S012,413.3009948730469,435.599609375,408.1782531738281,594.5889282226562,362.0069580078125,363.5632019042969,435.3490295410156,457.66363525390625,359.1531982421875,360.91961669921875,473.1903076171875,420.4505615234375,0.0,436.5263671875,531.1858215332031,584.7462158203125
S013,399.18182373046875,378.3608093261719,377.2103271484375,555.9443969726562,372.2989807128906,374.4444580078125,394.1709289550781,432.5381164550781,386.37310791015625,372.2989807128906,504.07037353515625,378.3608093261719,436.5263671875,0.0,533.2603149414062,579.7706298828125
S014,591.9473876953125,600.0504150390625,507.5832214355469,592.7295532226562,555.3861083984375,602.8875122070312,606.662109375,580.8557739257812,592.4922485351562,552.7727966308594,537.5635681152344,618.5668334960938,531.1858215332031,533.2603149414062,0.0,628.795166015625
S015,571.7992553710938,597.315185546875,643.7526245117188,487.89886474609375,691.2510375976562,618.6133422851562,651.2601318359375,502.918212890625,710.450927734375,582.3267822265625,618.3262329101562,588.7306518554688,584.7462158203125,579.7706298828125,628.795166015625,0.0
