,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0.0,89.05661010742188,89.45425415039062,223.30413818359375,169.9391662597656,131.410888671875,51.29783935546874,163.47317504882812,102.00933227539065,63.228912353515625,84.03653564453123,83.26175537109376,133.50099487304686,47.48182373046876,240.9473876953125,97.29925537109375
S001,145.3566101074219,0.0,89.74484252929688,217.44439697265625,180.4777404785156,121.13800048828125,79.13563842773436,90.67535400390625,95.88717041015627,63.228912353515625,79.47968139648435,64.28790893554688,155.799609375,26.660809326171886,249.0504150390625,122.815185546875
S002,181.25425415039064,125.24484252929688,0.0,282.63140869140625,105.35820312499999,211.79864501953125,79.49870605468749,126.22817993164062,110.9424987792969,98.28665161132812,140.25394287109373,149.68533935546876,128.3782531738281,25.51032714843751,156.58322143554688,169.25262451171875
S003,434.10413818359376,371.94439697265625,401.63140869140625,0.0,495.96824951171874,388.8880615234375,347.5626708984375,62.1993408203125,525.1787353515625,364.588134765625,165.36417236328123,323.3223022460937,314.78892822265624,204.24439697265626,241.72955322265625,13.39886474609375
S004,270.53916625976564,224.77774047851562,114.158203125,385.76824951171875,0.0,170.80657958984375,110.48063964843749,244.73699951171875,115.93349609375002,95.21578979492188,131.35727539062498,149.038916015625,82.20695800781249,20.598980712890636,204.3861083984375,216.75103759765625
S005,198.710888671875,132.13800048828125,187.29864501953125,245.3880615234375,137.50657958984374,0.0,101.93229980468749,168.6478271484375,95.88717041015627,133.56320190429688,114.55325927734373,135.44891967773438,83.76320190429686,22.74445800781251,251.88751220703125,144.11334228515625
S006,238.39783935546876,209.93563842773438,174.7987060546875,323.8626708984375,196.9806396484375,221.7322998046875,0.0,241.861328125,296.9421020507813,161.0712890625,81.62277832031248,188.36759033203126,155.5490295410156,42.470928955078136,255.662109375,176.7601318359375
S007,384.27317504882814,255.17535400390625,255.22817993164062,72.1993408203125,364.93699951171874,322.1478271484375,275.561328125,0.0,385.839501953125,238.37081909179688,85.34964599609373,227.07535400390626,177.86363525390624,80.83811645507814,229.85577392578125,28.418212890625
S008,245.20933227539064,182.78717041015625,162.34249877929688,457.5787353515625,158.53349609375,171.78717041015625,253.04210205078124,308.239501953125,0.0,158.620361328125,117.49030151367185,200.81650390625,79.35319824218749,34.67310791015626,241.49224853515625,235.950927734375
S009,165.52891235351564,109.22891235351562,108.78665161132812,256.088134765625,96.91578979492186,168.56320190429688,76.27128906249999,119.87081909179688,117.72036132812502,0.0,131.35727539062498,103.56766357421876,81.11961669921874,20.598980712890636,201.77279663085938,107.8267822265625
S010,307.93653564453126,247.07968139648438,272.35394287109375,178.46417236328125,254.657275390625,271.15325927734375,118.42277832031249,88.44964599609375,198.1903015136719,252.957275390625,0.0,224.9433349609375,193.3903076171875,152.37037353515626,186.56356811523438,143.82623291015625
S011,167.66175537109376,92.38790893554688,142.28533935546875,196.92230224609375,132.838916015625,152.54891967773438,85.66759033203124,90.67535400390625,142.01650390625002,85.66766357421875,85.44333496093748,0.0,140.6505615234375,26.660809326171886,267.56683349609375,114.23065185546875
S012,285.6009948730469,251.599609375,188.67825317382812,256.08892822265625,133.7069580078125,168.56320190429688,120.54902954101561,109.16363525390625,88.25319824218752,130.91961669921875,121.59030761718748,208.3505615234375,0.0,84.82636718750001,180.18582153320312,110.2462158203125
S013,271.48182373046876,194.36080932617188,157.7103271484375,217.44439697265625,143.9989807128906,179.4444580078125,79.37092895507811,84.03811645507812,115.47310791015627,142.29898071289062,152.47037353515623,166.26080932617188,156.7263671875,0.0,182.26031494140625,105.2706298828125
S014,464.2473876953125,416.0504150390625,288.0832214355469,254.22955322265625,327.0861083984375,407.88751220703125,291.862109375,232.35577392578125,321.5922485351563,322.7727966308594,185.96356811523435,406.4668334960937,251.3858215332031,181.56031494140626,0.0,154.295166015625
S015,444.09925537109376,413.315185546875,424.25262451171875,149.39886474609375,462.95103759765624,423.61334228515625,336.4601318359375,154.418212890625,439.550927734375,352.3267822265625,266.7262329101562,376.6306518554687,304.9462158203125,228.0706298828125,277.795166015625,0.0
