,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0.0,3063.407094930797,7435.2682483091,7261.0655409538485,7745.651742751971,5302.0128076982855,3181.0289144316203,4533.821635606341,8109.461983662226,5722.672488722757,4778.43330136777,2817.14783394126,7398.43934212781,4848.700302599784,5410.909620502695,6019.105634595292
S001,3063.407094930797,0.0,4375.111429947296,7646.659009326058,4947.397665203851,2935.3982704178266,5296.389689052462,5179.657800128225,5983.170216573233,2659.297911633031,3707.6479701128087,2350.3360860171365,4696.513291627057,2894.2496690637063,5198.596162989784,5494.311766798541
S002,7435.2682483091,4375.111429947296,0.0,9766.525853187639,2246.1060981727182,3474.1318201907675,9199.75149792535,8119.467045487778,4795.75091995656,1730.8827143173448,5938.017877533433,5790.086452584073,3071.9972666342474,4556.4253269828,7680.86897763051,7156.956228405488
S003,7261.0655409538485,7646.659009326058,9766.525853187639,0.0,8230.547637960408,6332.68305025165,4808.568012109442,2732.819379995153,6261.086594538331,8884.798812209401,11208.756415778262,5348.792842148937,11798.876846452911,10540.907031525781,12372.475028998615,2614.3562499141703
S004,7745.651742751971,4947.397665203851,2246.1060981727182,8230.547637960408,0.0,2616.5100450468835,8731.247626205603,7107.951861397632,2607.406751047093,2992.117958428195,7564.544903096997,5422.186185981828,5283.739027383003,6210.781847328471,9318.312212892464,5649.046264106804
S005,5302.0128076982855,2935.3982704178266,3474.1318201907675,6332.68305025165,2616.5100450468835,0.0,6124.005239420578,4690.978012733275,3047.7742448848744,2645.6165640723684,6365.828619761172,2812.7579349761068,5613.472595564874,5214.407218590375,8005.222170551042,3749.6273030530915
S006,3181.0289144316203,5296.389689052462,9199.75149792535,4808.568012109442,8731.247626205603,6124.005239420578,0.0,2516.4898859990676,8092.942164777616,7677.209169122411,7909.585429221888,3416.1902281569105,9988.826408304783,7774.922470685925,8582.826645617135,4702.818713985765
S007,4533.821635606341,5179.657800128225,8119.467045487778,2732.819379995153,7107.951861397632,4690.978012733275,2516.4898859990676,0.0,5931.502490714411,6903.234859610077,8586.756825273913,2829.56174155148,9652.022157307281,8041.876633215178,9672.514871591644,2228.379705571588
S008,8109.461983662226,5983.170216573233,4795.75091995656,6261.086594538331,2607.406751047093,3047.7742448848744,8092.942164777616,5931.502490714411,0.0,5018.255609500637,9305.006857995599,5348.220405213765,7720.902518300755,8061.2465970954945,10991.62867899915,3938.556255192018
S009,5722.672488722757,2659.297911633031,1730.8827143173448,8884.798812209401,2992.117958428195,2645.6165640723684,7677.209169122411,6903.234859610077,5018.255609500637,0.0,4576.424241271918,4326.917456853088,2967.8672195087966,3218.668940693961,6332.937688393668,6352.730835619762
S010,4778.43330136777,3707.6479701128087,5938.017877533433,11208.756415778262,7564.544903096997,6365.828619761172,7909.585429221888,8586.756825273913,9305.006857995599,4576.424241271918,0.0,5865.848212731673,3966.307663793741,1383.351802046178,1758.3683592479576,9187.940692404369
S011,2817.14783394126,2350.3360860171365,5790.086452584073,5348.792842148937,5422.186185981828,2812.7579349761068,3416.1902281569105,2829.56174155148,5348.220405213765,4326.917456853088,5865.848212731673,0.0,6897.396444963411,5224.677192376564,7123.113479340445,3461.7683247234245
S012,7398.43934212781,4696.513291627057,3071.9972666342474,11798.876846452911,5283.739027383003,5613.472595564874,9988.826408304783,9652.022157307281,7720.902518300755,2967.8672195087966,3966.307663793741,6897.396444963411,0.0,2863.9419168551267,5477.031359647905,9302.59595392879
S013,4848.700302599784,2894.2496690637063,4556.4253269828,10540.907031525781,6210.781847328471,5214.407218590375,7774.922470685925,8041.876633215178,8061.2465970954945,3218.668940693961,1383.351802046178,5224.677192376564,2863.9419168551267,0.0,3137.277603600325,8338.184804497143
S014,5410.909620502695,5198.596162989784,7680.86897763051,12372.475028998615,9318.312212892464,8005.222170551042,8582.826645617135,9672.514871591644,10991.62867899915,6332.937688393668,1758.3683592479576,7123.113479340445,5477.031359647905,3137.277603600325,0.0,10551.902543915849
S015,6019.105634595292,5494.311766798541,7156.956228405488,2614.3562499141703,5649.046264106804,3749.6273030530915,4702.818713985765,2228.379705571588,3938.556255192018,6352.730835619762,9187.940692404369,3461.7683247234245,9302.59595392879,8338.184804497143,10551.902543915849,0.0
